"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSysName","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","QwWellChars","QwWellCharsDesc","QwWellType","QwWellTypeDesc","QwWellPurpose","QwWellPurposeDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"TWDB","2838802","Texas Water Development Board","TWDB:2838802","32.411112","-101.325833","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2531","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","51","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","227","Howard County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2838802&Type=GWDB"
"TWDB","2844507","Texas Water Development Board","Knott SE Quad","32.302501","-101.548334","NAD83","GPS","+/- 1 Second","2567","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","227","Howard County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","http://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2844507&Type=GWDB"
"TWDB","2838404","Texas Water Development Board","Big Spring North NE Quad","32.448611","-101.369722","NAD83","GPS","+/- 1 Second","2594","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","107","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","227","Howard County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2838404&Type=GWDB"
"TWDB","2836601","Texas Water Development Board","Knott NE Quad","32.421944","-101.541945","NAD83","GPS","+/- 0.5 Seconds","2706","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","136","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","227","Howard County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2836601&Type=GWDB"
"TWDB","2845306","Texas Water Development Board","2845306","32.369167","-101.399167","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2568","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","227","Howard County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2845306&Type=GWDB"
"TWDB","2844910","Texas Water Development Board","2844910","32.262501","-101.513612","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2504","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","227","Howard County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2844910&Type=GWDB"
"TWDB","2846705","Texas Water Development Board","TWDB:2846705","32.2772222","-101.3705556","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2445","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","65","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","227","Howard County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2846705&Type=GWDB"
"TWDB","2845102","Texas Water Development Board","2845102","32.334167","-101.475555","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2630","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","227","Howard County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2845102&Type=GWDB"
"TWDB","2835602","Texas Water Development Board","2835602","32.434167","-101.630278","NAD83","Interpolated From Topo Map","+/- 1 Second","2675","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","50","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","227","Howard County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2835602&Type=GWDB"
"TWDB","2835508","Texas Water Development Board","2835508","32.421111","-101.689445","NAD83","Interpolated From Topo Map","+/- 1 Second","2615","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","50","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","227","Howard County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2835508&Type=GWDB"
"TWDB","2852913","Texas Water Development Board","2852913","32.157223","-101.5275","NAD83","Interpolated From Topo Map","+/- 1 Second","2520","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","30","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","227","Howard County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2852913&Type=GWDB"
"TWDB","2846501","Texas Water Development Board","2846501","32.3116667","-101.3205556","NAD83","Interpolated From Topo Map","+/- 1 Second","2454","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","76","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","227","Howard County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2846501&Type=GWDB"
