"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"KSGS","381435097365301","Kansas Geological Survey","21S 03W 11AAC 01","38.243136","-97.613886","NAD83","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","Accurate to + or - 1 sec.","1466.49","1","Feet","NAVD88","Interpolated from Digital Elevation Model.","+/- 5 ft","132","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","20","Kansas","113","McPherson County","Pleistocene Pliocene Series","WELL","UNCONFINED","0","No","0","No","Kansas Cooperative Water Level Network","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","http://hercules.kgs.ku.edu/geohydro/wizard/wizardwelldetail.cfm?usgs_id=381435097365301"
"KSGS","374634099401501","Kansas Geological Survey","26S 22W 24AAB 01","37.776718","-99.671407","NAD83","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","Accurate to + or - 1 sec.","2338","1","Feet","NAVD88","Interpolated from topographic map.","+/- 10 ft","255","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","20","Kansas","057","Ford County","Ogallala-Dakota Formation","WELL","UNCONFINED","0","No","0","No","Kansas Cooperative Water Level Network","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","http://geohydro.kgs.ku.edu/geohydro/wizard/wizardwelldetail.cfm?usgs_id=374634099401501"
"KSGS","381131098035101","Kansas Geological Survey","21S 07W 26CCA 01","38.19195","-98.064452","NAD83","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","Accurate to + or - 1 sec.","1596","1","Feet","NGVD29","Interpolated from Digital Elevation Model.","+/- 5 ft","70","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","20","Kansas","159","Rice County","Quaternary System","WELL","UNCONFINED","0","No","0","No","Kansas Cooperative Water Level Network","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","http://hercules.kgs.ku.edu/geohydro/wizard/wizardwelldetail.cfm?usgs_id=381131098035101"
"KSGS","375619097425301","Kansas Geological Survey","24S 04W 25BBD 01","37.938061","-97.715642","NAD83","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","Accurate to + or - 1 sec.","1448","1","Feet","NGVD29","Interpolated from topographic map.","+/- 5 ft","65","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","20","Kansas","155","Reno County","Pleistocene Pliocene Series","WELL","UNCONFINED","0","No","0","No","Kansas Cooperative Water Level Network","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","http://geohydro.kgs.ku.edu/geohydro/wizard/wizardwelldetail.cfm?usgs_id=375619097425301"
"KSGS","375625098463401","Kansas Geological Survey","24S 13W 20CDD 01","37.942932","-98.775077","NAD83","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","Level 4 survey-grade GPS","1932","1","Feet","NGVD29","Interpolated from topographic map.","+/- 5 ft","85","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","20","Kansas","185","Stafford County","Quaternary System","WELL","UNCONFINED","0","No","0","No","Kansas Cooperative Water Level Network","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","http://geohydro.kgs.ku.edu/geohydro/wizard/wizardwelldetail.cfm?usgs_id=375625098463401"
"KSGS","381253098503402","Kansas Geological Survey","21S 14W 22AAC 02","38.214157","-98.844162","NAD83","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","Accurate to + or - 1 sec.","1929","1","Feet","NAVD88","Interpolated from Digital Elevation Model.","+/- 5 ft","128","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","20","Kansas","185","Stafford County","Quaternary System","WELL","UNCONFINED","0","No","0","No","Kansas Cooperative Water Level Network","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","http://hercules.kgs.ku.edu/geohydro/wizard/wizardwelldetail.cfm?usgs_id=381253098503402"
"KSGS","381122097435903","Kansas Geological Survey","21S 04W 26CDC 03","38.188432","-97.732103","NAD83","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","Accurate to + or - 1 sec.","1437","1","Feet","NGVD29","Interpolated from topographic map.","+/- 5 ft","132","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","20","Kansas","113","McPherson County","Pleistocene Pliocene Series","WELL","UNCONFINED","0","No","0","No","Kansas Cooperative Water Level Network","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","http://geohydro.kgs.ku.edu/geohydro/wizard/wizardwelldetail.cfm?usgs_id=381122097435903"
"KSGS","381444098345101","Kansas Geological Survey","21S 11W 07BBB 01","38.246262","-98.581069","NAD83","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","Accurate to + or - 1 sec.","1810","1","Feet","NGVD29","Interpolated from topographic map.","+/- 10 ft","50","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","20","Kansas","185","Stafford County","Quaternary System","WELL","UNCONFINED","0","No","0","No","Kansas Cooperative Water Level Network","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","http://hercules.kgs.ku.edu/geohydro/wizard/wizardwelldetail.cfm?usgs_id=381444098345101"
"KSGS","375101099095301","Kansas Geological Survey","25S 17W 26B 01","37.850331","-99.164604","NAD83","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","Accurate to + or - 1 sec.","2105","1","Feet","NAVD88","Interpolated from Digital Elevation Model.","+/- 5 ft","93","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","20","Kansas","047","Edwards County","Quaternary System","WELL","UNCONFINED","0","No","0","No","Kansas Cooperative Water Level Network","1","Yes","0","No","3","Known Changes","1","Surveillance","2","Other","http://hercules.kgs.ku.edu/geohydro/wizard/wizardwelldetail.cfm?usgs_id=375101099095301"
"KSGS","373917099140101","Kansas Geological Survey","27S 18W 35AAC 01","37.657057","-99.253985","NAD83","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","Accurate to + or - 1 sec.","2170","1","Feet","NGVD29","Interpolated from topographic map.","+/- 10 ft","160","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","20","Kansas","097","Kiowa County","Quaternary System","WELL","UNCONFINED","0","No","0","No","Kansas Cooperative Water Level Network","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","http://geohydro.kgs.ku.edu/geohydro/wizard/wizardwelldetail.cfm?usgs_id=373917099140101"
"KSGS","381213098595601","Kansas Geological Survey","21S 15W 29BAB 01","38.203636","-98.99875","NAD83","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","Accurate to + or - 1 sec.","1955.34","1","Feet","NAVD88","Level or other surveyed method.","+/- 1 ft","72","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","20","Kansas","145","Pawnee County","Quaternary System","WELL","UNCONFINED","0","No","0","No","Kansas Cooperative Water Level Network","1","Yes","0","No","3","Known Changes","2","Trend","1","Dedicated Monitoring/Observation","http://hercules.kgs.ku.edu/geohydro/wizard/wizardwelldetail.cfm?usgs_id=381213098595601"
"KSGS","374728098020802","Kansas Geological Survey","26S 07W 12DCC 02","37.792998","-98.035412","NAD83","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","Accurate to + or - 1 sec.","1581","1","Feet","NAVD88","Interpolated from Digital Elevation Model.","+/- 10 ft","92","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","20","Kansas","155","Reno County","Quaternary System","WELL","UNCONFINED","0","No","0","No","Kansas Cooperative Water Level Network","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","http://hercules.kgs.ku.edu/geohydro/wizard/wizardwelldetail.cfm?usgs_id=374728098020802"
"KSGS","381554097320101","Kansas Geological Survey","20S 02W 34CBD 01","38.264879","-97.533687","NAD83","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","Accurate to + or - 1 sec.","1506","1","Feet","NAVD88","Interpolated from Digital Elevation Model.","+/- 5 ft","58","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","20","Kansas","113","McPherson County","Pleistocene Pliocene Series","WELL","UNCONFINED","0","No","0","No","Kansas Cooperative Water Level Network","1","Yes","0","No","3","Known Changes","1","Surveillance","2","Other","http://hercules.kgs.ku.edu/geohydro/wizard/wizardwelldetail.cfm?usgs_id=381554097320101"
"KSGS","375652097571701","Kansas Geological Survey","24S 06W 23CBA 01","37.947846","-97.954565","NAD83","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","Accurate to + or - 1 sec.","1555","1","Feet","NGVD29","Interpolated from topographic map.","+/- 5 ft","39","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","20","Kansas","155","Reno County","Quaternary System","WELL","UNCONFINED","0","No","0","No","Kansas Cooperative Water Level Network","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","http://hercules.kgs.ku.edu/geohydro/wizard/wizardwelldetail.cfm?usgs_id=375652097571701"
