"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"CODWR","980","Colorado Division of Water Resources","NHP-KP-001","38.52939","-102.069242","NAD83","GPS","10 m","3936.61","1","Feet","NAVD88","Original database","1 m","56","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","061","Kiowa County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","https://dwr.state.co.us/Tools/GroundWater/Well/980"
"CODWR","968","Colorado Division of Water Resources","NHP-KP-002","38.426002","-102.154918","NAD83","GPS","10 m","3956.65","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","78","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","061","Kiowa County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","https://dwr.state.co.us/Tools/GroundWater/Well/968"
"CODWR","1107","Colorado Division of Water Resources","NHP-KP-020","38.400889","-102.308029","NAD83","GPS","10 m","4116","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","1085","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","061","Kiowa County","Ogallala","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/1107"
"CODWR","1121","Colorado Division of Water Resources","NHP-KP-021","38.305151","-102.195289","NAD83","GPS","10 m","3952","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","310","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","061","Kiowa County","Ogallala","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/1121"
"CODWR","972","Colorado Division of Water Resources","NHP-KP-003","38.348392","-102.067599","NAD83","GPS","10 m","3842.79","1","Feet","NAVD88","GPS","1 m","54","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","061","Kiowa County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","https://dwr.state.co.us/Tools/GroundWater/Well/972"
"CODWR","978","Colorado Division of Water Resources","NHP-KP-018","38.325756","-102.315698","NAD83","GPS","10 m","4017.4","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","192","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","061","Kiowa County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/978"
"CODWR","49527","Colorado Division of Water Resources","NHP-KP-022","38.312539","-102.196308","NAD83","GPS","10 m","3960","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","306","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","061","Kiowa County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","https://dwr.state.co.us/Tools/GroundWater/Well/49527"
"CODWR","150612","Colorado Division of Water Resources","NHP-KP-004","38.282823","-102.148803","NAD83","GPS","10 m","3863","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","186","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","061","Kiowa County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","https://dwr.state.co.us/Tools/GroundWater/Well/150612"
"CODWR","150613","Colorado Division of Water Resources","NHP-KP-006","38.276013","-102.097111","NAD83","GPS","10 m","0","1","Feet","NAVD88","Original database","1 m","223","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","061","Kiowa County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","https://dwr.state.co.us/Tools/GroundWater/Well/150613"
"CODWR","149905","Colorado Division of Water Resources","NHP-KP-019","38.335473","-102.207023","NAD83","GPS","10 m","3975","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","300","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","061","Kiowa County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","https://dwr.state.co.us/Tools/GroundWater/Well/149905"
"CODWR","977","Colorado Division of Water Resources","NHP-KP-014","38.268508","-102.214105","NAD83","GPS","10 m","3884.59","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","238","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","061","Kiowa County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","https://dwr.state.co.us/Tools/GroundWater/Well/977"
"CODWR","979","Colorado Division of Water Resources","NHP-KP-017","38.279665","-102.301258","NAD83","GPS","10 m","3886.62","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","200","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","061","Kiowa County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","https://dwr.state.co.us/Tools/GroundWater/Well/979"
