"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSysName","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","QwWellChars","QwWellCharsDesc","QwWellType","QwWellTypeDesc","QwWellPurpose","QwWellPurposeDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"TWDB","2406402","Texas Water Development Board","2406402","33.946667","-102.360556","NAD83","Interpolated From Topo Map","+/- 1 Second","3595","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","176","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","279","Lamb County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2406402&Type=GWDB"
"TWDB","2414301","Texas Water Development Board","2414301","33.840556","-102.263612","NAD83","Interpolated From Topo Map","+/- 1 Second","3456","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","108","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","279","Lamb County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2414301&Type=GWDB"
"TWDB","2404702","Texas Water Development Board","2404702","33.8905306","-102.6018472","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3762","1","Feet","NAVD88","Digital Elevation Model -DEM","3M","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","279","Lamb County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2404702&Type=GWDB"
"TWDB","1052904","Texas Water Development Board","TWDB:1052904","34.14","-102.519722","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3706","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","173","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","279","Lamb County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1052904&Type=GWDB"
"TWDB","1053608","Texas Water Development Board","TWDB:1053608","34.19","-102.410834","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3676","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","208","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","279","Lamb County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1053608&Type=GWDB"
"TWDB","1054601","Texas Water Development Board","TWDB:1054601","34.19","-102.289167","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3666","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","200","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","279","Lamb County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1054601&Type=GWDB"
"TWDB","1055206","Texas Water Development Board","TWDB:1055206","34.21","-102.180833","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3639","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","369","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","279","Lamb County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1055206&Type=GWDB"
"TWDB","1055705","Texas Water Development Board","TWDB:1055705","34.15","-102.236945","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3614","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","293","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","279","Lamb County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1055705&Type=GWDB"
"TWDB","1044503","Texas Water Development Board","TWDB:1044503","34.3","-102.543611","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3801","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","376","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","279","Lamb County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1044503&Type=GWDB"
"TWDB","1044908","Texas Water Development Board","TWDB:1044908","34.26","-102.536667","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3749","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","334","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","279","Lamb County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1044908&Type=GWDB"
