"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSysName","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","QwWellChars","QwWellCharsDesc","QwWellType","QwWellTypeDesc","QwWellPurpose","QwWellPurposeDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"TWDB","0437801","Texas Water Development Board","0437801","36.405834","-100.427778","NAD83","Interpolated from Highway or large-scale maps or with only fair location sketches","+/- 5 Seconds","2748","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","378","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","295","Lipscomb County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0437801&Type=GWDB"
"TWDB","0448901","Texas Water Development Board","0448901","36.2775","-100.036667","NAD83","Interpolated From Topo Map","+/- 1 Second","2318","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","350","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","295","Lipscomb County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0448901&Type=GWDB"
"TWDB","0447403","Texas Water Development Board","0447403","36.32","-100.234167","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2530.00","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","295","Lipscomb County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0447403&Type=GWDB"
"TWDB","0448710","Texas Water Development Board","0448710","36.28","-100.094167","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2387.00","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","295","Lipscomb County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0448710&Type=GWDB"
"TWDB","0447101","Texas Water Development Board","0447101","36.352223","-100.248889","NAD83","Interpolated from Highway or large-scale maps or with only fair location sketches","+/- 5 Seconds","2580","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","295","Lipscomb County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0447101&Type=GWDB"
"TWDB","0453101","Texas Water Development Board","Barton Corners Quad","36.233334","-100.475","NAD83","GPS","+/- 1 Second","2505","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","350","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","295","Lipscomb County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0453101&Type=GWDB"
"TWDB","0436209","Texas Water Development Board","Booker Country Club","36.462778","-100.543056","NAD83","GPS","+/- 1 Second","2826","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","441","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","295","Lipscomb County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0436209&Type=GWDB"
"TWDB","0439401","Texas Water Development Board","Follett Quad","36.455834","-100.219444","NAD83","GPS","+/- 1 Second","2695","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","460","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","295","Lipscomb County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0439401&Type=GWDB"
"TWDB","0440501","Texas Water Development Board","Magoun Quad","36.440556","-100.070278","NAD83","GPS","+/- 0.5 Seconds","2489","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","344","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","295","Lipscomb County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0440501&Type=GWDB"
"TWDB","0448103","Texas Water Development Board","0448103","36.350001","-100.090556","NAD83","Interpolated from Highway or large-scale maps or with only fair location sketches","+/- 5 Seconds","2500","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","456","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","295","Lipscomb County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0448103&Type=GWDB"
