"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","WlWellPurposeNotes","Link"
"CODWR","766","Colorado Division of Water Resources","NHP-AR-114","39.499112","-103.587003","NAD83","GPS","10 m","5509.51","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","135","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","073","Lincoln County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Stock","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/766"
"CODWR","784","Colorado Division of Water Resources","NHP-AR-132","39.28773","-103.494953","NAD83","GPS","10 m","5572.62","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","80","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","073","Lincoln County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","","https://dwr.state.co.us/Tools/GroundWater/Well/784"
"CODWR","149880","Colorado Division of Water Resources","NHP-AR-118","39.433532","-103.360923","NAD83","GPS","10 m","5193.68","1","Feet","NAVD88","Original database","1 m","146","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","073","Lincoln County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/149880"
"CODWR","783","Colorado Division of Water Resources","NHP-AR-129","39.259398","-103.379207","NAD83","GPS","10 m","5422.53","1","Feet","NAVD88","Original database","1 m","89","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","073","Lincoln County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","","https://dwr.state.co.us/Tools/GroundWater/Well/783"
"CODWR","769","Colorado Division of Water Resources","NHP-AR-117","39.416749","-103.205281","NAD83","GPS","10 m","5054.37","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","260","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","073","Lincoln County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/769"
"CODWR","782","Colorado Division of Water Resources","NHP-AR-128","39.260112","-103.190833","NAD83","GPS","10 m","5154.9","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","75","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","073","Lincoln County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Domestic","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/782"
"CODWR","765","Colorado Division of Water Resources","NHP-AR-112","39.496566","-103.365478","NAD83","GPS","10 m","5182.48","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","0","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","073","Lincoln County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","","https://dwr.state.co.us/Tools/GroundWater/Well/765"
"CODWR","777","Colorado Division of Water Resources","NHP-AR-123","39.334228","-103.173653","NAD83","GPS","10 m","5047.08","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","110","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","073","Lincoln County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/777"
"CODWR","778","Colorado Division of Water Resources","NHP-AR-124","39.320677","-103.253511","NAD83","GPS","10 m","5160.68","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","75","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","073","Lincoln County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","","https://dwr.state.co.us/Tools/GroundWater/Well/778"
"CODWR","779","Colorado Division of Water Resources","NHP-AR-125","39.313674","-103.398671","NAD83","GPS","10 m","5392.95","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","77","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","073","Lincoln County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","","https://dwr.state.co.us/Tools/GroundWater/Well/779"
