"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"TWDB","2849403","Texas Water Development Board","2849403","32.171389","-101.991945","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2755","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","317","Martin County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2849403&Type=GWDB"
"TWDB","2833702","Texas Water Development Board","TWDB:2833702","32.3975","-101.958334","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2847","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","317","Martin County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2833702&Type=GWDB"
"TWDB","2748612","Texas Water Development Board","2748612","32.313612","-102.003334","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2813","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","317","Martin County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2748612&Type=GWDB"
"TWDB","2857301","Texas Water Development Board","2857301","32.105834","-101.885","NAD83","Interpolated From Topo Map","+/- 1 Second","2691","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","317","Martin County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2857301&Type=GWDB"
"TWDB","2857201","Texas Water Development Board","2857201","32.096667","-101.924444","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2708","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","317","Martin County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2857201&Type=GWDB"
"TWDB","2849302","Texas Water Development Board","2849302","32.222778","-101.901945","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2842","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","317","Martin County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2849302&Type=GWDB"
"TWDB","2740801","Texas Water Development Board","TWDB:2740801","32.412778","-102.079444","NAD83","Interpolated from Highway or large-scale maps or with only fair location sketches","+/- 5 Seconds","2873","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","317","Martin County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2740801&Type=GWDB"
"TWDB","2748402","Texas Water Development Board","TWDB:2748402","32.307778","-102.101389","NAD83","Interpolated from Highway or large-scale maps or with only fair location sketches","+/- 5 Seconds","2858","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","317","Martin County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2748402&Type=GWDB"
"TWDB","2748904","Texas Water Development Board","TWDB:2748904","32.277778","-102.0325","NAD83","Interpolated from Highway or large-scale maps or with only fair location sketches","+/- 5 Seconds","2803","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","317","Martin County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2748904&Type=GWDB"
"TWDB","2841501","Texas Water Development Board","TWDB:2841501","32.325278","-101.936667","NAD83","Interpolated from Highway or large-scale maps or with only fair location sketches","+/- 5 Seconds","2837","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","317","Martin County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2841501&Type=GWDB"
