"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSysName","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","QwWellChars","QwWellCharsDesc","QwWellType","QwWellTypeDesc","QwWellPurpose","QwWellPurposeDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"TWDB","0602902","Texas Water Development Board","TWDB:0602902","35.875278","-101.787222","NAD83","Interpolated From Topo Map","+/- 1 Second","3501","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","494","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","341","Moore County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0602902&Type=GWDB"
"TWDB","0716302","Texas Water Development Board","TWDB:0716302","35.844445","-102.017222","NAD83","Interpolated From Topo Map","+/- 1 Second","3704","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","414","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","341","Moore County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0716302&Type=GWDB"
"TWDB","0602802","Texas Water Development Board","Dumas NE Quad","35.904167","-101.810834","NAD83","GPS","+/- 1 Second","3507","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","423","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","341","Moore County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0602802&Type=GWDB"
"TWDB","0618501","Texas Water Development Board","TWDB:0618501","35.69","-101.7966667","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3360","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","180","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","341","Moore County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0618501&Type=GWDB"
"TWDB","0611204","Texas Water Development Board","Pollard Creek Quad","35.866944","-101.700556","NAD83","GPS","+/- 1 Second","3420","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","445","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","341","Moore County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0611204&Type=GWDB"
"TWDB","0707304","Texas Water Development Board","TWDB:0707304","36","-102.131944","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3757","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","539","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","341","Moore County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0707304&Type=GWDB"
"TWDB","0617601","Texas Water Development Board","TWDB:0617601","35.693056","-101.899445","NAD83","Interpolated from Highway or large-scale maps or with only fair location sketches","+/- 5 Seconds","3545","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","412","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","341","Moore County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0617601&Type=GWDB"
"TWDB","0357501","Texas Water Development Board","0357501","36.052223","-101.953889","NAD83","Interpolated from Highway or large-scale maps or with only fair location sketches","+/- 5 Seconds","3582","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","400","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","341","Moore County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0357501&Type=GWDB"
"TWDB","0603402","Texas Water Development Board","TWDB:0603402","35.918333","-101.721667","NAD83","Interpolated from Highway or large-scale maps or with only fair location sketches","+/- 5 Seconds","3441","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","398","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","341","Moore County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0603402&Type=GWDB"
"TWDB","0716903","Texas Water Development Board","TWDB:0716903","35.755001","-102.036389","NAD83","Interpolated from Highway or large-scale maps or with only fair location sketches","+/- 5 Seconds","3702","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","401","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","341","Moore County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0716903&Type=GWDB"
