"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"USGS","405503098441801","U.S. Geological Survey","11N 13W13CCCD1 Site3-170","40.9174166666667","-98.7383888888889","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- .1 second (differentially corrected GPS)","2122","1","Feet","NGVD29","Interpolated from topographic map","+/- 5 ft","170","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","31","Nebraska","019","Buffalo County","Ogallala Formation","WELL","CONFINED","0","No","0","No","NEWSC GW Recorder","1","Yes","1","Yes","3","Known Changes","2","Trend","1","Dedicated Monitoring/Observation","https://waterdata.usgs.gov/monitoring-location/405503098441801"
"USGS","411739103401501","U.S. Geological Survey","15N 55W 7ABB 1  KIMBALL","41.2935222222222","-103.672655555556","NAD83","Differential Global Positioning System (DGPS)","Accurate to +/- .01 second (differentially corrected GPS)","4873.5","1","Feet","NAVD88","Differential Global Positioning System (DGPS) - NOT FOR NEW DATA ENTRY IF GNSS methods used. Historically used and includes DGPS and SGPS methods. After October, 2014 only use if commercial DGPS of sub meter accuracy was used.","+/- .05 ft","314","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","31","Nebraska","105","Kimball County","Ogallala Formation","WELL","","0","No","0","No","","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","https://waterdata.usgs.gov/monitoring-location/411739103401501"
"USGS","405632098373501","U.S. Geological Survey","11N 12W12BCB 1 Cameron","40.9420277777778","-98.6268333333333","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- .5 second (Precise Positioning Service (PLGR/PPS GPS))","1952","1","Feet","NAVD88","Unknown","+/- .01 ft","124","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","31","Nebraska","079","Hall County","Sand and Gravel Deposits","WELL","UNCONFINED","0","No","0","No","NEWSC GW Recorder","1","Yes","1","Yes","3","Known Changes","2","Trend","1","Dedicated Monitoring/Observation","https://waterdata.usgs.gov/monitoring-location/405632098373501"
"USGS","410248099164701","U.S. Geological Survey","12N 17W 5ABAA1 Milton","41.04675","-99.2797222222222","NAD83","Differential Global Positioning System (DGPS)","Accurate to +/- .1 second (differentially corrected GPS)","2301","1","Feet","NAVD88","Interpolated from digital elevation model (DEM)","+/- 1.6 ft","185","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","31","Nebraska","019","Buffalo County","Ogallala Formation","WELL","UNCONFINED","0","No","0","No","NEWSC GW Recorder","1","Yes","1","Yes","2","Suspected / Anticipated Changes","2","Trend","1","Dedicated Monitoring/Observation","https://waterdata.usgs.gov/monitoring-location/410248099164701"
"USGS","405435098432601","U.S. Geological Survey","11N 13W24ACCD1 Site4-95","40.9096944444444","-98.724","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- .1 second (differentially corrected GPS)","2050","1","Feet","NGVD29","Interpolated from topographic map","+/- 5 ft","95","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","31","Nebraska","019","Buffalo County","Ogallala Formation","WELL","CONFINED","0","No","0","No","","1","Yes","1","Yes","3","Known Changes","2","Trend","1","Dedicated Monitoring/Observation","https://waterdata.usgs.gov/monitoring-location/405435098432601"
"USGS","411736096170201","U.S. Geological Survey","15N 10E 3CDDA1 Waterloo","41.2932222222222","-96.28375","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","1121.93","1","Feet","NAVD88","Unknown","+/- .10 ft","45","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","31","Nebraska","055","Douglas County","Holocene Alluvium","WELL","UNCONFINED","0","No","0","No","NEWSC GW Recorder","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","https://waterdata.usgs.gov/monitoring-location/411736096170201"
"USGS","411733096185501","U.S. Geological Survey","15N 10E 5DDCB1 Valley-15","41.2925888888889","-96.3152972222222","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- .01 second (differentially corrected GPS)","1127.4","1","Feet","NAVD88","Unknown","+/- .10 ft","15","1","Feet","N100HGHPLN","High Plains aquifer","US","United States ofAmerica","31","Nebraska","055","Douglas County","Holocene Alluvium","WELL","UNCONFINED","1","Yes","1","Yes","NEWSC GW Recorder","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","https://waterdata.usgs.gov/monitoring-location/411733096185501"
"USGS","415022096434301","U.S. Geological Survey","22N  6E34BCBB1 West Point","41.8395833333333","-96.7285","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","1308","1","Feet","NAVD88","Interpolated from digital elevation model (DEM)","+/- 4.3 ft","55","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","31","Nebraska","039","Cuming County","","WELL","UNCONFINED","0","No","0","No","NEWSC GW Recorder","1","Yes","1","Yes","3","Known Changes","2","Trend","1","Dedicated Monitoring/Observation","https://waterdata.usgs.gov/monitoring-location/415022096434301"
"USGS","413130100531202","U.S. Geological Survey","18N 31W16DDDB2 Tryon2","41.5250555555556","-100.888388888889","NAD83","GNSS2 - Level 1 Quality Survey Grade Global Navigation Satellite System","Level 2 survey-grade GPS","3219.62","1","Feet","NAVD88","Unknown","+/- .1 ft","130","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","31","Nebraska","117","McPherson County","Windblown Sand Deposits, Undifferentiated","WELL","UNCONFINED","0","No","0","No","CRN","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","https://waterdata.usgs.gov/monitoring-location/413130100531202"
"USGS","411231096193203","U.S. Geological Survey","14N 10E 5CBDB3 (E-V3)","41.2086111111111","-96.3255555555556","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","1107","1","Feet","NGVD29","Interpolated from topographic map","+/- 5 ft","22","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","31","Nebraska","055","Douglas County","Sand and Gravel Deposits","WELL","UNCONFINED","1","Yes","1","Yes","","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","https://waterdata.usgs.gov/monitoring-location/411231096193203"
