"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSysName","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","QwWellChars","QwWellCharsDesc","QwWellType","QwWellTypeDesc","QwWellPurpose","QwWellPurposeDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"TWDB","0746801","Texas Water Development Board","TWDB:0746801","35.27","-102.3261111","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","4016","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","360","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","359","Oldham County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0746801&Type=GWDB"
"TWDB","0752101","Texas Water Development Board","TWDB:0752101","35.21","-102.6088889","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","4118","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","282","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","359","Oldham County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0752101&Type=GWDB"
"TWDB","0754404","Texas Water Development Board","TWDB:0754404","35.19","-102.3641667","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","4000","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","276","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","359","Oldham County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0754404&Type=GWDB"
"TWDB","0734801","Texas Water Development Board","Canadian River Ranch","35.401112","-102.814723","NAD83","GPS","+/- 0.5 Seconds","3804","1","Feet","NAVD88","Digital Elevation Model -DEM","Unknown","210","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","359","Oldham County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0148902&Type=GWDB"
"TWDB","0744807","Texas Water Development Board","Landergin Quad","35.269167","-102.563889","NAD83","GPS","+/- 0.5 Seconds","4091","1","Feet","NAVD88","Digital Elevation Model -DEM","Unknown","247","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","359","Oldham County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0148902&Type=GWDB"
"TWDB","0745601","Texas Water Development Board","Vega North Quad","35.304167","-102.413056","NAD83","GPS","+/- 0.5 Seconds","3986","1","Feet","NAVD88","Digital Elevation Model -DEM","Unknown","185","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","359","Oldham County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0148902&Type=GWDB"
"TWDB","0751601","Texas Water Development Board","Simms NW Quad (east)","35.200278","-102.655556","NAD83","GPS","+/- 0.5 Seconds","4172","1","Feet","NAVD88","Digital Elevation Model -DEM","Unknown","175","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","359","Oldham County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0148902&Type=GWDB"
"TWDB","0752610","Texas Water Development Board","Vega Land & Cattle Co.","35.200556","-102.505556","NAD83","GPS","+/- 0.5 Seconds","4097","1","Feet","NAVD88","Digital Elevation Model -DEM","Unknown","340","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","359","Oldham County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0148902&Type=GWDB"
"TWDB","0753227","Texas Water Development Board","Vega Cemetery Assoc.","35.240556","-102.450278","NAD83","GPS","+/- 0.5 Seconds","4042","1","Feet","NAVD88","Digital Elevation Model -DEM","Unknown","284","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","359","Oldham County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0148902&Type=GWDB"
"TWDB","0752301","Texas Water Development Board","0752301","35.2255556","-102.5277778","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","4112","1","Feet","NAVD88","Digital Elevation Model -DEM","3M","370","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","359","Oldham County","Ogallala Formation and Dockum Formation (Ogallala/Dockum)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0752301&Type=GWDB"
