"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSysName","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","QwWellChars","QwWellCharsDesc","QwWellType","QwWellTypeDesc","QwWellPurpose","QwWellPurposeDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"TWDB","1027902","Texas Water Development Board","TWDB:1027902","34.5225","-102.666389","NAD83","Interpolated From Topo Map","+/- 1 Second","4009","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","453","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","369","Parmer County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1027902&Type=GWDB"
"TWDB","1035503","Texas Water Development Board","TWDB:1035503","34.450556","-102.696389","NAD83","Interpolated From Topo Map","+/- 1 Second","4002","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","360","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","369","Parmer County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1035503&Type=GWDB"
"TWDB","0948306","Texas Water Development Board","TWDB:0948306","34.37","-103.026111","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","4140","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","371","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","369","Parmer County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0948306&Type=GWDB"
"TWDB","1017501","Texas Water Development Board","TWDB:1017501","34.71","-102.949167","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","4312","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","300","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","369","Parmer County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1017501&Type=GWDB"
"TWDB","1034305","Texas Water Development Board","TWDB:1034305","34.47","-102.758889","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","4041","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","460","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","369","Parmer County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1034305&Type=GWDB"
"TWDB","1034404","Texas Water Development Board","TWDB:1034404","34.45","-102.838334","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","4101","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","488","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","369","Parmer County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1034404&Type=GWDB"
"TWDB","1034702","Texas Water Development Board","TWDB:1034702","34.38","-102.851112","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","4039","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","381","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","369","Parmer County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1034702&Type=GWDB"
"TWDB","1042202","Texas Water Development Board","TWDB:1042202","34.37","-102.803889","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","4010","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","360","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","369","Parmer County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1042202&Type=GWDB"
"TWDB","1043607","Texas Water Development Board","TWDB:1043607","34.33","-102.662778","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3872","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","422","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","369","Parmer County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1043607&Type=GWDB"
"TWDB","1044103","Texas Water Development Board","TWDB:1044103","34.36","-102.612223","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3894","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","384","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","369","Parmer County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1044103&Type=GWDB"
"TWDB","1035603","Texas Water Development Board","TWDB:1035603","34.443334","-102.639445","NAD83","Interpolated From Topo Map","+/- 1 Second","3947","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","405","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","369","Parmer County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1035603&Type=GWDB"
"TWDB","1044204","Texas Water Development Board","TWDB:1044204","34.34","-102.550001","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3862","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","370","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","369","Parmer County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1044204&Type=GWDB"
"TWDB","0932502","Texas Water Development Board","TWDB:0932502","34.57","-103.0430556","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","4294","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","505","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","369","Parmer County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0932502&Type=GWDB"
"TWDB","0948305","Texas Water Development Board","TWDB:0948305","34.35","-103.008334","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","4115","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","353","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","369","Parmer County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0948305&Type=GWDB"
"TWDB","1017602","Texas Water Development Board","TWDB:1017602","34.68","-102.896945","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","4162","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","229","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","369","Parmer County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1017602&Type=GWDB"
"TWDB","1017804","Texas Water Development Board","TWDB:1017804","34.66","-102.954167","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","4247","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","304","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","369","Parmer County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1017804&Type=GWDB"
"TWDB","1018602","Texas Water Development Board","TWDB:1018602","34.69","-102.790556","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","4108","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","350","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","369","Parmer County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1018602&Type=GWDB"
"TWDB","1018701","Texas Water Development Board","TWDB:1018701","34.65","-102.855001","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","4107","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","300","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","369","Parmer County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1018701&Type=GWDB"
"TWDB","1019802","Texas Water Development Board","TWDB:1019802","34.63","-102.673889","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","4009","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","300","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","369","Parmer County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1019802&Type=GWDB"
"TWDB","1025802","Texas Water Development Board","TWDB:1025802","34.5","-102.938611","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","4140","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","325","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","369","Parmer County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1025802&Type=GWDB"
"TWDB","1025914","Texas Water Development Board","TWDB:1025914","34.53","-102.881667","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","4071","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","297","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","369","Parmer County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1025914&Type=GWDB"
