"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","WlWellPurposeNotes","Link"
"CODWR","507","Colorado Division of Water Resources","NHP-FR-055","40.57999","-102.857701","NAD83","User supplied","15 m","4307.24","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","194","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","075","Logan County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Domestic, Stock","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/507"
"CODWR","504","Colorado Division of Water Resources","NHP-FR-030","40.46471","-102.897706","NAD83","User supplied","15 m","4302.77","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","80","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","075","Logan County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/504"
"CODWR","516","Colorado Division of Water Resources","NHP-FR-086","40.761104","-102.675468","NAD83","User supplied","15 m","4101.01","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","280","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","075","Logan County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/516"
"CODWR","503","Colorado Division of Water Resources","NHP-FR-029","40.487775","-102.916052","NAD83","User supplied","15 m","4346.89","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","80","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","075","Logan County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/503"
"CODWR","514","Colorado Division of Water Resources","NHP-FR-085","40.767589","-102.673936","NAD83","GPS","10 m","4119","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","340","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","075","Logan County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/514"
"CODWR","1071","Colorado Division of Water Resources","NHP-FR-074","40.6444","-102.752958","NAD83","GPS","10 m","4150","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","175","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","075","Logan County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/1071"
"CODWR","49522","Colorado Division of Water Resources","NHP-FR-027","40.500489","-102.736125","NAD83","Spotted from section lines","20 m","4163","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","277","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","075","Logan County","Ogallala","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/49522"
"CODWR","506","Colorado Division of Water Resources","NHP-FR-054","40.592219","-102.761867","NAD83","User supplied","15 m","4176.8","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","161","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","075","Logan County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","","https://dwr.state.co.us/Tools/GroundWater/Well/506"
"CODWR","508","Colorado Division of Water Resources","NHP-FR-056","40.539993","-102.881326","NAD83","User supplied","15 m","4302.86","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","147","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","075","Logan County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","","https://dwr.state.co.us/Tools/GroundWater/Well/508"
"CODWR","511","Colorado Division of Water Resources","NHP-FR-075","40.686111","-102.784926","NAD83","User supplied","15 m","4214.81","1","Feet","NAVD88","Original database","1 m","159","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","075","Logan County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","","https://dwr.state.co.us/Tools/GroundWater/Well/511"
"CODWR","49523","Colorado Division of Water Resources","NHP-FR-028","40.52506","-102.805231","NAD83","GPS","10 m","4251","1","Feet","NAVD88","Original database","1 m","220","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","075","Logan County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/49523"
"CODWR","1075","Colorado Division of Water Resources","NHP-FR-073","40.67487","-102.688047","NAD83","GPS","10 m","4099","1","Feet","NAVD88","GPS","1 m","303","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","075","Logan County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/1075"
"CODWR","1058","Colorado Division of Water Resources","NHP-FR-061","40.6326","-102.120342","NAD83","GPS","10 m","3632","1","Feet","NAVD88","Original database","1 m","212","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","095","Phillips County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/1058"
"CODWR","463","Colorado Division of Water Resources","NHP-FR-038","40.556108","-102.147421","NAD83","User supplied","15 m","3634.5","1","Feet","NAVD88","GPS","1 m","215","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","095","Phillips County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/463"
"CODWR","464","Colorado Division of Water Resources","NHP-FR-039","40.530554","-102.182975","NAD83","User supplied","15 m","3662.53","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","323","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","095","Phillips County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/464"
"CODWR","465","Colorado Division of Water Resources","NHP-FR-040","40.530553","-102.174086","NAD83","User supplied","15 m","3650.53","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","266","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","095","Phillips County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/465"
"CODWR","467","Colorado Division of Water Resources","NHP-FR-043","40.597219","-102.239366","NAD83","User supplied","15 m","3713.51","1","Feet","NAVD88","Original database","1 m","273","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","095","Phillips County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/467"
