"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSysName","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","QwWellChars","QwWellCharsDesc","QwWellType","QwWellTypeDesc","QwWellPurpose","QwWellPurposeDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"TWDB","0756307","Texas Water Development Board","TWDB:0756307","35.22","-102.0275","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3815","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","295","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","375","Potter County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0756307&Type=GWDB"
"TWDB","0756405","Texas Water Development Board","TWDB:0756405","35.2","-102.089722","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3842","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","348","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","375","Potter County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0756405&Type=GWDB"
"TWDB","0756501","Texas Water Development Board","TWDB:0756501","35.21","-102.063889","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3824","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","300","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","375","Potter County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0756501&Type=GWDB"
"TWDB","0635206","Texas Water Development Board","City of Amarillo PMW-A1","35.4925","-101.696111","NAD83","GPS","+/- 0.5 Seconds","3371","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","415","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","375","Potter County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0635206&Type=GWDB"
"TWDB","0650209","Texas Water Development Board","TWDB:0650209","35.211945","-101.798889","NAD83","Interpolated from Highway or large-scale maps or with only fair location sketches","+/- 5 Seconds","3652","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","312","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","375","Potter County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0650209&Type=GWDB"
"TWDB","0643606","Texas Water Development Board","0643606","35.2983333","-101.6544444","NAD83","Interpolated From Topo Map","+/- 1 Second","3554","1","Feet","NAVD88","Other (see remarks)","Unknown","385","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","375","Potter County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0643606&Type=GWDB"
"TWDB","0627504","Texas Water Development Board","TWDB:0627504","35.551389","-101.673889","NAD83","Interpolated From Topo Map","+/- 1 Second","3133","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","80","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","375","Potter County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0627504&Type=GWDB"
"TWDB","0625501","Texas Water Development Board","0625501","35.561389","-101.925833","NAD83","Interpolated From Topo Map","+/- 1 Second","3484","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","375","Potter County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0625501&Type=GWDB"
"TWDB","0732201","Texas Water Development Board","0732201","35.599167","-102.060001","NAD83","Interpolated From Topo Map","+/- 1 Second","3560","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","375","Potter County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0732201&Type=GWDB"
"TWDB","0627605","Texas Water Development Board","0627605","35.546389","-101.642222","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3268","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","375","Potter County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0627605&Type=GWDB"
