"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSysName","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","QwWellChars","QwWellCharsDesc","QwWellType","QwWellTypeDesc","QwWellPurpose","QwWellPurposeDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"TWDB","1008133","Texas Water Development Board","TWDB:1008133","34.965278","-102.090834","NAD83","Interpolated From Topo Map","+/- 1 Second","3768","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","240","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","381","Randall County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1008133&Type=GWDB"
"TWDB","0657802","Texas Water Development Board","TWDB:0657802","35.03","-101.936111","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3635","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","230","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","381","Randall County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0657802&Type=GWDB"
"TWDB","0657535","Texas Water Development Board","TWDB:0657535","35.06","-101.918333","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3661","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","225","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","381","Randall County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0657535&Type=GWDB"
"TWDB","0658601","Texas Water Development Board","TWDB:0658601","35.08","-101.7730556","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3587","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","250","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","381","Randall County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0658601&Type=GWDB"
"TWDB","0659307","Texas Water Development Board","TWDB:0659307","35.1","-101.6641667","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3540","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","321","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","381","Randall County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0659307&Type=GWDB"
"TWDB","0657716","Texas Water Development Board","0657716","35.04","-101.980833","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3682","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","202","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","381","Randall County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0657716&Type=GWDB"
"TWDB","0755921","Texas Water Development Board","TWDB:0755921","35.13","-102.139445","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3824","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","365","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","381","Randall County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0755921&Type=GWDB"
"TWDB","0756904","Texas Water Development Board","TWDB:0756904","35.15","-102.010278","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3759","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","300","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","381","Randall County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0756904&Type=GWDB"
"TWDB","1008417","Texas Water Development Board","1008417","34.920278","-102.110556","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3752","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","381","Randall County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1008417&Type=GWDB"
"TWDB","0763301","Texas Water Development Board","TWDB:0763301","35.1","-102.150278","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3828","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","288","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","381","Randall County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0763301&Type=GWDB"
