"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSysName","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","QwWellChars","QwWellCharsDesc","QwWellType","QwWellTypeDesc","QwWellPurpose","QwWellPurposeDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"TWDB","0502502","Texas Water Development Board","0502502","35.92","-100.8322222","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2658.00","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","183","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","393","Roberts County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0502502&Type=GWDB"
"TWDB","0457701","Texas Water Development Board","0457701","36.00","-100.961945","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2640.00","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","393","Roberts County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0457701&Type=GWDB"
"TWDB","0502103","Texas Water Development Board","0502103","35.98","-100.865278","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2523.00","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","140","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","393","Roberts County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0502103&Type=GWDB"
"TWDB","0502550","Texas Water Development Board","0502550","35.94","-100.833334","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2660.00","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","155","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","393","Roberts County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0502550&Type=GWDB"
"TWDB","0509604","Texas Water Development Board","0509604","35.83","-100.908056","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2888.00","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","393","Roberts County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0509604&Type=GWDB"
"TWDB","0509605","Texas Water Development Board","0509605","35.82","-100.9105556","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2952.00","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","470","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","393","Roberts County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0509605&Type=GWDB"
"TWDB","0510701","Texas Water Development Board","0510701","35.77","-100.848334","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3007.00","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","728","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","393","Roberts County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0510701&Type=GWDB"
"TWDB","0501601","Texas Water Development Board","0501601","35.94","-100.8888889","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2622.00","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","393","Roberts County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0501601&Type=GWDB"
"TWDB","0501101","Texas Water Development Board","0501101","35.970833","-100.961945","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2642","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","140","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","393","Roberts County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0501101&Type=GWDB"
"TWDB","0511101","Texas Water Development Board","0511101","35.8513889","-100.7291667","NAD83","Interpolated From Topo Map","+/- 1 Second","2898","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","343","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","393","Roberts County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0511101&Type=GWDB"
"TWDB","0517350","Texas Water Development Board","0517350","35.708889","-100.885278","NAD83","Interpolated From Topo Map","+/- 1 Second","3105","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","510","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","393","Roberts County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0517350&Type=GWDB"
"TWDB","0608601","Texas Water Development Board","TWDB:0608601","35.936389","-101.023611","NAD83","Interpolated From Topo Map","+/- 1 Second","2575","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","70","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","393","Roberts County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0608601&Type=GWDB"
