"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","WlWellPurposeNotes","Link"
"CODWR","149866","Colorado Division of Water Resources","NHP-MB-008","40.877175","-102.127487","NAD83","Spotted from quarters","20 m","3672","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","410","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","115","Sedgwick County","Ogallala","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/149866"
"CODWR","416","Colorado Division of Water Resources","NHP-MB-001","40.762774","-102.145462","NAD83","User supplied","15 m","3661.4","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","295","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","115","Sedgwick County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Stock","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/416"
"CODWR","418","Colorado Division of Water Resources","NHP-MB-003","40.759725","-102.405748","NAD83","User supplied","15 m","3883.59","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","318","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","115","Sedgwick County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/418"
"CODWR","419","Colorado Division of Water Resources","NHP-MB-004","40.767219","-102.473529","NAD83","User supplied","15 m","3932.63","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","390","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","115","Sedgwick County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/419"
"CODWR","422","Colorado Division of Water Resources","NHP-MB-005","40.768058","-102.560196","NAD83","User supplied","15 m","3991.68","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","325","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","115","Sedgwick County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/422"
"CODWR","423","Colorado Division of Water Resources","NHP-MB-006","40.752444","-102.629099","NAD83","GPS","10 m","4052","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","360","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","115","Sedgwick County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/423"
"CODWR","432","Colorado Division of Water Resources","NHP-MB-016","40.794999","-102.469086","NAD83","User supplied","15 m","3940.63","1","Feet","NAVD88","Original database","1 m","285","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","115","Sedgwick County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","","https://dwr.state.co.us/Tools/GroundWater/Well/432"
"CODWR","427","Colorado Division of Water Resources","NHP-MB-011","40.822771","-102.324353","NAD83","User supplied","15 m","3822.73","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","400","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","115","Sedgwick County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/427"
"CODWR","428","Colorado Division of Water Resources","NHP-MB-012","40.841381","-102.511577","NAD83","User supplied","15 m","3971.66","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","370","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","115","Sedgwick County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/428"
"CODWR","1012","Colorado Division of Water Resources","NHP-MB-010","40.796391","-102.218254","NAD83","User supplied","15 m","3713.5","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","320","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","115","Sedgwick County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/1012"
