"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSysName","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","QwWellChars","QwWellCharsDesc","QwWellType","QwWellTypeDesc","QwWellPurpose","QwWellPurposeDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"TWDB","1135209","Texas Water Development Board","TWDB:1135209","34.48","-101.673889","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3414","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","200","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","437","Swisher County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1135209&Type=GWDB"
"TWDB","1117105","Texas Water Development Board","TWDB:1117105","34.75","-101.964167","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3690","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","208","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","437","Swisher County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1117105&Type=GWDB"
"TWDB","1118405","Texas Water Development Board","TWDB:1118405","34.69","-101.866389","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3596","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","194","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","437","Swisher County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1118405&Type=GWDB"
"TWDB","1118503","Texas Water Development Board","TWDB:1118503","34.71","-101.805834","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3545","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","245","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","437","Swisher County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1118503&Type=GWDB"
"TWDB","1119401","Texas Water Development Board","TWDB:1119401","34.69","-101.7225","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3500","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","230","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","437","Swisher County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1119401&Type=GWDB"
"TWDB","1120301","Texas Water Development Board","TWDB:1120301","34.73","-101.537778","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3389","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","152","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","437","Swisher County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1120301&Type=GWDB"
"TWDB","1133201","Texas Water Development Board","TWDB:1133201","34.47","-101.9375","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3607","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","304","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","437","Swisher County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1133201&Type=GWDB"
"TWDB","1133502","Texas Water Development Board","TWDB:1133502","34.43","-101.954167","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3620","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","342","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","437","Swisher County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1133502&Type=GWDB"
"TWDB","1134501","Texas Water Development Board","TWDB:1134501","34.45","-101.823611","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3542","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","254","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","437","Swisher County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1134501&Type=GWDB"
"TWDB","1134601","Texas Water Development Board","TWDB:1134601","34.42","-101.758334","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3481","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","209","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","437","Swisher County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1134601&Type=GWDB"
