"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"TWDB","2446402","Texas Water Development Board","2446402","33.2975","-102.348056","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3402","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","445","Terry County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2446402&Type=GWDB"
"TWDB","2462901","Texas Water Development Board","2462901","33.018333","-102.262778","NAD83","Interpolated From Topo Map","+/- 1 Second","3207","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","445","Terry County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2462901&Type=GWDB"
"TWDB","2453101","Texas Water Development Board","2453101","33.220833","-102.466944","NAD83","Interpolated From Topo Map","+/- 1 Second","3447","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","445","Terry County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2453101&Type=GWDB"
"TWDB","2462103","Texas Water Development Board","2462103","33.105278","-102.374167","NAD83","Interpolated From Topo Map","+/- 1 Second","3332","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","445","Terry County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2462103&Type=GWDB"
"TWDB","2461507","Texas Water Development Board","2461507","33.044722","-102.419167","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3333","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","445","Terry County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2461507&Type=GWDB"
"TWDB","2444301","Texas Water Development Board","Plains1 SE Quad (NE)","33.358334","-102.521111","NAD83","GPS","+/- 1 Second","3537","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","445","Terry County","Ogallala Formation","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2444301&Type=GWDB"
"TWDB","2463202","Texas Water Development Board","2463202","33.083611","-102.188056","NAD83","Interpolated From Topo Map","+/- 1 Second","3190","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","445","Terry County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2463202&Type=GWDB"
"TWDB","2461103","Texas Water Development Board","2461103","33.118055","-102.463889","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3392","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","445","Terry County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2461103&Type=GWDB"
"TWDB","2460903","Texas Water Development Board","2460903","33.003612","-102.508334","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3380","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","445","Terry County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2460903&Type=GWDB"
"TWDB","2455505","Texas Water Development Board","2455505","33.181944","-102.174167","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3243","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","445","Terry County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2455505&Type=GWDB"
"TWDB","2447801","Texas Water Development Board","2447801","33.272778","-102.205278","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3275","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","445","Terry County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2447801&Type=GWDB"
"TWDB","2444601","Texas Water Development Board","2444601","33.323055","-102.518611","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3506","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","445","Terry County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2444601&Type=GWDB"
"TWDB","2706103","Texas Water Development Board","2706103","32.961389","-102.338611","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3238","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","445","Terry County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2706103&Type=GWDB"
"TWDB","2706101","Texas Water Development Board","2706101","32.994445","-102.358334","NAD83","Interpolated From Topo Map","+/- 1 Second","3266","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","445","Terry County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2706101&Type=GWDB"
"TWDB","2705301","Texas Water Development Board","2705301","32.961112","-102.39","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3296","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","445","Terry County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2705301&Type=GWDB"
"TWDB","2707201","Texas Water Development Board","2707201","32.996667","-102.181389","NAD83","Interpolated From Topo Map","+/- 1 Second","3156","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","445","Terry County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2707201&Type=GWDB"
"TWDB","2453602","Texas Water Development Board","2453602","33.196389","-102.394167","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3391","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","445","Terry County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2453602&Type=GWDB"
"TWDB","2453502","Texas Water Development Board","2453502","33.167222","-102.429722","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3397","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","445","Terry County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2453502&Type=GWDB"
"TWDB","2452302","Texas Water Development Board","2452302","33.246111","-102.516944","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3495","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","445","Terry County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2452302&Type=GWDB"
"TWDB","2452602","Texas Water Development Board","TWDB:2452602","33.2","-102.507778","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3464","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","445","Terry County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2452602&Type=GWDB"
"TWDB","2452803","Texas Water Development Board","TWDB:2452803","33.14","-102.5725","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3483","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","445","Terry County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2452803&Type=GWDB"
"TWDB","2453202","Texas Water Development Board","TWDB:2453202","33.21","-102.428333","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3407","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","445","Terry County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2453202&Type=GWDB"
"TWDB","2460202","Texas Water Development Board","TWDB:2460202","33.09","-102.578333","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3434","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","445","Terry County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2460202&Type=GWDB"
