"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","WlWellPurposeNotes","Link"
"CODWR","349","Colorado Division of Water Resources","NHP-WY-018","40.093327","-102.648551","NAD83","User supplied","15 m","4076","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","375","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","121","Washington County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/349"
"CODWR","745","Colorado Division of Water Resources","NHP-AR-093","39.615814","-103.27476","NAD83","GPS","10 m","5021.43","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","125","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","121","Washington County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","","https://dwr.state.co.us/Tools/GroundWater/Well/745"
"CODWR","149862","Colorado Division of Water Resources","NHP-AR-076","39.652058","-102.878174","NAD83","GPS","10 m","4462","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","56","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","121","Washington County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","","https://dwr.state.co.us/Tools/GroundWater/Well/149862"
"CODWR","348","Colorado Division of Water Resources","NHP-WY-019","40.100562","-102.601192","NAD83","Digitized","10 m","4022","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","420","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","121","Washington County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/348"
"CODWR","347","Colorado Division of Water Resources","NHP-WY-002","40.086103","-102.655215","NAD83","User supplied","15 m","4080","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","340","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","121","Washington County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/347"
"CODWR","49501","Colorado Division of Water Resources","NHP-AR-094","39.621774","-103.367431","NAD83","Spotted from section lines","20 m","5119","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","130","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","121","Washington County","Ogallala","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Stock","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/49501"
"CODWR","5703","Colorado Division of Water Resources","NHP-WC-023","39.703075","-103.200897","NAD83","Spotted from quarters","20 m","4848","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","100","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","121","Washington County","Ogallala","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Stock","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/5703"
"CODWR","1097","Colorado Division of Water Resources","NHP-WC-015","39.764572","-102.853775","NAD83","Spotted from section lines","20 m","4425","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","279","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","121","Washington County","Ogallala","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/1097"
"CODWR","637","Colorado Division of Water Resources","NHP-WC-005","40.379151","-103.079102","NAD83","User supplied","15 m","4370","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","63","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","121","Washington County","White River","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Domestic","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/637"
"CODWR","634","Colorado Division of Water Resources","NHP-WC-004","40.180815","-103.225773","NAD83","User supplied","15 m","4705","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","154","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","121","Washington County","Ogallala","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Stock","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/634"
"CODWR","650","Colorado Division of Water Resources","NHP-WC-013","39.86304","-103.31133","NAD83","User supplied","15 m","4940.56","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","225","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","121","Washington County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Stock","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/650"
"CODWR","391","Colorado Division of Water Resources","NHP-WY-010","40.013042","-102.806045","NAD83","User supplied","15 m","4273.73","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","285","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","121","Washington County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/391"
"CODWR","631","Colorado Division of Water Resources","NHP-WC-002","40.153038","-103.144106","NAD83","User supplied","15 m","4540.53","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","100","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","121","Washington County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/631"
"CODWR","346","Colorado Division of Water Resources","NHP-WY-003","40.06472","-102.648269","NAD83","User supplied","15 m","4072","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","360","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","121","Washington County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/346"
"CODWR","632","Colorado Division of Water Resources","NHP-WC-003","40.266092","-103.090494","NAD83","User supplied","15 m","4492.04","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","138","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","121","Washington County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Domestic, Stock","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/632"
