"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSysName","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","QwWellChars","QwWellCharsDesc","QwWellType","QwWellTypeDesc","QwWellPurpose","QwWellPurposeDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"TWDB","0539408","Texas Water Development Board","0539408","35.421944","-100.228611","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2496","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","110","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","483","Wheeler County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0539408&Type=GWDB"
"TWDB","0529505","Texas Water Development Board","Hemphill County UWCD Recorder","35.574444","-100.434167","NAD83","GPS","+/- 0.5 Seconds - GPS","2774","1","Feet","NAVD88","Digital Elevation Model -DEM","Unknown","253","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","483","Wheeler County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","3","Known Changes","2","Trend","1","Dedicated Monitoring/Observation","http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2825604&Type=GWDB"
"TWDB","0530501","Texas Water Development Board","0530501","35.57","-100.3130556","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2697","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","153","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","483","Wheeler County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0530501&Type=GWDB"
"TWDB","0553307","Texas Water Development Board","TWDB:0553307","35.22","-100.414167","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2604","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","98","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","483","Wheeler County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0553307&Type=GWDB"
"TWDB","0553450","Texas Water Development Board","TWDB:0553450","35.2","-100.4936111","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2691","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","180","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","483","Wheeler County","Ogallala Formation and Whitehorse Group (121OGLW)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0553450&Type=GWDB"
"TWDB","0538511","Texas Water Development Board","0538511","35.46","-100.308612","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2508","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","126","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","483","Wheeler County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0538511&Type=GWDB"
"TWDB","0530124","Texas Water Development Board","0530124","35.605278","-100.348889","NAD83","Interpolated From Topo Map","+/- 1 Second","2643","1","Feet","NAVD88","Other (see remarks)","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","483","Wheeler County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0530124&Type=GWDB"
"TWDB","0531904","Texas Water Development Board","0531904","35.5252778","-100.1388889","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2456","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","483","Wheeler County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0531904&Type=GWDB"
"TWDB","0532804","Texas Water Development Board","0532804","35.523055","-100.071111","NAD83","Interpolated From Topo Map","+/- 1 Second","2365","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","483","Wheeler County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0532804&Type=GWDB"
"TWDB","0536301","Texas Water Development Board","0536301","35.4955556","-100.5241667","NAD83","Interpolated from Highway or large-scale maps or with only fair location sketches","+/- 5 Seconds","2807","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","135","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","483","Wheeler County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0536301&Type=GWDB"
