"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","WlWellPurposeNotes","Link"
"CODWR","590","Colorado Division of Water Resources","NHP-CY-019","40.17277","-102.296319","NAD83","User supplied","15 m","3762.62","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","355","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/590"
"CODWR","592","Colorado Division of Water Resources","NHP-CY-022","40.145274","-102.243816","NAD83","User supplied","15 m","3697.6","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","53","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","","https://dwr.state.co.us/Tools/GroundWater/Well/592"
"CODWR","593","Colorado Division of Water Resources","NHP-CY-023","40.132213","-102.434649","NAD83","User supplied","15 m","3855.17","1","Feet","NAVD88","Original database","1 m","0","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","","https://dwr.state.co.us/Tools/GroundWater/Well/593"
"CODWR","594","Colorado Division of Water Resources","NHP-CY-024","40.123048","-102.56244","NAD83","User supplied","15 m","3957.73","1","Feet","NAVD88","GPS","1 m","405","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/594"
"CODWR","595","Colorado Division of Water Resources","NHP-CY-025","40.10666","-102.554661","NAD83","User supplied","15 m","3961.72","1","Feet","NAVD88","GPS","1 m","327","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/595"
"CODWR","529","Colorado Division of Water Resources","NHP-SH-010","40.201408","-102.260796","NAD83","GPS","10 m","3717","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","343","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/529"
"CODWR","1083","Colorado Division of Water Resources","NHP-SH-003","40.207037","-102.05689","NAD83","GPS","10 m","3570","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","265","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/1083"
"CODWR","591","Colorado Division of Water Resources","NHP-CY-020","40.154992","-102.340767","NAD83","User supplied","15 m","3781.99","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","320","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","","https://dwr.state.co.us/Tools/GroundWater/Well/591"
"CODWR","558","Colorado Division of Water Resources","NHP-SH-036","40.428611","-102.133253","NAD83","User supplied","15 m","3626.53","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","360","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/558"
"CODWR","559","Colorado Division of Water Resources","NHP-SH-037","40.403054","-102.113248","NAD83","User supplied","15 m","3626.53","1","Feet","NAVD88","GPS","1 m","253","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/559"
"CODWR","560","Colorado Division of Water Resources","NHP-SH-039","40.384722","-102.09158","NAD83","User supplied","15 m","3602.91","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","340","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/560"
"CODWR","561","Colorado Division of Water Resources","NHP-SH-040","40.431663","-102.255206","NAD83","User supplied","15 m","3736.59","1","Feet","NAVD88","Original database","1 m","228","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/561"
"CODWR","565","Colorado Division of Water Resources","NHP-SH-042","40.435786","-102.373263","NAD83","GPS","10 m","3796","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","275","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/565"
"CODWR","149908","Colorado Division of Water Resources","NHP-WY-021","40.163498","-102.720637","NAD83","Spotted from quarters","20 m","4105","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","429","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/149908"
"CODWR","1085","Colorado Division of Water Resources","NHP-WY-059","40.268108","-102.542656","NAD83","Spotted from quarters","20 m","3944","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","300","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/1085"
"CODWR","152887","Colorado Division of Water Resources","NHP-WY-090","40.259178","-102.759704","NAD83","GPS","10 m","4112","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","315","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/152887"
"CODWR","566","Colorado Division of Water Resources","NHP-SH-043","40.428611","-102.392143","NAD83","User supplied","15 m","3816.63","1","Feet","NAVD88","Original database","1 m","355","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/566"
"CODWR","568","Colorado Division of Water Resources","NHP-SH-044","40.391104","-102.372704","NAD83","User supplied","15 m","3806.64","1","Feet","NAVD88","Original database","1 m","250","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/568"
"CODWR","569","Colorado Division of Water Resources","NHP-SH-045","40.366666","-102.364374","NAD83","User supplied","15 m","3786.64","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","275","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/569"
"CODWR","572","Colorado Division of Water Resources","NHP-CY-003","40.07972","-102.402989","NAD83","User supplied","15 m","3854.83","1","Feet","NAVD88","Original database","1 m","340","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/572"
"CODWR","534","Colorado Division of Water Resources","NHP-SH-015","40.194433","-102.434645","NAD83","User supplied","15 m","3871","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","305","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","Ogallala","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/534"
"CODWR","1082","Colorado Division of Water Resources","NHP-SH-021","40.344027","-102.118204","NAD83","Digitized","10 m","3639","1","Feet","NAVD88","Original database","1 m","338","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/1082"
"CODWR","537","Colorado Division of Water Resources","NHP-SH-016","40.224991","-102.514095","NAD83","User supplied","15 m","3919.72","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","370","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/537"
"CODWR","540","Colorado Division of Water Resources","NHP-SH-020","40.311662","-102.080471","NAD83","User supplied","15 m","3601.52","1","Feet","NAVD88","GPS","1 m","385","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/540"
"CODWR","544","Colorado Division of Water Resources","NHP-SH-022","40.30916","-102.169647","NAD83","User supplied","15 m","3656.56","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","204","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/544"
"CODWR","374","Colorado Division of Water Resources","NHP-WY-020","40.164058","-102.685389","NAD83","Digitized","15 m","4085.93","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","358","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/374"
"CODWR","545","Colorado Division of Water Resources","NHP-SH-023","40.312497","-102.219927","NAD83","User supplied","15 m","3711.59","1","Feet","NAVD88","Original database","1 m","345","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/545"
"CODWR","546","Colorado Division of Water Resources","NHP-SH-024","40.288889","-102.154084","NAD83","User supplied","15 m","3661.56","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","365","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/546"
"CODWR","547","Colorado Division of Water Resources","NHP-SH-025","40.278885","-102.183259","NAD83","User supplied","15 m","3663.57","1","Feet","NAVD88","USGS NED 1-meter DEM","1 m","370","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","OGALLALA","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","https://dwr.state.co.us/Tools/GroundWater/Well/547"
