date,normalised_level
2001-03-01,2.480473755876619
2001-06-01,
2001-09-01,
2001-12-01,
2002-03-01,1.6267838633040932
2002-06-01,
2002-09-01,
2002-12-01,
2003-03-01,1.6954076925469699
2003-06-01,
2003-09-01,
2003-12-01,
2004-03-01,1.539208084795321
2004-06-01,
2004-09-01,
2004-12-01,
2005-03-01,0.9154283016569197
2005-06-01,
2005-09-01,
2005-12-01,
2006-03-01,1.324315272609132
2006-06-01,
2006-09-01,
2006-12-01,
2007-03-01,0.43307787637698814
2007-06-01,
2007-09-01,
2007-12-01,
2008-03-01,0.42837723640785047
2008-06-01,
2008-09-01,
2008-12-01,
2009-03-01,1.1452565204678355
2009-06-01,
2009-09-01,
2009-12-01,
2010-03-01,0.31526479358462106
2010-06-01,
2010-09-01,
2010-12-01,
2011-03-01,0.5475840717112641
2011-06-01,
2011-09-01,
2011-12-01,
2012-03-01,0.1474835597981874
2012-06-01,
2012-09-01,
2012-12-01,
2013-03-01,-1.2400164402018123
2013-06-01,
2013-09-01,
2013-12-01,
2014-03-01,-1.2751634990253413
2014-06-01,
2014-09-01,
2014-12-01,
2015-03-01,-1.3208987931429892
2015-06-01,
2015-09-01,
2015-12-01,
2016-03-01,-1.2383471860343935
2016-06-01,
2016-09-01,
2016-12-01,
2017-03-01,-1.4250834356725155
2017-06-01,
2017-09-01,
2017-12-01,
2018-03-01,-1.4077471918244462
2018-06-01,
2018-09-01,
2018-12-01,
2019-03-01,-1.6304778801169595
2019-06-01,
2019-09-01,
2019-12-01,
2020-03-01,-1.6823603362573107
