date,normalised_level
2001-12-01,1.3180384575741717
2002-03-01,
2002-06-01,
2002-09-01,
2002-12-01,0.4969276838681602
2003-03-01,
2003-06-01,
2003-09-01,
2003-12-01,0.10850465443647253
2004-03-01,
2004-06-01,
2004-09-01,
2004-12-01,-0.21568785439912183
2005-03-01,
2005-06-01,
2005-09-01,
2005-12-01,-0.5759300505050501
2006-03-01,
2006-06-01,
2006-09-01,
2006-12-01,0.07236852904040408
2007-03-01,
2007-06-01,
2007-09-01,
2007-12-01,-1.3626567821067812
2008-03-01,
2008-06-01,
2008-09-01,
2008-12-01,-0.2289999999999991
2009-03-01,
2009-06-01,
2009-09-01,
2009-12-01,-0.7399864056012015
2010-03-01,
2010-06-01,
2010-09-01,
2010-12-01,-0.1362391461195804
2011-03-01,
2011-06-01,
2011-09-01,
2011-12-01,-0.7468309208152966
2012-03-01,
2012-06-01,
2012-09-01,
2012-12-01,-0.5213244047619047
2013-03-01,
2013-06-01,
2013-09-01,
2013-12-01,-0.33227321428571455
2014-03-01,
2014-06-01,
2014-09-01,
2014-12-01,-1.0665141242937848
2015-03-01,
2015-06-01,
2015-09-01,
2015-12-01,
2016-03-01,
2016-06-01,
2016-09-01,
2016-12-01,-3.270750000000001
2017-03-01,
2017-06-01,
2017-09-01,
2017-12-01,
2018-03-01,
2018-06-01,
2018-09-01,
2018-12-01,
2019-03-01,
2019-06-01,
2019-09-01,
2019-12-01,-2.430147516835016
2020-03-01,
2020-06-01,
2020-09-01,
2020-12-01,
