date,normalised_level
2001-09-01,0.7859417065390748
2001-12-01,
2002-03-01,
2002-06-01,
2002-09-01,-0.29008859649122803
2002-12-01,
2003-03-01,
2003-06-01,
2003-09-01,-0.3052401116427434
2003-12-01,
2004-03-01,
2004-06-01,
2004-09-01,-0.4397855661881973
2004-12-01,
2005-03-01,
2005-06-01,
2005-09-01,0.19157807017543843
2005-12-01,
2006-03-01,
2006-06-01,
2006-09-01,-0.6014522328548643
2006-12-01,
2007-03-01,
2007-06-01,
2007-09-01,0.31718333333333426
2007-12-01,
2008-03-01,
2008-06-01,
2008-09-01,0.8338507974481658
2008-12-01,
2009-03-01,
2009-06-01,
2009-09-01,1.5670326156299843
2009-12-01,
2010-03-01,
2010-06-01,
2010-09-01,1.3829417065390748
2010-12-01,
2011-03-01,
2011-06-01,
2011-09-01,0.174759888357257
2011-12-01,
2012-03-01,
2012-06-01,
2012-09-01,-0.774179505582137
2012-12-01,
2013-03-01,
2013-06-01,
2013-09-01,-0.8572098086124401
2013-12-01,
2014-03-01,
2014-06-01,
2014-09-01,-0.4138764752791069
2014-12-01,
2015-03-01,
2015-06-01,
2015-09-01,-0.4161492025518341
2015-12-01,
2016-03-01,
2016-06-01,
2016-09-01,-0.3475128389154704
2016-12-01,
2017-03-01,
2017-06-01,
2017-09-01,-0.7747855661881977
2017-12-01,
2018-03-01,
2018-06-01,
2018-09-01,-0.9756946570972885
2018-12-01,
2019-03-01,
2019-06-01,
2019-09-01,0.9724871610845294
2019-12-01,
2020-03-01,
2020-06-01,
2020-09-01,0.2585477671451357
