date,level,site
2001-12-21,-30.32,#373231098480401
2002-12-21,-30.44,#373231098480401
2003-12-21,-30.59,#373231098480401
2004-12-21,-30.63,#373231098480401
2005-12-21,-30.72,#373231098480401
2006-12-21,-30.88,#373231098480401
2007-12-21,-30.89,#373231098480401
2008-12-21,-30.96,#373231098480401
2009-12-21,-31.04,#373231098480401
2010-12-21,-31.09,#373231098480401
2011-12-21,,#373231098480401
2012-12-21,-31.38,#373231098480401
2013-12-21,-31.56,#373231098480401
2014-12-21,-31.7,#373231098480401
2015-12-21,-31.8,#373231098480401
2016-12-21,-31.89,#373231098480401
2017-12-21,-31.98,#373231098480401
2018-12-21,-31.99,#373231098480401
2019-12-21,-31.86,#373231098480401
2020-12-21,-31.72,#373231098480401
2001-12-21,-21.06,#373233098411501
2002-12-21,-21.13,#373233098411501
2003-12-21,-21.32,#373233098411501
2004-12-21,-21.28,#373233098411501
2005-12-21,-21.41,#373233098411501
2006-12-21,-21.59,#373233098411501
2007-12-21,-21.72,#373233098411501
2008-12-21,-21.61,#373233098411501
2009-12-21,-21.67,#373233098411501
2010-12-21,-21.67,#373233098411501
2011-12-21,,#373233098411501
2012-12-21,-22.17,#373233098411501
2013-12-21,-22.37,#373233098411501
2014-12-21,-22.53,#373233098411501
2015-12-21,-22.68,#373233098411501
2016-12-21,-22.77,#373233098411501
2017-12-21,-22.86,#373233098411501
2018-12-21,-22.9,#373233098411501
2019-12-21,-22.56,#373233098411501
2020-12-21,-22.35,#373233098411501
2001-12-21,-17.22,#374358098203301
2002-12-21,-17.92,#374358098203301
2003-12-21,-18.18,#374358098203301
2004-12-21,-16.69,#374358098203301
2005-12-21,-17.04,#374358098203301
2006-12-21,-17.77,#374358098203301
2007-12-21,-17.49,#374358098203301
2008-12-21,-17.54,#374358098203301
2009-12-21,-17.47,#374358098203301
2010-12-21,-16.41,#374358098203301
2011-12-21,,#374358098203301
2012-12-21,-18.78,#374358098203301
2013-12-21,-18.11,#374358098203301
2014-12-21,-18.32,#374358098203301
2015-12-21,-18.285,#374358098203301
2016-12-21,-17.955,#374358098203301
2017-12-21,-17.84,#374358098203301
2018-12-21,-16.9,#374358098203301
2019-12-21,-15.61,#374358098203301
2020-12-21,-17.1,#374358098203301
2001-12-21,-6.37,#374930098470601
2002-12-21,-8.29,#374930098470601
