date,normalised_level
2001-12-01,2.3743463724612983
2002-03-01,
2002-06-01,
2002-09-01,
2002-12-01,0.5308942194953463
2003-03-01,
2003-06-01,
2003-09-01,
2003-12-01,0.21538650870026876
2004-03-01,
2004-06-01,
2004-09-01,
2004-12-01,0.989903194835198
2005-03-01,
2005-06-01,
2005-09-01,
2005-12-01,1.8232505227283802
2006-03-01,
2006-06-01,
2006-09-01,
2006-12-01,0.5378851735743545
2007-03-01,
2007-06-01,
2007-09-01,
2007-12-01,1.1000031220826774
2008-03-01,
2008-06-01,
2008-09-01,
2008-12-01,1.1718559518804712
2009-03-01,
2009-06-01,
2009-09-01,
2009-12-01,1.184793122358211
2010-03-01,
2010-06-01,
2010-09-01,
2010-12-01,0.7945633878438655
2011-03-01,
2011-06-01,
2011-09-01,
2011-12-01,0.00048814786024733287
2012-03-01,
2012-06-01,
2012-09-01,
2012-12-01,-0.9225842740442978
2013-03-01,
2013-06-01,
2013-09-01,
2013-12-01,-0.3932948528598478
2014-03-01,
2014-06-01,
2014-09-01,
2014-12-01,-0.8872532155033002
2015-03-01,
2015-06-01,
2015-09-01,
2015-12-01,-1.303425326254943
2016-03-01,
2016-06-01,
2016-09-01,
2016-12-01,-0.7796641706609229
2017-03-01,
2017-06-01,
2017-09-01,
2017-12-01,-0.5699424593928581
2018-03-01,
2018-06-01,
2018-09-01,
2018-12-01,-0.4409767261053876
2019-03-01,
2019-06-01,
2019-09-01,
2019-12-01,0.08240647235766595
2020-03-01,
2020-06-01,
2020-09-01,
2020-12-01,-0.46063574750908337
