date,normalised_level
2001-06-01,1.0491698591639615
2001-09-01,
2001-12-01,
2002-03-01,
2002-06-01,0.6698608321135326
2002-09-01,
2002-12-01,
2003-03-01,
2003-06-01,0.40794978915659064
2003-09-01,
2003-12-01,
2004-03-01,
2004-06-01,-0.07814503463607717
2004-09-01,
2004-12-01,
2005-03-01,
2005-06-01,-0.036101268776129486
2005-09-01,
2005-12-01,
2006-03-01,
2006-06-01,-0.29277480273494144
2006-09-01,
2006-12-01,
2007-03-01,
2007-06-01,-0.22676020526295348
2007-09-01,
2007-12-01,
2008-03-01,
2008-06-01,-0.14143154056688342
2008-09-01,
2008-12-01,
2009-03-01,
2009-06-01,0.03910741012963505
2009-09-01,
2009-12-01,
2010-03-01,
2010-06-01,0.2226362378775968
2010-09-01,
2010-12-01,
2011-03-01,
2011-06-01,0.21171437290903092
2011-09-01,
2011-12-01,
2012-03-01,
2012-06-01,0.1540309259768092
2012-09-01,
2012-12-01,
2013-03-01,
2013-06-01,-0.36878926417806335
2013-09-01,
2013-12-01,
2014-03-01,
2014-06-01,-0.6424280638583137
2014-09-01,
2014-12-01,
2015-03-01,
2015-06-01,-0.49609074467349573
2015-09-01,
2015-12-01,
2016-03-01,
2016-06-01,-0.3523430267855165
2016-09-01,
2016-12-01,
2017-03-01,
2017-06-01,-0.3730611931254822
2017-09-01,
2017-12-01,
2018-03-01,
2018-06-01,-0.33479077821086456
2018-09-01,
2018-12-01,
2019-03-01,
2019-06-01,0.130861940447297
2019-09-01,
2019-12-01,
2020-03-01,
2020-06-01,0.5763824512537129
