site,slope_MK,slope_LR,slope_MK m/20y,slope_LR m/20y,trend_MK,trend_LR,trend_comparison,elevation,aquifer,state,county,lat,long
#1012,-0.1758333333333333,-0.1689164086687307,-14.06666666666666,-13.51331269349845,Decreasing,Decreasing,,1132.03,High Plains aquifer,Colorado,Sedgwick County,40.796391,-102.218254
#1014,-0.1699999999999997,-0.1749473684210528,-13.59999999999997,-13.99578947368422,Decreasing,Decreasing,,1240.54,High Plains aquifer,Colorado,Phillips County,40.65333,-102.660205
#1020,-0.3337500000000002,-0.3429927760577914,-26.70000000000002,-27.43942208462332,Decreasing,Decreasing,,1265.22,High Plains aquifer,Colorado,Kit Carson County,39.339449,-102.277974
#1057,-0.1666666666666667,-0.1647017543859648,-13.33333333333333,-13.17614035087718,Decreasing,Decreasing,,1223.77,High Plains aquifer,Colorado,Phillips County,40.709076,-102.607438
#1058,-0.4057142857142852,-0.4297719298245613,-32.45714285714281,-34.3817543859649,Decreasing,Decreasing,,1107.03,High Plains aquifer,Colorado,Phillips County,40.6326,-102.120342
#1065,-0.4733333333333329,-0.4865263157894738,-37.86666666666663,-38.9221052631579,Decreasing,Decreasing,,1111.0,High Plains aquifer,Colorado,Phillips County,40.639536,-102.122527
#1072,-0.4571428571428576,-0.4553859649122806,-36.5714285714286,-36.43087719298244,Decreasing,Decreasing,,1114.04,High Plains aquifer,Colorado,Phillips County,40.639552,-102.150017
#1073,-0.1607142857142857,-0.1152280701754385,-12.85714285714286,-9.21824561403508,Decreasing,Decreasing,,1126.24,High Plains aquifer,Colorado,Phillips County,40.645572,-102.200963
#1074,-0.3239999999999995,-0.33015479876161,-25.91999999999996,-26.4123839009288,Decreasing,Decreasing,,1130.2,High Plains aquifer,Colorado,Phillips County,40.439774,-102.227832
#1101,-0.2699999999999996,-0.2785036119711041,-21.59999999999997,-22.28028895768833,Decreasing,Decreasing,,1145.44,High Plains aquifer,Colorado,Phillips County,40.48582,-102.306263
#1103,-0.2611111111111105,-0.2776470588235295,-20.88888888888884,-22.21176470588236,Decreasing,Decreasing,,1146.05,High Plains aquifer,Colorado,Phillips County,40.480502,-102.367025
#1104,-0.3593333333333334,-0.3731475748194014,-28.74666666666667,-29.85180598555211,Decreasing,Decreasing,,1151.23,High Plains aquifer,Colorado,Phillips County,40.465122,-102.30618
#1107,-0.03666666666666667,-0.04040350877192987,-2.933333333333334,-3.23228070175439,Decreasing,Decreasing,,1254.56,High Plains aquifer,Colorado,Kiowa County,38.400889,-102.308029
#1132,-0.2529999999999994,-0.287438596491228,-20.23999999999995,-22.99508771929824,Decreasing,Decreasing,,1207.62,High Plains aquifer,Colorado,Baca County,37.593445,-102.26588
#1133,-0.1799999999999997,-0.2693395252837977,-14.39999999999998,-21.54716202270382,Decreasing,Decreasing,,1204.26,High Plains aquifer,Colorado,Baca County,37.585433,-102.27581
#1176,-0.6333333333333341,-0.6612796697626421,-50.66666666666673,-52.90237358101137,Decreasing,Decreasing,,1258.52,High Plains aquifer,Colorado,Baca County,37.265878,-102.410194
#1181,-0.2858333333333333,-0.300561403508772,-22.86666666666667,-24.04491228070176,Decreasing,Decreasing,,1144.83,High Plains aquifer,Colorado,Baca County,37.184192,-102.113102
#1219,-0.2650000000000006,-0.2740660474716203,-21.20000000000005,-21.92528379772962,Decreasing,Decreasing,,1323.75,High Plains aquifer,Colorado,Baca County,37.23629,-102.538853
#152226,-0.02181818181818184,-0.02175438596491229,-1.745454545454547,-1.740350877192983,No trend,No trend,,1327.71,High Plains aquifer,Colorado,Washington County,39.690471,-102.812535
#417,-0.112222222222222,-0.1191795665634675,-8.97777777777776,-9.534365325077397,Decreasing,Decreasing,,1137.51,High Plains aquifer,Colorado,Sedgwick County,40.777773,-102.227963
#424,0.1388888888888889,0.1324385964912282,11.11111111111111,10.59508771929826,Increasing,Increasing,,1101.24,High Plains aquifer,Colorado,Sedgwick County,40.793895,-102.051859
#427,-0.129999999999999,-0.06765737874097,-10.39999999999992,-5.4125902992776,Decreasing,Decreasing,,1165.25,High Plains aquifer,Colorado,Sedgwick County,40.822771,-102.324353
#437,-0.3387500000000001,-0.3491950464396285,-27.10000000000001,-27.93560371517028,Decreasing,Decreasing,,1095.45,High Plains aquifer,Colorado,Phillips County,40.512781,-102.084917
#438,-0.3916666666666669,-0.401702786377709,-31.33333333333335,-32.13622291021672,Decreasing,Decreasing,,1094.84,High Plains aquifer,Colorado,Phillips County,40.443056,-102.089914
#439,-0.4299999999999997,-0.4472755417956656,-34.39999999999998,-35.78204334365325,Decreasing,Decreasing,,1089.96,High Plains aquifer,Colorado,Phillips County,40.451661,-102.070464
#440,-0.4049999999999994,-0.4248710010319917,-32.39999999999995,-33.98968008255933,Decreasing,Decreasing,,1113.74,High Plains aquifer,Colorado,Phillips County,40.512224,-102.16381
