date,normalised_level
2001-12-01,1.0496045240464675
2002-03-01,
2002-06-01,
2002-09-01,
2002-12-01,0.9254522085203524
2003-03-01,
2003-06-01,
2003-09-01,
2003-12-01,0.4613034350422315
2004-03-01,
2004-06-01,
2004-09-01,
2004-12-01,0.5976994730043453
2005-03-01,
2005-06-01,
2005-09-01,
2005-12-01,0.468372481439107
2006-03-01,
2006-06-01,
2006-09-01,
2006-12-01,0.28780714509583916
2007-03-01,
2007-06-01,
2007-09-01,
2007-12-01,0.3575259619480379
2008-03-01,
2008-06-01,
2008-09-01,
2008-12-01,0.386744548033652
2009-03-01,
2009-06-01,
2009-09-01,
2009-12-01,0.27444899110843174
2010-03-01,
2010-06-01,
2010-09-01,
2010-12-01,0.25360786516480527
2011-03-01,
2011-06-01,
2011-09-01,
2011-12-01,0.05095404952420091
2012-03-01,
2012-06-01,
2012-09-01,
2012-12-01,-0.28906108157797494
2013-03-01,
2013-06-01,
2013-09-01,
2013-12-01,-0.4346512139666691
2014-03-01,
2014-06-01,
2014-09-01,
2014-12-01,-0.5867803361492353
2015-03-01,
2015-06-01,
2015-09-01,
2015-12-01,-0.3938124382913357
2016-03-01,
2016-06-01,
2016-09-01,
2016-12-01,-0.3841528798637334
2017-03-01,
2017-06-01,
2017-09-01,
2017-12-01,-0.49761683963340825
2018-03-01,
2018-06-01,
2018-09-01,
2018-12-01,-0.6458147458773175
2019-03-01,
2019-06-01,
2019-09-01,
2019-12-01,-0.7065494655143036
2020-03-01,
2020-06-01,
2020-09-01,
2020-12-01,-0.7565001635142761
