site,data_type,trend,h,p,z,Tau,s,var_s,slope,intercept,slope m/20y
#1001302,level,no trend,False,0.6485821935696237,0.45573271518765,0.1904761904761905,4,43.33333333333334,0.02499999999999858,-78.64499999999998,1.999999999999886
#1001401,level,decreasing,True,0.02599466103572645,-2.226291521269632,-0.4044117647058824,-55,588.3333333333334,-0.02499999999999858,-46.25000000000001,-1.999999999999886
#1002,level,increasing,True,0.04249873448881414,2.028603081167394,0.4175824175824176,38,332.6666666666667,0.1312499999999996,-33.698125,10.49999999999997
#1002301,level,no trend,False,0.6853285557833784,0.4052026520016734,0.08333333333333333,10,493.3333333333333,0.01392857142857145,-92.37946428571429,1.114285714285716
#1002802,level,no trend,False,0.7138155970494986,0.3667364739768277,0.08974358974358974,7,267.6666666666667,0.02449999999999904,-75.52699999999999,1.959999999999923
#1002901,level,no trend,False,0.06378663704794141,1.853668247786178,0.3382352941176471,46,589.3333333333334,0.02309523809523829,-84.41476190476192,1.847619047619063
#1003201,level,decreasing,True,2.359207607049996e-08,-5.583356269186281,-0.9105263157894737,-173,949.0,-0.1529999999999999,-93.36649999999999,-12.23999999999999
#1003501,level,decreasing,True,0.001749740672519096,-3.129718202391531,-0.5263157894736842,-90,808.6666666666666,-0.02692307692307649,-78.8576923076923,-2.153846153846119
#1003702,level,decreasing,True,0.01361110566103774,-2.467366258503651,-0.4313725490196079,-66,694.0,-0.02833333333333362,-69.50416666666666,-2.266666666666689
#1003902,level,decreasing,True,7.470442824342172e-07,-4.948716593053935,-0.9619047619047619,-101,408.3333333333333,-0.4300000000000004,-81.39,-34.40000000000003
#1003903,level,decreasing,True,3.510447526000604e-07,-5.093752623505944,-0.8315789473684211,-158,950.0,-0.1264102564102557,-78.03910256410258,-10.11282051282045
#1004,level,decreasing,True,3.529570490989897e-06,-4.637319239574706,-0.8666666666666667,-104,493.3333333333333,-0.6690909090909085,-73.80681818181817,-53.52727272727268
#1004102,level,decreasing,True,2.757983089907157e-06,-4.688066571226841,-0.7894736842105263,-135,817.0,-0.1266666666666652,-101.43,-10.13333333333321
#1004202,level,decreasing,True,1.145382865219702e-06,-4.864859250181789,-0.875,-119,588.3333333333334,-0.2980808080808092,-95.95535353535352,-23.84646464646473
#1004203,level,decreasing,True,0.0005806665459491267,-3.440487831941734,-0.9444444444444444,-34,92.0,-0.2829999999999956,-107.098,-22.63999999999965
#1004301,level,decreasing,True,3.199674014631171e-08,-5.530144339273563,-0.9607843137254902,-147,697.0,-0.3929411764705886,-97.69,-31.43529411764709
