date,normalised_level
2001-09-01,0.7380370046390747
2001-12-01,
2002-03-01,
2002-06-01,
2002-09-01,-0.12890388404067357
2002-12-01,
2003-03-01,
2003-06-01,
2003-09-01,-0.4331066587549442
2003-12-01,
2004-03-01,
2004-06-01,
2004-09-01,-0.6147081751403627
2004-12-01,
2005-03-01,
2005-06-01,
2005-09-01,-0.5549832801315387
2005-12-01,
2006-03-01,
2006-06-01,
2006-09-01,-0.8768576932325771
2006-12-01,
2007-03-01,
2007-06-01,
2007-09-01,-0.3267313550808192
2007-12-01,
2008-03-01,
2008-06-01,
2008-09-01,0.19897440599895122
2008-12-01,
2009-03-01,
2009-06-01,
2009-09-01,0.24400307509912414
2009-12-01,
2010-03-01,
2010-06-01,
2010-09-01,0.6759515573906465
2010-12-01,
2011-03-01,
2011-06-01,
2011-09-01,0.7887700963386758
2011-12-01,
2012-03-01,
2012-06-01,
2012-09-01,-0.7737803738223913
2012-12-01,
2013-03-01,
2013-06-01,
2013-09-01,-0.7195485217494447
2013-12-01,
2014-03-01,
2014-06-01,
2014-09-01,-0.22559538145015753
2014-12-01,
2015-03-01,
2015-06-01,
2015-09-01,-0.24339580415547143
2015-12-01,
2016-03-01,
2016-06-01,
2016-09-01,-0.1116915865317373
2016-12-01,
2017-03-01,
2017-06-01,
2017-09-01,-0.20942478966271683
2017-12-01,
2018-03-01,
2018-06-01,
2018-09-01,0.5740655485015338
2018-12-01,
2019-03-01,
2019-06-01,
2019-09-01,1.333443766901492
2019-12-01,
2020-03-01,
2020-06-01,
2020-09-01,0.7549113057707157
