date,level,site
2001-06-21,-6.116263736263737,#400155101521302
2002-06-21,-7.239670329670329,#400155101521302
2003-06-21,-6.232527472527472,#400155101521302
2004-06-21,-6.63967032967033,#400155101521302
2005-06-21,-6.181648351648351,#400155101521302
2006-06-21,-6.98021978021978,#400155101521302
2007-06-21,-5.75967032967033,#400155101521302
2008-06-21,-5.5376666666666665,#400155101521302
2009-06-21,-5.587252747252747,#400155101521302
2010-06-21,-5.4048351648351645,#400155101521302
2011-06-21,-5.802417582417582,#400155101521302
2012-06-21,-6.224065934065934,#400155101521302
2013-06-21,-6.128681318681319,#400155101521302
2014-06-21,-6.228901098901099,#400155101521302
2015-06-21,-5.700219780219781,#400155101521302
2016-06-21,-5.74945054945055,#400155101521302
2017-06-21,-5.799560439560439,#400155101521302
2018-06-21,-6.066813186813187,#400155101521302
2019-06-21,-5.616153846153846,#400155101521302
2020-06-21,-6.087362637362638,#400155101521302
2001-06-21,-22.44,#401626097210701
2002-06-21,-22.44666666666667,#401626097210701
2003-06-21,-22.79,#401626097210701
2004-06-21,-23.025,#401626097210701
2005-06-21,-23.03,#401626097210701
2006-06-21,-23.225,#401626097210701
2007-06-21,-23.34,#401626097210701
2008-06-21,-23.08,#401626097210701
2009-06-21,-22.52,#401626097210701
2010-06-21,-22.695,#401626097210701
2011-06-21,-22.69,#401626097210701
2012-06-21,,#401626097210701
2013-06-21,-23.37,#401626097210701
2014-06-21,-23.64,#401626097210701
2015-06-21,-23.31,#401626097210701
2016-06-21,-23.6,#401626097210701
2017-06-21,-23.54,#401626097210701
2018-06-21,-23.91,#401626097210701
2019-06-21,-23.91,#401626097210701
2020-06-21,-23.28,#401626097210701
2001-06-21,-33.38666666666666,#401837097015301
2002-06-21,-33.29,#401837097015301
2003-06-21,-34.01,#401837097015301
2004-06-21,-34.63,#401837097015301
2005-06-21,-34.873333333333335,#401837097015301
2006-06-21,-35.07,#401837097015301
2007-06-21,-34.92,#401837097015301
2008-06-21,-35.026666666666664,#401837097015301
2009-06-21,-34.47666666666667,#401837097015301
2010-06-21,-34.504999999999995,#401837097015301
2011-06-21,-40.81,#401837097015301
2012-06-21,-34.36,#401837097015301
2013-06-21,-35.44,#401837097015301
2014-06-21,-35.79,#401837097015301
2015-06-21,-35.27,#401837097015301
2016-06-21,-35.22,#401837097015301
2017-06-21,-35.09,#401837097015301
2018-06-21,-35.27,#401837097015301
2019-06-21,-35.04,#401837097015301
2020-06-21,-34.17,#401837097015301
2001-06-21,-15.96,#401928098292502
2002-06-21,-16.04,#401928098292502
2003-06-21,-16.88,#401928098292502
2004-06-21,-17.33,#401928098292502
2005-06-21,-18.15,#401928098292502
2006-06-21,-17.92,#401928098292502
2007-06-21,-18.24,#401928098292502
2008-06-21,-17.545,#401928098292502
2009-06-21,,#401928098292502
2010-06-21,-17.46,#401928098292502
2011-06-21,-16.43,#401928098292502
2012-06-21,-15.71,#401928098292502
2013-06-21,-16.83,#401928098292502
2014-06-21,-17.55,#401928098292502
2015-06-21,-16.28,#401928098292502
2016-06-21,,#401928098292502
2017-06-21,-17.64,#401928098292502
2018-06-21,-17.84,#401928098292502
2019-06-21,-17.18,#401928098292502
2020-06-21,-15.9,#401928098292502
2001-06-21,-42.37,#402103098475701
2002-06-21,-42.66,#402103098475701
2003-06-21,-43.7,#402103098475701
2004-06-21,-44.27,#402103098475701
2005-06-21,-44.48,#402103098475701
2006-06-21,-44.59,#402103098475701
2007-06-21,-44.71,#402103098475701
2008-06-21,-44.52,#402103098475701
2009-06-21,-44.03,#402103098475701
2010-06-21,-43.99,#402103098475701
2011-06-21,-43.48,#402103098475701
2012-06-21,-43.48,#402103098475701
2013-06-21,-43.82,#402103098475701
2014-06-21,-44.34,#402103098475701
2015-06-21,-44.21,#402103098475701
2016-06-21,-44.56,#402103098475701
2017-06-21,-45.29,#402103098475701
2018-06-21,-45.42,#402103098475701
2019-06-21,-45.55,#402103098475701
2020-06-21,-43.67,#402103098475701
2001-06-21,-52.12,#402105098543201
2002-06-21,-52.1,#402105098543201
2003-06-21,-52.67,#402105098543201
2004-06-21,-52.97,#402105098543201
2005-06-21,-53.1,#402105098543201
2006-06-21,-53.16,#402105098543201
2007-06-21,-53.03,#402105098543201
2008-06-21,-52.97,#402105098543201
2009-06-21,-52.77,#402105098543201
2010-06-21,-52.49,#402105098543201
2011-06-21,-51.97,#402105098543201
2012-06-21,-51.65,#402105098543201
2013-06-21,-52.03,#402105098543201
2014-06-21,-51.82,#402105098543201
2015-06-21,-51.74,#402105098543201
2016-06-21,-51.93,#402105098543201
2017-06-21,-52.51,#402105098543201
2018-06-21,-52.69,#402105098543201
2019-06-21,-52.53,#402105098543201
2020-06-21,-52.2,#402105098543201
2001-06-21,-38.63,#402236100013201
2002-06-21,-38.69,#402236100013201
2003-06-21,-38.93,#402236100013201
2004-06-21,-39.09,#402236100013201
2005-06-21,-39.51,#402236100013201
2006-06-21,-39.23,#402236100013201
2007-06-21,-39.32,#402236100013201
2008-06-21,-39.16,#402236100013201
2009-06-21,-39.49,#402236100013201
2010-06-21,-38.43,#402236100013201
2011-06-21,-38.29,#402236100013201
2012-06-21,-38.11,#402236100013201
2013-06-21,-38.22,#402236100013201
2014-06-21,-38.48,#402236100013201
2015-06-21,-38.43,#402236100013201
2016-06-21,-38.39,#402236100013201
2017-06-21,-38.57,#402236100013201
2018-06-21,-38.06,#402236100013201
2019-06-21,-37.98,#402236100013201
2020-06-21,-37.62,#402236100013201
2001-06-21,-34.14,#402324098220601
2002-06-21,-34.81,#402324098220601
2003-06-21,-34.89,#402324098220601
2004-06-21,-35.12,#402324098220601
2005-06-21,-35.41,#402324098220601
2006-06-21,-35.38,#402324098220601
2007-06-21,-35.42,#402324098220601
2008-06-21,-35.38,#402324098220601
2009-06-21,-34.99,#402324098220601
2010-06-21,-35.47,#402324098220601
2011-06-21,-34.88,#402324098220601
2012-06-21,-34.55,#402324098220601
2013-06-21,-35.43,#402324098220601
2014-06-21,-35.87,#402324098220601
2015-06-21,-35.67,#402324098220601
2016-06-21,,#402324098220601
2017-06-21,-36.73,#402324098220601
2018-06-21,,#402324098220601
2019-06-21,-35.51,#402324098220601
2020-06-21,-34.46,#402324098220601
2001-06-21,-19.65,#402411098370101
2002-06-21,-20.27,#402411098370101
2003-06-21,-20.89,#402411098370101
2004-06-21,-21.59,#402411098370101
2005-06-21,-22.04,#402411098370101
2006-06-21,-22.14,#402411098370101
2007-06-21,-22.39,#402411098370101
2008-06-21,-22.24,#402411098370101
2009-06-21,-21.84,#402411098370101
2010-06-21,-22.14,#402411098370101
2011-06-21,-21.55,#402411098370101
2012-06-21,-21.2,#402411098370101
2013-06-21,-22.05,#402411098370101
2014-06-21,-23.01,#402411098370101
2015-06-21,-22.65,#402411098370101
2016-06-21,,#402411098370101
2017-06-21,-24.11,#402411098370101
2018-06-21,-23.95,#402411098370101
2019-06-21,-23.51,#402411098370101
2020-06-21,-21.9,#402411098370101
2001-06-21,-8.75,#402415098311601
2002-06-21,-8.78,#402415098311601
2003-06-21,-9.44,#402415098311601
2004-06-21,-10.04,#402415098311601
2005-06-21,-10.17,#402415098311601
2006-06-21,-10.27,#402415098311601
2007-06-21,-10.38,#402415098311601
2008-06-21,-10.2,#402415098311601
2009-06-21,-9.92,#402415098311601
2010-06-21,-10.25,#402415098311601
2011-06-21,-9.67,#402415098311601
2012-06-21,-9.45,#402415098311601
2013-06-21,-10.45,#402415098311601
2014-06-21,-10.95,#402415098311601
2015-06-21,-10.86,#402415098311601
2016-06-21,,#402415098311601
2017-06-21,-11.52,#402415098311601
2018-06-21,-11.39,#402415098311601
2019-06-21,-10.17,#402415098311601
2020-06-21,-9.74,#402415098311601
2001-06-21,-28.71,#402507098255801
2002-06-21,-28.84,#402507098255801
2003-06-21,-29.14,#402507098255801
2004-06-21,-30.47,#402507098255801
2005-06-21,-29.75,#402507098255801
2006-06-21,-29.74,#402507098255801
2007-06-21,-29.79,#402507098255801
2008-06-21,-29.71,#402507098255801
2009-06-21,-29.18,#402507098255801
2010-06-21,-29.68,#402507098255801
2011-06-21,-29.24,#402507098255801
2012-06-21,-29.11,#402507098255801
2013-06-21,-29.75,#402507098255801
2014-06-21,-30.26,#402507098255801
2015-06-21,-29.92,#402507098255801
2016-06-21,,#402507098255801
2017-06-21,-30.48,#402507098255801
2018-06-21,-30.34,#402507098255801
2019-06-21,-29.79,#402507098255801
2020-06-21,-29.19,#402507098255801
2001-06-21,-38.48,#402636098534401
2002-06-21,-38.45,#402636098534401
2003-06-21,-38.97,#402636098534401
2004-06-21,-39.46,#402636098534401
2005-06-21,-39.76,#402636098534401
2006-06-21,-39.81,#402636098534401
2007-06-21,-39.88,#402636098534401
2008-06-21,-39.81,#402636098534401
2009-06-21,-39.39,#402636098534401
2010-06-21,-39.5,#402636098534401
2011-06-21,-39.01,#402636098534401
2012-06-21,-38.61,#402636098534401
2013-06-21,-38.95,#402636098534401
2014-06-21,-39.6,#402636098534401
2015-06-21,-39.61,#402636098534401
2016-06-21,-39.73,#402636098534401
2017-06-21,-40.52,#402636098534401
2018-06-21,-40.58,#402636098534401
2019-06-21,-40.26,#402636098534401
2020-06-21,-39.93,#402636098534401
2001-06-21,-38.56,#402726099461700
2002-06-21,-38.54,#402726099461700
2003-06-21,-38.93,#402726099461700
2004-06-21,-39.07,#402726099461700
2005-06-21,-39.56,#402726099461700
2006-06-21,-39.18,#402726099461700
2007-06-21,-38.73,#402726099461700
2008-06-21,-38.48,#402726099461700
2009-06-21,-38.18,#402726099461700
2010-06-21,-38.14,#402726099461700
2011-06-21,-38.04,#402726099461700
2012-06-21,-37.88,#402726099461700
2013-06-21,-38.46,#402726099461700
2014-06-21,-38.82,#402726099461700
2015-06-21,-38.52,#402726099461700
2016-06-21,-38.35,#402726099461700
2017-06-21,-38.46,#402726099461700
2018-06-21,-38.35,#402726099461700
2019-06-21,-38.03,#402726099461700
2020-06-21,-37.56,#402726099461700
2001-06-21,-32.62,#402946099481501
2002-06-21,-32.26,#402946099481501
2003-06-21,-32.76,#402946099481501
2004-06-21,-32.66,#402946099481501
2005-06-21,-32.94,#402946099481501
2006-06-21,-32.55,#402946099481501
2007-06-21,-32.34,#402946099481501
2008-06-21,-32.19,#402946099481501
2009-06-21,-31.97,#402946099481501
2010-06-21,-31.67,#402946099481501
2011-06-21,-31.62,#402946099481501
2012-06-21,-31.21,#402946099481501
2013-06-21,-31.92,#402946099481501
2014-06-21,-32.03,#402946099481501
2015-06-21,-32.11,#402946099481501
2016-06-21,-31.96,#402946099481501
2017-06-21,-32.25,#402946099481501
2018-06-21,-31.82,#402946099481501
2019-06-21,-31.61,#402946099481501
2020-06-21,-31.06,#402946099481501
2001-06-21,-26.0,#403014098002201
2002-06-21,-26.08,#403014098002201
2003-06-21,-29.18,#403014098002201
2004-06-21,-29.74,#403014098002201
2005-06-21,-27.55,#403014098002201
2006-06-21,-27.97,#403014098002201
2007-06-21,-28.29,#403014098002201
2008-06-21,-28.54,#403014098002201
2009-06-21,-28.3,#403014098002201
2010-06-21,-28.64,#403014098002201
2011-06-21,-28.42,#403014098002201
2012-06-21,-28.22,#403014098002201
2013-06-21,-28.27,#403014098002201
2014-06-21,-28.47,#403014098002201
2015-06-21,-28.46,#403014098002201
2016-06-21,,#403014098002201
2017-06-21,-29.22,#403014098002201
2018-06-21,-29.52,#403014098002201
2019-06-21,-29.26,#403014098002201
2020-06-21,-28.21,#403014098002201
2001-06-21,-32.96,#403107098210701
2002-06-21,-33.2,#403107098210701
2003-06-21,-33.91,#403107098210701
2004-06-21,-34.36,#403107098210701
2005-06-21,-34.69,#403107098210701
2006-06-21,-34.68,#403107098210701
2007-06-21,-34.72,#403107098210701
2008-06-21,-34.81,#403107098210701
2009-06-21,-34.31,#403107098210701
2010-06-21,-34.67,#403107098210701
2011-06-21,-34.6,#403107098210701
2012-06-21,-33.96,#403107098210701
2013-06-21,-34.77,#403107098210701
2014-06-21,-35.19,#403107098210701
2015-06-21,-34.96,#403107098210701
2016-06-21,,#403107098210701
2017-06-21,-35.67,#403107098210701
2018-06-21,-35.66,#403107098210701
2019-06-21,-35.4,#403107098210701
2020-06-21,-34.63,#403107098210701
2001-06-21,-2.31,#403309099250701
2002-06-21,-2.34,#403309099250701
2003-06-21,-2.95,#403309099250701
2004-06-21,-3.19,#403309099250701
2005-06-21,-2.85,#403309099250701
2006-06-21,-4.76,#403309099250701
2007-06-21,-3.59,#403309099250701
2008-06-21,-3.33,#403309099250701
2009-06-21,-3.03,#403309099250701
2010-06-21,-2.62,#403309099250701
2011-06-21,-2.83,#403309099250701
2012-06-21,-2.21,#403309099250701
2013-06-21,,#403309099250701
2014-06-21,-4.11,#403309099250701
2015-06-21,-4.51,#403309099250701
2016-06-21,-4.15,#403309099250701
2017-06-21,-5.18,#403309099250701
2018-06-21,-4.36,#403309099250701
2019-06-21,-3.34,#403309099250701
2020-06-21,-2.86,#403309099250701
2001-06-21,-54.48,#403326099582301
2002-06-21,,#403326099582301
2003-06-21,-54.68,#403326099582301
2004-06-21,,#403326099582301
2005-06-21,-54.84,#403326099582301
2006-06-21,-54.71,#403326099582301
2007-06-21,-54.62,#403326099582301
2008-06-21,-53.99,#403326099582301
2009-06-21,-53.51,#403326099582301
2010-06-21,-53.11,#403326099582301
2011-06-21,-53.14,#403326099582301
2012-06-21,-52.87,#403326099582301
2013-06-21,-53.18,#403326099582301
2014-06-21,-53.53,#403326099582301
2015-06-21,-53.49,#403326099582301
2016-06-21,-53.31,#403326099582301
2017-06-21,-53.39,#403326099582301
2018-06-21,-53.14,#403326099582301
2019-06-21,-52.94,#403326099582301
2020-06-21,-52.11,#403326099582301
2001-06-21,-36.09,#403409098263901
2002-06-21,-36.23,#403409098263901
2003-06-21,-36.79,#403409098263901
2004-06-21,-36.84,#403409098263901
2005-06-21,-37.96,#403409098263901
2006-06-21,-38.21,#403409098263901
2007-06-21,-38.42,#403409098263901
2008-06-21,-38.55,#403409098263901
2009-06-21,-38.25,#403409098263901
2010-06-21,-38.25,#403409098263901
2011-06-21,-38.06,#403409098263901
2012-06-21,-37.78,#403409098263901
2013-06-21,-38.47,#403409098263901
2014-06-21,-38.76,#403409098263901
2015-06-21,-38.79,#403409098263901
2016-06-21,,#403409098263901
2017-06-21,-39.19,#403409098263901
2018-06-21,-39.2,#403409098263901
2019-06-21,,#403409098263901
2020-06-21,-38.27,#403409098263901
2001-06-21,-28.12,#403422098395701
2002-06-21,-29.35,#403422098395701
2003-06-21,-30.04,#403422098395701
2004-06-21,-30.92,#403422098395701
2005-06-21,-31.39,#403422098395701
2006-06-21,-31.54,#403422098395701
2007-06-21,-31.73,#403422098395701
2008-06-21,-31.84,#403422098395701
2009-06-21,-31.45,#403422098395701
2010-06-21,-31.69,#403422098395701
2011-06-21,-31.01,#403422098395701
2012-06-21,-30.69,#403422098395701
2013-06-21,-31.57,#403422098395701
2014-06-21,-32.16,#403422098395701
2015-06-21,-31.77,#403422098395701
2016-06-21,,#403422098395701
2017-06-21,-32.23,#403422098395701
2018-06-21,-32.25,#403422098395701
2019-06-21,-32.37,#403422098395701
2020-06-21,-31.69,#403422098395701
2001-06-21,-16.26,#403509098463601
2002-06-21,-16.63,#403509098463601
2003-06-21,-17.39,#403509098463601
2004-06-21,-18.22,#403509098463601
2005-06-21,-18.94,#403509098463601
2006-06-21,-18.74,#403509098463601
2007-06-21,-19.07,#403509098463601
2008-06-21,-18.96,#403509098463601
2009-06-21,-18.56,#403509098463601
2010-06-21,-18.14,#403509098463601
2011-06-21,-17.5,#403509098463601
2012-06-21,-17.42,#403509098463601
2013-06-21,-18.13,#403509098463601
2014-06-21,-18.9,#403509098463601
2015-06-21,-18.64,#403509098463601
2016-06-21,-18.93,#403509098463601
2017-06-21,-19.25,#403509098463601
2018-06-21,-19.57,#403509098463601
2019-06-21,-19.48,#403509098463601
2020-06-21,-18.61,#403509098463601
2001-06-21,-13.43,#403853099493501
2002-06-21,-13.65,#403853099493501
2003-06-21,-13.83,#403853099493501
2004-06-21,-14.03,#403853099493501
2005-06-21,-14.36,#403853099493501
2006-06-21,-14.72,#403853099493501
2007-06-21,-14.94,#403853099493501
2008-06-21,-14.76,#403853099493501
2009-06-21,-14.72,#403853099493501
2010-06-21,-14.38,#403853099493501
2011-06-21,-13.96,#403853099493501
2012-06-21,-13.74,#403853099493501
2013-06-21,-13.91,#403853099493501
2014-06-21,-14.19,#403853099493501
2015-06-21,-14.17,#403853099493501
2016-06-21,-13.66,#403853099493501
2017-06-21,-13.53,#403853099493501
2018-06-21,-13.32,#403853099493501
2019-06-21,-13.23,#403853099493501
2020-06-21,-12.91,#403853099493501
2001-06-21,-29.146666666666665,#403855097072501
2002-06-21,-29.52,#403855097072501
2003-06-21,-30.3425,#403855097072501
2004-06-21,-30.965,#403855097072501
2005-06-21,-31.06,#403855097072501
2006-06-21,-31.5,#403855097072501
2007-06-21,-31.91,#403855097072501
2008-06-21,-32.00333333333334,#403855097072501
2009-06-21,-31.55,#403855097072501
2010-06-21,-31.57,#403855097072501
2011-06-21,-31.31,#403855097072501
2012-06-21,-31.05,#403855097072501
2013-06-21,-32.01,#403855097072501
2014-06-21,-32.52,#403855097072501
2015-06-21,-32.31,#403855097072501
2016-06-21,-32.86,#403855097072501
2017-06-21,-31.81,#403855097072501
2018-06-21,-31.69,#403855097072501
2019-06-21,-31.48,#403855097072501
2020-06-21,-30.83,#403855097072501
2001-06-21,-31.2,#403903098295101
2002-06-21,-31.94,#403903098295101
2003-06-21,-32.16,#403903098295101
2004-06-21,-32.54,#403903098295101
2005-06-21,-32.92,#403903098295101
2006-06-21,-33.15,#403903098295101
2007-06-21,-33.44,#403903098295101
2008-06-21,-33.49,#403903098295101
2009-06-21,-33.13,#403903098295101
2010-06-21,-33.08,#403903098295101
2011-06-21,-32.86,#403903098295101
2012-06-21,-32.62,#403903098295101
2013-06-21,-33.4,#403903098295101
2014-06-21,-34.12,#403903098295101
2015-06-21,-33.71,#403903098295101
2016-06-21,,#403903098295101
2017-06-21,-34.16,#403903098295101
2018-06-21,-34.08,#403903098295101
2019-06-21,-33.82,#403903098295101
2020-06-21,-33.22,#403903098295101
2001-06-21,-1.22,#403941099331901
2002-06-21,-1.05,#403941099331901
2003-06-21,-1.04,#403941099331901
2004-06-21,-1.34,#403941099331901
2005-06-21,-1.02,#403941099331901
2006-06-21,-1.71,#403941099331901
2007-06-21,-1.05,#403941099331901
2008-06-21,-1.1,#403941099331901
2009-06-21,-1.12,#403941099331901
2010-06-21,-0.89,#403941099331901
2011-06-21,-0.84,#403941099331901
2012-06-21,-0.49,#403941099331901
2013-06-21,,#403941099331901
2014-06-21,-1.77,#403941099331901
2015-06-21,-1.46,#403941099331901
2016-06-21,-1.26,#403941099331901
2017-06-21,-1.95,#403941099331901
2018-06-21,-2.65,#403941099331901
2019-06-21,,#403941099331901
2020-06-21,-1.43,#403941099331901
2001-06-21,-39.86,#403952099583201
2002-06-21,-39.97,#403952099583201
2003-06-21,-40.7,#403952099583201
2004-06-21,-40.95,#403952099583201
2005-06-21,-41.62,#403952099583201
2006-06-21,-41.39,#403952099583201
2007-06-21,-41.64,#403952099583201
2008-06-21,-41.02,#403952099583201
2009-06-21,-40.87,#403952099583201
2010-06-21,-40.49,#403952099583201
2011-06-21,-40.21,#403952099583201
2012-06-21,-39.93,#403952099583201
2013-06-21,-40.57,#403952099583201
2014-06-21,-40.98,#403952099583201
2015-06-21,-40.92,#403952099583201
2016-06-21,-40.63,#403952099583201
2017-06-21,-40.31,#403952099583201
2018-06-21,-39.92,#403952099583201
2019-06-21,-39.64,#403952099583201
2020-06-21,-38.84,#403952099583201
2001-06-21,-2.947472527472528,#403954099152101
2002-06-21,-3.151208791208791,#403954099152101
2003-06-21,-3.137582417582417,#403954099152101
2004-06-21,-3.276813186813187,#403954099152101
2005-06-21,-3.182197802197802,#403954099152101
2006-06-21,-3.425274725274725,#403954099152101
2007-06-21,-3.048791208791209,#403954099152101
2008-06-21,-3.125151515151515,#403954099152101
2009-06-21,-3.142857142857143,#403954099152101
2010-06-21,-2.753406593406593,#403954099152101
2011-06-21,-2.430989010989011,#403954099152101
2012-06-21,-3.242857142857144,#403954099152101
2013-06-21,-3.2362637362637363,#403954099152101
2014-06-21,-2.9808791208791208,#403954099152101
2015-06-21,-2.4585714285714286,#403954099152101
2016-06-21,-2.5510989010989014,#403954099152101
