date,level,site
2001-09-21,-7.861204819277108,#400155101521302
2002-09-21,-8.491724137931033,#400155101521302
2003-09-21,-8.202065217391304,#400155101521302
2004-09-21,-7.821847826086957,#400155101521302
2005-09-21,-7.046521739130434,#400155101521302
2006-09-21,-7.343804347826087,#400155101521302
2007-09-21,-6.447717391304349,#400155101521302
2008-09-21,-6.586521739130435,#400155101521302
2009-09-21,-6.702173913043478,#400155101521302
2010-09-21,-6.380652173913044,#400155101521302
2011-09-21,-6.269130434782609,#400155101521302
2012-09-21,-7.3625,#400155101521302
2013-09-21,-7.0466304347826085,#400155101521302
2014-09-21,-6.990217391304348,#400155101521302
2015-09-21,-7.594782608695652,#400155101521302
2016-09-21,-7.239230769230769,#400155101521302
2017-09-21,-7.12641304347826,#400155101521302
2018-09-21,-6.938260869565218,#400155101521302
2019-09-21,-6.144021739130435,#400155101521302
2020-09-21,-6.222173913043479,#400155101521302
2001-09-21,,#400400100531501
2002-09-21,,#400400100531501
2003-09-21,,#400400100531501
2004-09-21,,#400400100531501
2005-09-21,,#400400100531501
2006-09-21,,#400400100531501
2007-09-21,,#400400100531501
2008-09-21,-8.08,#400400100531501
2009-09-21,,#400400100531501
2010-09-21,,#400400100531501
2011-09-21,,#400400100531501
2012-09-21,,#400400100531501
2013-09-21,,#400400100531501
2014-09-21,-8.02,#400400100531501
2015-09-21,-8.07,#400400100531501
2016-09-21,,#400400100531501
2017-09-21,,#400400100531501
2018-09-21,,#400400100531501
2019-09-21,,#400400100531501
2020-09-21,,#400400100531501
2001-09-21,,#401548101080501
2002-09-21,,#401548101080501
2003-09-21,,#401548101080501
2004-09-21,,#401548101080501
2005-09-21,,#401548101080501
2006-09-21,-60.23333333333333,#401548101080501
2007-09-21,-60.25,#401548101080501
2008-09-21,-60.085,#401548101080501
2009-09-21,-60.07,#401548101080501
2010-09-21,-60.06,#401548101080501
2011-09-21,-59.67,#401548101080501
2012-09-21,-59.73333333333333,#401548101080501
2013-09-21,-59.765,#401548101080501
2014-09-21,-59.95333333333334,#401548101080501
2015-09-21,-59.653333333333336,#401548101080501
2016-09-21,-59.9,#401548101080501
2017-09-21,-59.705,#401548101080501
2018-09-21,,#401548101080501
2019-09-21,,#401548101080501
2020-09-21,,#401548101080501
2001-09-21,-22.613333333333333,#401626097210701
2002-09-21,-22.96666666666667,#401626097210701
2003-09-21,-23.00666666666667,#401626097210701
2004-09-21,-23.21,#401626097210701
2005-09-21,-23.38,#401626097210701
2006-09-21,-23.52333333333333,#401626097210701
2007-09-21,-23.570000000000004,#401626097210701
2008-09-21,-23.006666666666664,#401626097210701
2009-09-21,-22.85333333333333,#401626097210701
2010-09-21,-22.71,#401626097210701
2011-09-21,,#401626097210701
2012-09-21,,#401626097210701
2013-09-21,,#401626097210701
2014-09-21,,#401626097210701
2015-09-21,,#401626097210701
2016-09-21,,#401626097210701
2017-09-21,,#401626097210701
2018-09-21,,#401626097210701
2019-09-21,,#401626097210701
2020-09-21,,#401626097210701
2001-09-21,-34.68666666666667,#401837097015301
2002-09-21,-36.14,#401837097015301
2003-09-21,-36.27,#401837097015301
2004-09-21,-36.20333333333333,#401837097015301
2005-09-21,-36.49,#401837097015301
2006-09-21,-36.766666666666666,#401837097015301
2007-09-21,-36.59333333333333,#401837097015301
2008-09-21,-35.72,#401837097015301
2009-09-21,-36.06,#401837097015301
2010-09-21,-34.42,#401837097015301
2011-09-21,,#401837097015301
2012-09-21,,#401837097015301
2013-09-21,,#401837097015301
2014-09-21,,#401837097015301
2015-09-21,,#401837097015301
2016-09-21,,#401837097015301
2017-09-21,,#401837097015301
2018-09-21,,#401837097015301
2019-09-21,,#401837097015301
2020-09-21,,#401837097015301
2001-09-21,,#401919100223001
2002-09-21,,#401919100223001
2003-09-21,,#401919100223001
2004-09-21,,#401919100223001
2005-09-21,,#401919100223001
2006-09-21,-37.02,#401919100223001
2007-09-21,-37.10333333333333,#401919100223001
2008-09-21,-37.06333333333333,#401919100223001
2009-09-21,-36.99333333333333,#401919100223001
2010-09-21,-37.02333333333333,#401919100223001
2011-09-21,-36.693333333333335,#401919100223001
2012-09-21,-36.586666666666666,#401919100223001
2013-09-21,-36.66,#401919100223001
2014-09-21,-36.82333333333333,#401919100223001
2015-09-21,-36.72,#401919100223001
2016-09-21,-36.86,#401919100223001
2017-09-21,-36.84,#401919100223001
2018-09-21,,#401919100223001
2019-09-21,,#401919100223001
2020-09-21,,#401919100223001
2001-09-21,,#401928098292502
2002-09-21,,#401928098292502
