date,normalised_level
2001-06-01,0.9510493384695168
2001-09-01,
2001-12-01,
2002-03-01,
2002-06-01,0.6625760139978264
2002-09-01,
2002-12-01,
2003-03-01,
2003-06-01,0.10074319812507469
2003-09-01,
2003-12-01,
2004-03-01,
2004-06-01,-0.25104780320719905
2004-09-01,
2004-12-01,
2005-03-01,
2005-06-01,-0.28901208003318263
2005-09-01,
2005-12-01,
2006-03-01,
2006-06-01,-0.5914760686086721
2006-09-01,
2006-12-01,
2007-03-01,
2007-06-01,-0.367796603262613
2007-09-01,
2007-12-01,
2008-03-01,
2008-06-01,-0.12221162433103579
2008-09-01,
2008-12-01,
2009-03-01,
2009-06-01,-0.05179157987073349
2009-09-01,
2009-12-01,
2010-03-01,
2010-06-01,0.19068972030441458
2010-09-01,
2010-12-01,
2011-03-01,
2011-06-01,0.39235981988665913
2011-09-01,
2011-12-01,
2012-03-01,
2012-06-01,0.40663048011330943
2012-09-01,
2012-12-01,
2013-03-01,
2013-06-01,-0.2728004411266896
2013-09-01,
2013-12-01,
2014-03-01,
2014-06-01,-0.42685758255145406
2014-09-01,
2014-12-01,
2015-03-01,
2015-06-01,-0.2586062915825818
2015-09-01,
2015-12-01,
2016-03-01,
2016-06-01,-0.1383869516509681
2016-09-01,
2016-12-01,
2017-03-01,
2017-06-01,-0.32170477192845126
2017-09-01,
2017-12-01,
2018-03-01,
2018-06-01,-0.17932153939052384
2018-09-01,
2018-12-01,
2019-03-01,
2019-06-01,0.11461602163474355
2019-09-01,
2019-12-01,
2020-03-01,
2020-06-01,0.6438256473985474
