date,level,site
2001-06-21,,#330458103251001
2002-06-21,,#330458103251001
2003-06-21,,#330458103251001
2004-06-21,,#330458103251001
2005-06-21,,#330458103251001
2006-06-21,,#330458103251001
2007-06-21,,#330458103251001
2008-06-21,-13.17,#330458103251001
2009-06-21,,#330458103251001
2010-06-21,,#330458103251001
2011-06-21,,#330458103251001
2012-06-21,,#330458103251001
2013-06-21,,#330458103251001
2014-06-21,,#330458103251001
2015-06-21,,#330458103251001
2016-06-21,,#330458103251001
2017-06-21,,#330458103251001
2018-06-21,,#330458103251001
2019-06-21,,#330458103251001
2020-06-21,,#330458103251001
2001-06-21,-18.28333333333333,#332115103403301
2002-06-21,-18.27307692307692,#332115103403301
2003-06-21,-18.26065934065934,#332115103403301
2004-06-21,-18.26901098901099,#332115103403301
2005-06-21,-18.25736263736264,#332115103403301
2006-06-21,-18.25065934065934,#332115103403301
2007-06-21,-18.23901098901099,#332115103403301
2008-06-21,-18.24758241758241,#332115103403301
2009-06-21,-18.25802197802198,#332115103403301
2010-06-21,,#332115103403301
2011-06-21,,#332115103403301
2012-06-21,,#332115103403301
2013-06-21,,#332115103403301
2014-06-21,,#332115103403301
2015-06-21,,#332115103403301
2016-06-21,,#332115103403301
2017-06-21,-18.30921875,#332115103403301
2018-06-21,-18.30362637362637,#332115103403301
2019-06-21,-18.32454545454545,#332115103403301
2020-06-21,-18.33758241758241,#332115103403301
2001-06-21,-90.17333333333332,#343347103345001
2002-06-21,,#343347103345001
2003-06-21,,#343347103345001
2004-06-21,,#343347103345001
2005-06-21,,#343347103345001
2006-06-21,,#343347103345001
2007-06-21,-89.72,#343347103345001
2008-06-21,,#343347103345001
2009-06-21,,#343347103345001
2010-06-21,,#343347103345001
2011-06-21,,#343347103345001
2012-06-21,-89.81,#343347103345001
2013-06-21,,#343347103345001
2014-06-21,,#343347103345001
2015-06-21,,#343347103345001
2016-06-21,,#343347103345001
2017-06-21,,#343347103345001
2018-06-21,,#343347103345001
2019-06-21,,#343347103345001
2020-06-21,,#343347103345001
2001-06-21,,#CP-0037
2002-06-21,,#CP-0037
2003-06-21,,#CP-0037
2004-06-21,,#CP-0037
2005-06-21,,#CP-0037
2006-06-21,,#CP-0037
2007-06-21,,#CP-0037
2008-06-21,,#CP-0037
2009-06-21,,#CP-0037
2010-06-21,,#CP-0037
2011-06-21,,#CP-0037
2012-06-21,,#CP-0037
2013-06-21,,#CP-0037
2014-06-21,,#CP-0037
2015-06-21,,#CP-0037
2016-06-21,,#CP-0037
2017-06-21,,#CP-0037
2018-06-21,-94.64910714285716,#CP-0037
2019-06-21,-94.62725274725274,#CP-0037
2020-06-21,-94.85109890109892,#CP-0037
