date,level,site
2001-03-21,-70.02,#1120
2002-03-21,-70.52,#1120
2003-03-21,-71.13,#1120
2004-03-21,-65.75,#1120
2005-03-21,-70.95,#1120
2006-03-21,-65.78,#1120
2007-03-21,-71.71,#1120
2008-03-21,-66.22,#1120
2009-03-21,-72.77,#1120
2010-03-21,-66.535,#1120
2011-03-21,-66.565,#1120
2012-03-21,-66.735,#1120
2013-03-21,-67.685,#1120
2014-03-21,-67.27000000000001,#1120
2015-03-21,-74.55,#1120
2016-03-21,-74.43,#1120
2017-03-21,-75.18,#1120
2018-03-21,-75.09,#1120
2019-03-21,-75.78,#1120
2020-03-21,-75.77,#1120
2001-03-21,-60.38,#1135
2002-03-21,-60.22,#1135
2003-03-21,-60.73,#1135
2004-03-21,-59.28,#1135
2005-03-21,-58.93,#1135
2006-03-21,-58.68,#1135
2007-03-21,-58.67,#1135
2008-03-21,-58.56,#1135
2009-03-21,-62.19,#1135
2010-03-21,-58.86,#1135
2011-03-21,-58.98,#1135
2012-03-21,-59.11,#1135
2013-03-21,-59.3,#1135
2014-03-21,-59.38,#1135
2015-03-21,-59.61,#1135
2016-03-21,-60.81,#1135
2017-03-21,-61.44,#1135
2018-03-21,-59.93,#1135
2019-03-21,-59.97,#1135
2020-03-21,-60.29,#1135
2001-03-21,-47.15,#1156
2002-03-21,-41.14,#1156
2003-03-21,-41.32,#1156
2004-03-21,-41.33,#1156
2005-03-21,-40.92,#1156
2006-03-21,-40.29,#1156
2007-03-21,-40.34,#1156
2008-03-21,-40.4,#1156
2009-03-21,-40.81,#1156
2010-03-21,-40.38,#1156
2011-03-21,-40.46,#1156
2012-03-21,-40.87,#1156
2013-03-21,-41.33,#1156
2014-03-21,-42.42,#1156
2015-03-21,-42.5,#1156
2016-03-21,-42.71,#1156
2017-03-21,-42.51,#1156
2018-03-21,-42.53,#1156
2019-03-21,-43.52,#1156
2020-03-21,-42.31,#1156
2001-03-21,-62.4,#121
2002-03-21,-62.08,#121
2003-03-21,-61.81,#121
2004-03-21,-61.84,#121
2005-03-21,-61.76,#121
2006-03-21,-61.8,#121
2007-03-21,-61.79,#121
2008-03-21,-61.76,#121
2009-03-21,-61.7,#121
2010-03-21,-61.59,#121
2011-03-21,-61.62,#121
2012-03-21,-61.63,#121
2013-03-21,-61.55,#121
2014-03-21,-61.84,#121
2015-03-21,-61.85,#121
2016-03-21,-61.93,#121
2017-03-21,-61.9,#121
2018-03-21,-61.92,#121
2019-03-21,-61.94,#121
2020-03-21,-61.99,#121
2001-03-21,-81.64,#1246
2002-03-21,-82.0,#1246
2003-03-21,-82.38,#1246
2004-03-21,-82.63,#1246
2005-03-21,-82.7,#1246
2006-03-21,-82.71,#1246
2007-03-21,-85.04,#1246
2008-03-21,-83.12,#1246
2009-03-21,-83.83,#1246
2010-03-21,-84.59,#1246
2011-03-21,-85.42,#1246
2012-03-21,-86.27,#1246
2013-03-21,-87.05,#1246
2014-03-21,-87.23,#1246
2015-03-21,-88.0,#1246
2016-03-21,-88.21,#1246
2017-03-21,-88.61,#1246
2018-03-21,-88.92,#1246
2019-03-21,-89.68,#1246
2020-03-21,-90.04,#1246
2001-03-21,-77.86,#1316
2002-03-21,-78.1,#1316
2003-03-21,-78.64,#1316
2004-03-21,-79.07,#1316
2005-03-21,-79.21,#1316
2006-03-21,-79.66,#1316
2007-03-21,-80.01,#1316
2008-03-21,-80.26,#1316
2009-03-21,-80.94,#1316
2010-03-21,-81.69,#1316
2011-03-21,-82.25,#1316
2012-03-21,-82.98,#1316
2013-03-21,-84.41,#1316
2014-03-21,-85.59,#1316
2015-03-21,-87.44,#1316
2016-03-21,-87.84,#1316
2017-03-21,-88.79,#1316
2018-03-21,-89.52,#1316
2019-03-21,-90.55,#1316
2020-03-21,-91.1,#1316
2001-03-21,-63.84,#1354
2002-03-21,-64.36,#1354
2003-03-21,,#1354
2004-03-21,-66.48,#1354
2005-03-21,-66.57,#1354
2006-03-21,-68.23,#1354
2007-03-21,-67.35,#1354
2008-03-21,-67.75,#1354
2009-03-21,-68.75,#1354
2010-03-21,-68.95,#1354
2011-03-21,-69.58,#1354
2012-03-21,-71.19,#1354
2013-03-21,-72.46,#1354
2014-03-21,-73.37,#1354
2015-03-21,-74.38,#1354
2016-03-21,-73.97,#1354
2017-03-21,-75.85,#1354
2018-03-21,-76.18,#1354
2019-03-21,-76.89,#1354
2020-03-21,-77.83,#1354
2001-03-21,-63.91,#1362
2002-03-21,-64.81,#1362
2003-03-21,-66.42,#1362
2004-03-21,-66.93,#1362
2005-03-21,-67.74,#1362
