date,normalised_level
2001-06-01,0.6208127322720833
2001-09-01,
2001-12-01,
2002-03-01,
2002-06-01,0.4154251915720427
2002-09-01,
2002-12-01,
2003-03-01,
2003-06-01,0.11442384338319468
2003-09-01,
2003-12-01,
2004-03-01,
2004-06-01,-0.2610064238804061
2004-09-01,
2004-12-01,
2005-03-01,
2005-06-01,-0.23603335872841924
2005-09-01,
2005-12-01,
2006-03-01,
2006-06-01,-0.4627050231206719
2006-09-01,
2006-12-01,
2007-03-01,
2007-06-01,-0.4491720052126542
2007-09-01,
2007-12-01,
2008-03-01,
2008-06-01,-0.42841116882681757
2008-09-01,
2008-12-01,
2009-03-01,
2009-06-01,-0.325246486287135
2009-09-01,
2009-12-01,
2010-03-01,
2010-06-01,-0.04679105283170182
2010-09-01,
2010-12-01,
2011-03-01,
2011-06-01,0.09857986179089202
2011-09-01,
2011-12-01,
2012-03-01,
2012-06-01,0.10919454471143138
2012-09-01,
2012-12-01,
2013-03-01,
2013-06-01,-0.12601876955941835
2013-09-01,
2013-12-01,
2014-03-01,
2014-06-01,-0.3097092457498946
2014-09-01,
2014-12-01,
2015-03-01,
2015-06-01,-0.11370878787443685
2015-09-01,
2015-12-01,
2016-03-01,
2016-06-01,0.0919330008923523
2016-09-01,
2016-12-01,
2017-03-01,
2017-06-01,0.02265835193020347
2017-09-01,
2017-12-01,
2018-03-01,
2018-06-01,0.08198362156797277
2018-09-01,
2018-12-01,
2019-03-01,
2019-06-01,0.502326435649538
2019-09-01,
2019-12-01,
2020-03-01,
2020-06-01,1.107018751048319
