date,level,site
2001-03-21,-0.91,#425956101424101
2002-03-21,-0.98,#425956101424101
2003-03-21,,#425956101424101
2004-03-21,-1.4,#425956101424101
2005-03-21,-1.62,#425956101424101
2006-03-21,,#425956101424101
2007-03-21,-1.8,#425956101424101
2008-03-21,-1.86,#425956101424101
2009-03-21,-1.83,#425956101424101
2010-03-21,-1.77,#425956101424101
2011-03-21,,#425956101424101
2012-03-21,,#425956101424101
2013-03-21,-1.65,#425956101424101
2014-03-21,-1.58,#425956101424101
2015-03-21,-1.49,#425956101424101
2016-03-21,,#425956101424101
2017-03-21,,#425956101424101
2018-03-21,,#425956101424101
2019-03-21,,#425956101424101
2020-03-21,,#425956101424101
2001-03-21,-10.91,#430010099580601
2002-03-21,-11.06,#430010099580601
2003-03-21,,#430010099580601
2004-03-21,-11.67,#430010099580601
2005-03-21,-11.89,#430010099580601
2006-03-21,,#430010099580601
2007-03-21,-11.92,#430010099580601
2008-03-21,-11.64,#430010099580601
2009-03-21,-11.445,#430010099580601
2010-03-21,,#430010099580601
2011-03-21,,#430010099580601
2012-03-21,,#430010099580601
2013-03-21,,#430010099580601
2014-03-21,-11.46,#430010099580601
2015-03-21,-11.64,#430010099580601
2016-03-21,,#430010099580601
2017-03-21,,#430010099580601
2018-03-21,,#430010099580601
2019-03-21,,#430010099580601
2020-03-21,,#430010099580601
2001-03-21,-11.569111111111113,#430027102311801
2002-03-21,-11.70122222222222,#430027102311801
2003-03-21,-11.915444444444445,#430027102311801
2004-03-21,-12.062747252747252,#430027102311801
2005-03-21,-12.288777777777778,#430027102311801
2006-03-21,-12.63588888888889,#430027102311801
2007-03-21,-13.056666666666665,#430027102311801
2008-03-21,-13.218131868131866,#430027102311801
2009-03-21,-13.399666666666668,#430027102311801
2010-03-21,-13.350777777777775,#430027102311801
2011-03-21,-12.992666666666668,#430027102311801
2012-03-21,-12.832747252747252,#430027102311801
2013-03-21,-12.920777777777776,#430027102311801
2014-03-21,-13.182111111111112,#430027102311801
2015-03-21,-13.055777777777775,#430027102311801
2016-03-21,-12.104285714285714,#430027102311801
