date,normalised_level
2001-06-01,0.5732937983932275
2001-09-01,
2001-12-01,
2002-03-01,
2002-06-01,0.3644882171707987
2002-09-01,
2002-12-01,
2003-03-01,
2003-06-01,0.08369152566595493
2003-09-01,
2003-12-01,
2004-03-01,
2004-06-01,-0.30023671439463834
2004-09-01,
2004-12-01,
2005-03-01,
2005-06-01,-0.2477591493644064
2005-09-01,
2005-12-01,
2006-03-01,
2006-06-01,-0.44585308010870073
2006-09-01,
2006-12-01,
2007-03-01,
2007-06-01,-0.46063535775614706
2007-09-01,
2007-12-01,
2008-03-01,
2008-06-01,-0.4446265912417624
2008-09-01,
2008-12-01,
2009-03-01,
2009-06-01,-0.3291637440643147
2009-09-01,
2009-12-01,
2010-03-01,
2010-06-01,-0.04059793487350591
2010-09-01,
2010-12-01,
2011-03-01,
2011-06-01,0.08738351587523588
2011-09-01,
2011-12-01,
2012-03-01,
2012-06-01,0.09945677009941596
2012-09-01,
2012-12-01,
2013-03-01,
2013-06-01,-0.10609206207521081
2013-09-01,
2013-12-01,
2014-03-01,
2014-06-01,-0.268463959840367
2014-09-01,
2014-12-01,
2015-03-01,
2015-06-01,-0.04944903629496944
2015-09-01,
2015-12-01,
2016-03-01,
2016-06-01,0.16995023573148324
2016-09-01,
2016-12-01,
2017-03-01,
2017-06-01,0.08684327186693411
2017-09-01,
2017-12-01,
2018-03-01,
2018-06-01,0.13270377691725752
2018-09-01,
2018-12-01,
2019-03-01,
2019-06-01,0.5435703308958834
2019-09-01,
2019-12-01,
2020-03-01,
2020-06-01,1.0907372365710448
