date,level,site
2001-06-21,-0.895,#425956101424101
2002-06-21,-1.0475,#425956101424101
2003-06-21,-1.16,#425956101424101
2004-06-21,-1.46,#425956101424101
2005-06-21,-1.45,#425956101424101
2006-06-21,-1.6366666666666667,#425956101424101
2007-06-21,-1.785,#425956101424101
2008-06-21,-1.84,#425956101424101
2009-06-21,-1.785,#425956101424101
2010-06-21,-1.635,#425956101424101
2011-06-21,,#425956101424101
2012-06-21,-1.34,#425956101424101
2013-06-21,-1.565,#425956101424101
2014-06-21,-1.55,#425956101424101
2015-06-21,-1.32,#425956101424101
2016-06-21,-1.0733333333333337,#425956101424101
2017-06-21,-1.115,#425956101424101
2018-06-21,-1.1549999999999998,#425956101424101
2019-06-21,-0.975,#425956101424101
2020-06-21,-0.77,#425956101424101
2001-06-21,-10.655,#430010099580601
2002-06-21,-11.166666666666666,#430010099580601
2003-06-21,-11.49,#430010099580601
2004-06-21,-11.8,#430010099580601
2005-06-21,-11.785,#430010099580601
2006-06-21,-11.93,#430010099580601
2007-06-21,-11.61,#430010099580601
2008-06-21,-11.44,#430010099580601
2009-06-21,-11.34,#430010099580601
2010-06-21,-11.28,#430010099580601
2011-06-21,-11.16,#430010099580601
2012-06-21,-11.22,#430010099580601
2013-06-21,-11.565,#430010099580601
2014-06-21,-11.46,#430010099580601
2015-06-21,-11.68,#430010099580601
2016-06-21,-11.506666666666666,#430010099580601
2017-06-21,-10.963333333333331,#430010099580601
2018-06-21,-10.26,#430010099580601
2019-06-21,,#430010099580601
2020-06-21,-9.85,#430010099580601
2001-06-21,-11.58087912087912,#430027102311801
2002-06-21,-11.73868131868132,#430027102311801
2003-06-21,-11.918681318681315,#430027102311801
2004-06-21,-12.055274725274725,#430027102311801
2005-06-21,-12.33956043956044,#430027102311801
2006-06-21,-12.7678021978022,#430027102311801
2007-06-21,-13.069450549450549,#430027102311801
2008-06-21,-13.223516483516482,#430027102311801
2009-06-21,-13.44,#430027102311801
2010-06-21,-13.216263736263738,#430027102311801
2011-06-21,-12.925824175824175,#430027102311801
2012-06-21,-12.837692307692308,#430027102311801
2013-06-21,-12.917362637362638,#430027102311801
2014-06-21,-13.256043956043955,#430027102311801
2015-06-21,-12.956703296703296,#430027102311801
2016-06-21,-12.020769230769227,#430027102311801
2017-06-21,-12.021978021978022,#430027102311801
2018-06-21,-12.174615384615382,#430027102311801
2019-06-21,-12.45989010989011,#430027102311801
2020-06-21,-12.557882352941178,#430027102311801
2001-06-21,-13.002527472527472,#430027102311806
2002-06-21,-12.038461538461538,#430027102311806
2003-06-21,-11.204725274725275,#430027102311806
2004-06-21,-11.06411111111111,#430027102311806
2005-06-21,-13.781764705882354,#430027102311806
2006-06-21,-17.48054945054945,#430027102311806
