date,normalised_level
2001-03-01,1.9698043418580942
2001-06-01,
2001-09-01,
2001-12-01,
2002-03-01,2.0161410342526205
2002-06-01,
2002-09-01,
2002-12-01,
2003-03-01,1.802839506543708
2003-06-01,
2003-09-01,
2003-12-01,
2004-03-01,1.3362676009671448
2004-06-01,
2004-09-01,
2004-12-01,
2005-03-01,1.4483728038546726
2005-06-01,
2005-09-01,
2005-12-01,
2006-03-01,1.2716692809391665
2006-06-01,
2006-09-01,
2006-12-01,
2007-03-01,1.0048261330794281
2007-06-01,
2007-09-01,
2007-12-01,
2008-03-01,0.9848529260960599
2008-06-01,
2008-09-01,
2008-12-01,
2009-03-01,0.6749655140613172
2009-06-01,
2009-09-01,
2009-12-01,
2010-03-01,0.21939473803989995
2010-06-01,
2010-09-01,
2010-12-01,
2011-03-01,-0.0005685630920803405
2011-06-01,
2011-09-01,
2011-12-01,
2012-03-01,-0.4641654011354624
2012-06-01,
2012-09-01,
2012-12-01,
2013-03-01,-1.082336309159795
2013-06-01,
2013-09-01,
2013-12-01,
2014-03-01,-1.4001932411801499
2014-06-01,
2014-09-01,
2014-12-01,
2015-03-01,-1.9660677192189242
2015-06-01,
2015-09-01,
2015-12-01,
2016-03-01,-1.4771509878705225
2016-06-01,
2016-09-01,
2016-12-01,
2017-03-01,-1.644892466673371
2017-06-01,
2017-09-01,
2017-12-01,
2018-03-01,-1.4665812164768575
2018-06-01,
2018-09-01,
2018-12-01,
2019-03-01,-1.7380742222337142
2019-06-01,
2019-09-01,
2019-12-01,
2020-03-01,-1.928859124030961
