date,level,site
2001-03-21,,#1001302
2002-03-21,,#1001302
2003-03-21,,#1001302
2004-03-21,,#1001302
2005-03-21,,#1001302
2006-03-21,,#1001302
2007-03-21,,#1001302
2008-03-21,,#1001302
2009-03-21,,#1001302
2010-03-21,,#1001302
2011-03-21,,#1001302
2012-03-21,,#1001302
2013-03-21,,#1001302
2014-03-21,,#1001302
2015-03-21,,#1001302
2016-03-21,,#1001302
2017-03-21,,#1001302
2018-03-21,,#1001302
2019-03-21,,#1001302
2020-03-21,,#1001302
2001-03-21,,#1001401
2002-03-21,,#1001401
2003-03-21,,#1001401
2004-03-21,,#1001401
2005-03-21,,#1001401
2006-03-21,,#1001401
2007-03-21,,#1001401
2008-03-21,-46.36,#1001401
2009-03-21,,#1001401
2010-03-21,,#1001401
2011-03-21,,#1001401
2012-03-21,,#1001401
2013-03-21,,#1001401
2014-03-21,,#1001401
2015-03-21,,#1001401
2016-03-21,,#1001401
2017-03-21,,#1001401
2018-03-21,,#1001401
2019-03-21,,#1001401
2020-03-21,,#1001401
2001-03-21,-92.65,#1002301
2002-03-21,,#1002301
2003-03-21,-92.58,#1002301
2004-03-21,-92.49,#1002301
2005-03-21,,#1002301
2006-03-21,,#1002301
2007-03-21,,#1002301
2008-03-21,,#1002301
2009-03-21,,#1002301
2010-03-21,,#1002301
2011-03-21,,#1002301
2012-03-21,,#1002301
2013-03-21,,#1002301
2014-03-21,,#1002301
2015-03-21,,#1002301
2016-03-21,,#1002301
2017-03-21,,#1002301
2018-03-21,,#1002301
2019-03-21,,#1002301
2020-03-21,,#1002301
2001-03-21,,#1002802
2002-03-21,,#1002802
2003-03-21,,#1002802
2004-03-21,,#1002802
2005-03-21,,#1002802
2006-03-21,,#1002802
2007-03-21,,#1002802
2008-03-21,,#1002802
2009-03-21,,#1002802
2010-03-21,,#1002802
2011-03-21,,#1002802
2012-03-21,,#1002802
2013-03-21,,#1002802
2014-03-21,,#1002802
2015-03-21,,#1002802
2016-03-21,,#1002802
2017-03-21,,#1002802
2018-03-21,,#1002802
2019-03-21,,#1002802
2020-03-21,,#1002802
2001-03-21,,#1002901
2002-03-21,,#1002901
2003-03-21,,#1002901
2004-03-21,,#1002901
2005-03-21,,#1002901
2006-03-21,,#1002901
2007-03-21,,#1002901
2008-03-21,,#1002901
2009-03-21,,#1002901
2010-03-21,,#1002901
2011-03-21,,#1002901
2012-03-21,,#1002901
2013-03-21,,#1002901
2014-03-21,,#1002901
2015-03-21,,#1002901
2016-03-21,,#1002901
2017-03-21,,#1002901
2018-03-21,,#1002901
2019-03-21,,#1002901
2020-03-21,,#1002901
2001-03-21,,#1003101
2002-03-21,,#1003101
2003-03-21,,#1003101
2004-03-21,,#1003101
2005-03-21,,#1003101
2006-03-21,,#1003101
2007-03-21,,#1003101
2008-03-21,,#1003101
2009-03-21,,#1003101
2010-03-21,,#1003101
2011-03-21,,#1003101
2012-03-21,,#1003101
2013-03-21,,#1003101
2014-03-21,,#1003101
2015-03-21,,#1003101
2016-03-21,,#1003101
2017-03-21,,#1003101
2018-03-21,,#1003101
2019-03-21,,#1003101
2020-03-21,,#1003101
2001-03-21,-94.1,#1003201
2002-03-21,-93.67,#1003201
2003-03-21,-93.91,#1003201
2004-03-21,-94.05,#1003201
2005-03-21,-93.99,#1003201
2006-03-21,-94.16,#1003201
2007-03-21,-94.01,#1003201
2008-03-21,-94.26,#1003201
2009-03-21,-94.57,#1003201
2010-03-21,,#1003201
2011-03-21,,#1003201
2012-03-21,-95.08,#1003201
2013-03-21,-95.32,#1003201
2014-03-21,,#1003201
2015-03-21,,#1003201
2016-03-21,-95.76,#1003201
2017-03-21,-95.96,#1003201
2018-03-21,-96.08,#1003201
2019-03-21,-96.32,#1003201
2020-03-21,-96.37,#1003201
2001-03-21,-78.99,#1003501
2002-03-21,-79.03,#1003501
2003-03-21,-79.1,#1003501
2004-03-21,-79.06,#1003501
2005-03-21,-79.03,#1003501
2006-03-21,-79.09,#1003501
2007-03-21,,#1003501
2008-03-21,-79.02,#1003501
2009-03-21,-79.72,#1003501
2010-03-21,,#1003501
2011-03-21,,#1003501
2012-03-21,-79.17,#1003501
2013-03-21,-79.23,#1003501
2014-03-21,,#1003501
2015-03-21,,#1003501
2016-03-21,-79.38,#1003501
2017-03-21,-79.49,#1003501
2018-03-21,-79.49,#1003501
2019-03-21,-79.5,#1003501
2020-03-21,-79.49,#1003501
2001-03-21,-69.49,#1003702
2002-03-21,-69.42,#1003702
2003-03-21,-69.5,#1003702
2004-03-21,-69.48,#1003702
2005-03-21,-69.49,#1003702
2006-03-21,-70.23,#1003702
2007-03-21,-70.08,#1003702
2008-03-21,-70.08,#1003702
2009-03-21,-69.67,#1003702
2010-03-21,,#1003702
2011-03-21,,#1003702
2012-03-21,-69.73,#1003702
2013-03-21,,#1003702
2014-03-21,,#1003702
2015-03-21,,#1003702
2016-03-21,-69.9,#1003702
2017-03-21,-69.88,#1003702
2018-03-21,-69.85,#1003702
2019-03-21,-69.92,#1003702
2020-03-21,-69.91,#1003702
2001-03-21,-81.11,#1003902
2002-03-21,-81.09,#1003902
2003-03-21,-81.42,#1003902
2004-03-21,-81.56,#1003902
2005-03-21,-81.57,#1003902
2006-03-21,,#1003902
2007-03-21,,#1003902
2008-03-21,,#1003902
2009-03-21,,#1003902
2010-03-21,,#1003902
2011-03-21,,#1003902
2012-03-21,,#1003902
2013-03-21,-84.4,#1003902
2014-03-21,-84.73,#1003902
2015-03-21,-85.3,#1003902
2016-03-21,-85.16,#1003902
2017-03-21,,#1003902
2018-03-21,-85.84,#1003902
2019-03-21,-86.09,#1003902
2020-03-21,-86.29,#1003902
2001-03-21,-78.77,#1003903
2002-03-21,-78.5,#1003903
2003-03-21,-78.79,#1003903
2004-03-21,-79.12,#1003903
2005-03-21,-78.87,#1003903
2006-03-21,-78.98,#1003903
2007-03-21,-79.0,#1003903
2008-03-21,-79.06,#1003903
2009-03-21,-79.19,#1003903
2010-03-21,,#1003903
2011-03-21,,#1003903
2012-03-21,-79.57,#1003903
2013-03-21,-79.74,#1003903
2014-03-21,,#1003903
2015-03-21,,#1003903
2016-03-21,-78.94,#1003903
2017-03-21,-80.85,#1003903
2018-03-21,-81.18,#1003903
2019-03-21,-81.32,#1003903
2020-03-21,-81.51,#1003903
2001-03-21,-102.26,#1004102
2002-03-21,-102.03,#1004102
2003-03-21,-102.12,#1004102
2004-03-21,-102.1,#1004102
2005-03-21,,#1004102
2006-03-21,,#1004102
2007-03-21,-101.9,#1004102
2008-03-21,-101.78,#1004102
2009-03-21,-102.31,#1004102
2010-03-21,,#1004102
2011-03-21,,#1004102
2012-03-21,-102.77,#1004102
2013-03-21,-103.12,#1004102
2014-03-21,,#1004102
2015-03-21,,#1004102
2016-03-21,-103.5,#1004102
2017-03-21,,#1004102
2018-03-21,-103.77,#1004102
2019-03-21,-103.98,#1004102
2020-03-21,-103.96,#1004102
2001-03-21,-96.94,#1004202
2002-03-21,-97.05,#1004202
2003-03-21,-97.41,#1004202
2004-03-21,-97.35,#1004202
2005-03-21,-97.14,#1004202
2006-03-21,,#1004202
2007-03-21,-97.35,#1004202
2008-03-21,-97.65,#1004202
2009-03-21,-97.95,#1004202
2010-03-21,,#1004202
2011-03-21,,#1004202
2012-03-21,,#1004202
2013-03-21,-99.79,#1004202
2014-03-21,,#1004202
2015-03-21,-101.06,#1004202
2016-03-21,-100.04,#1004202
2017-03-21,,#1004202
2018-03-21,-100.62,#1004202
2019-03-21,-100.95,#1004202
2020-03-21,-101.15,#1004202
2001-03-21,,#1004203
2002-03-21,,#1004203
2003-03-21,,#1004203
2004-03-21,,#1004203
2005-03-21,,#1004203
2006-03-21,,#1004203
2007-03-21,,#1004203
2008-03-21,,#1004203
2009-03-21,,#1004203
2010-03-21,,#1004203
2011-03-21,-107.11,#1004203
2012-03-21,,#1004203
2013-03-21,-107.5,#1004203
2014-03-21,,#1004203
2015-03-21,,#1004203
2016-03-21,-108.18,#1004203
2017-03-21,-108.43,#1004203
2018-03-21,-108.59,#1004203
2019-03-21,-108.88,#1004203
2020-03-21,-108.91,#1004203
2001-03-21,-99.47,#1004301
2002-03-21,-99.38,#1004301
2003-03-21,-99.68,#1004301
2004-03-21,-99.79,#1004301
2005-03-21,-99.91,#1004301
2006-03-21,-100.05,#1004301
2007-03-21,-100.09,#1004301
2008-03-21,-100.25,#1004301
2009-03-21,-100.73,#1004301
2010-03-21,,#1004301
2011-03-21,,#1004301
2012-03-21,-102.62,#1004301
2013-03-21,-102.97,#1004301
2014-03-21,,#1004301
2015-03-21,,#1004301
2016-03-21,,#1004301
2017-03-21,-104.59,#1004301
2018-03-21,-105.44,#1004301
2019-03-21,-105.67,#1004301
2020-03-21,-106.15,#1004301
2001-03-21,-87.02,#1004504
2002-03-21,-87.0,#1004504
2003-03-21,-87.11,#1004504
2004-03-21,-87.17,#1004504
2005-03-21,-87.26,#1004504
2006-03-21,-87.33,#1004504
2007-03-21,-87.43,#1004504
2008-03-21,-87.41,#1004504
2009-03-21,-87.54,#1004504
2010-03-21,,#1004504
2011-03-21,,#1004504
2012-03-21,-87.8,#1004504
2013-03-21,-87.83,#1004504
2014-03-21,,#1004504
2015-03-21,-88.55,#1004504
2016-03-21,-88.89,#1004504
2017-03-21,-89.33,#1004504
2018-03-21,-89.67,#1004504
2019-03-21,-89.75,#1004504
2020-03-21,-89.9,#1004504
2001-03-21,-84.44,#1004603
2002-03-21,-84.41,#1004603
2003-03-21,-84.49,#1004603
2004-03-21,-84.88,#1004603
2005-03-21,-84.72,#1004603
2006-03-21,-84.75,#1004603
2007-03-21,-84.96,#1004603
2008-03-21,-84.94,#1004603
2009-03-21,-86.53,#1004603
2010-03-21,,#1004603
2011-03-21,,#1004603
2012-03-21,,#1004603
2013-03-21,-87.05,#1004603
2014-03-21,,#1004603
2015-03-21,-87.73,#1004603
2016-03-21,-87.91,#1004603
2017-03-21,-87.96,#1004603
2018-03-21,-88.64,#1004603
2019-03-21,-88.68,#1004603
2020-03-21,-88.86,#1004603
2001-03-21,-66.78666666666666,#1004901
2002-03-21,-66.27999999999999,#1004901
2003-03-21,-66.10578947368421,#1004901
2004-03-21,-65.99611111111112,#1004901
2005-03-21,-65.95315789473685,#1004901
2006-03-21,-65.89529411764705,#1004901
2007-03-21,-65.93,#1004901
2008-03-21,-65.99684210526316,#1004901
2009-03-21,-66.19368421052631,#1004901
2010-03-21,-66.51529411764706,#1004901
2011-03-21,-67.00941176470589,#1004901
2012-03-21,-67.68944444444445,#1004901
2013-03-21,-68.345,#1004901
2014-03-21,-68.86111111111111,#1004901
2015-03-21,-69.275,#1004901
2016-03-21,-69.24055555555555,#1004901
2017-03-21,-69.25444444444445,#1004901
2018-03-21,-69.46,#1004901
2019-03-21,-69.7188888888889,#1004901
2020-03-21,-69.82722222222223,#1004901
2001-03-21,-83.87,#1005225
2002-03-21,-83.94,#1005225
2003-03-21,-84.25,#1005225
2004-03-21,-85.5,#1005225
2005-03-21,-84.74,#1005225
2006-03-21,-84.94,#1005225
2007-03-21,-85.14,#1005225
2008-03-21,-85.39,#1005225
2009-03-21,-86.86,#1005225
2010-03-21,,#1005225
2011-03-21,,#1005225
2012-03-21,-87.91,#1005225
2013-03-21,-89.32,#1005225
2014-03-21,,#1005225
2015-03-21,-89.99,#1005225
2016-03-21,-89.6,#1005225
2017-03-21,-90.39,#1005225
2018-03-21,-90.18,#1005225
2019-03-21,-90.98,#1005225
2020-03-21,-91.07,#1005225
2001-03-21,-75.77,#1005502
2002-03-21,-75.48,#1005502
2003-03-21,-75.75,#1005502
2004-03-21,-76.99,#1005502
2005-03-21,-76.55,#1005502
2006-03-21,-76.47,#1005502
2007-03-21,-76.83,#1005502
2008-03-21,-76.97,#1005502
2009-03-21,-78.88,#1005502
2010-03-21,,#1005502
2011-03-21,,#1005502
2012-03-21,-80.22,#1005502
2013-03-21,-80.78,#1005502
2014-03-21,,#1005502
2015-03-21,-81.44,#1005502
2016-03-21,-81.61,#1005502
2017-03-21,-82.06,#1005502
2018-03-21,,#1005502
2019-03-21,-83.66,#1005502
2020-03-21,-84.01,#1005502
2001-03-21,-65.93,#1005603
2002-03-21,-66.48,#1005603
2003-03-21,-67.09,#1005603
2004-03-21,-68.33,#1005603
2005-03-21,-68.47,#1005603
2006-03-21,-69.26,#1005603
2007-03-21,-69.6,#1005603
2008-03-21,-69.38,#1005603
2009-03-21,-71.09,#1005603
2010-03-21,,#1005603
2011-03-21,,#1005603
2012-03-21,-73.01,#1005603
2013-03-21,-74.45,#1005603
2014-03-21,,#1005603
2015-03-21,-76.57,#1005603
2016-03-21,-76.86,#1005603
2017-03-21,-77.79,#1005603
2018-03-21,-77.94,#1005603
2019-03-21,-79.18,#1005603
2020-03-21,-79.79,#1005603
2001-03-21,,#1005814
2002-03-21,-64.63,#1005814
2003-03-21,-65.26,#1005814
2004-03-21,-66.49,#1005814
2005-03-21,,#1005814
2006-03-21,-67.08,#1005814
2007-03-21,-67.66,#1005814
2008-03-21,-67.78,#1005814
2009-03-21,-69.13,#1005814
2010-03-21,,#1005814
2011-03-21,,#1005814
2012-03-21,-70.71,#1005814
2013-03-21,-72.02,#1005814
2014-03-21,,#1005814
2015-03-21,-73.26,#1005814
2016-03-21,-73.3,#1005814
2017-03-21,-73.93,#1005814
2018-03-21,-74.02,#1005814
2019-03-21,-74.86,#1005814
2020-03-21,-74.96,#1005814
2001-03-21,-73.56,#1005905
2002-03-21,-73.5,#1005905
2003-03-21,-73.91,#1005905
2004-03-21,-75.14,#1005905
2005-03-21,-74.22,#1005905
2006-03-21,-74.07,#1005905
2007-03-21,-75.03,#1005905
2008-03-21,-74.95,#1005905
2009-03-21,-76.89,#1005905
2010-03-21,-77.31,#1005905
2011-03-21,-78.03,#1005905
2012-03-21,,#1005905
2013-03-21,-80.74,#1005905
2014-03-21,-81.6,#1005905
2015-03-21,-82.37,#1005905
