date,level,site
2000-03-21,,#104816
2000-06-21,,#104816
2000-09-21,,#104816
2000-12-21,,#104816
2001-03-21,,#104816
2001-06-21,,#104816
2001-09-21,,#104816
2001-12-21,,#104816
2002-03-21,,#104816
2002-06-21,,#104816
2002-09-21,,#104816
2002-12-21,,#104816
2003-03-21,,#104816
2003-06-21,,#104816
2003-09-21,,#104816
2003-12-21,,#104816
2004-03-21,,#104816
2004-06-21,,#104816
2004-09-21,,#104816
2004-12-21,,#104816
2005-03-21,,#104816
2005-06-21,,#104816
2005-09-21,,#104816
2005-12-21,,#104816
2006-03-21,,#104816
2006-06-21,,#104816
2006-09-21,,#104816
2006-12-21,,#104816
2007-03-21,,#104816
2007-06-21,,#104816
2007-09-21,,#104816
2007-12-21,,#104816
2008-03-21,,#104816
2008-06-21,,#104816
2008-09-21,,#104816
2008-12-21,,#104816
2009-03-21,,#104816
2009-06-21,,#104816
2009-09-21,,#104816
2009-12-21,,#104816
2010-03-21,,#104816
2010-06-21,,#104816
2010-09-21,,#104816
2010-12-21,,#104816
2011-03-21,-29.89,#104816
2011-06-21,,#104816
2011-09-21,,#104816
2011-12-21,,#104816
2012-03-21,-32.09,#104816
2012-06-21,,#104816
2012-09-21,,#104816
2012-12-21,,#104816
2013-03-21,-30.92,#104816
2013-06-21,,#104816
2013-09-21,,#104816
2013-12-21,,#104816
2014-03-21,-33.51,#104816
2014-06-21,,#104816
2014-09-21,,#104816
2014-12-21,,#104816
2015-03-21,-34.75,#104816
2015-06-21,,#104816
2015-09-21,,#104816
2015-12-21,,#104816
2016-03-21,-35.52,#104816
2016-06-21,,#104816
2016-09-21,,#104816
2016-12-21,,#104816
2017-03-21,-35.56,#104816
2017-06-21,,#104816
2017-09-21,,#104816
2017-12-21,,#104816
2018-03-21,-35.57,#104816
2018-06-21,,#104816
2018-09-21,,#104816
2018-12-21,,#104816
2019-03-21,-36.05,#104816
2019-06-21,,#104816
2019-09-21,,#104816
2019-12-21,,#104816
2020-03-21,-36.13,#104816
2020-06-21,,#104816
2020-09-21,,#104816
2020-12-21,,#104816
2000-03-21,,#105532
2000-06-21,,#105532
2000-09-21,,#105532
2000-12-21,,#105532
2001-03-21,,#105532
2001-06-21,,#105532
2001-09-21,,#105532
2001-12-21,,#105532
2002-03-21,,#105532
2002-06-21,,#105532
2002-09-21,,#105532
2002-12-21,,#105532
2003-03-21,,#105532
2003-06-21,,#105532
2003-09-21,,#105532
2003-12-21,,#105532
2004-03-21,,#105532
2004-06-21,,#105532
2004-09-21,,#105532
2004-12-21,,#105532
2005-03-21,,#105532
2005-06-21,,#105532
2005-09-21,,#105532
2005-12-21,,#105532
2006-03-21,,#105532
2006-06-21,,#105532
2006-09-21,,#105532
2006-12-21,,#105532
2007-03-21,,#105532
2007-06-21,,#105532
2007-09-21,,#105532
2007-12-21,,#105532
2008-03-21,,#105532
2008-06-21,,#105532
2008-09-21,,#105532
2008-12-21,,#105532
2009-03-21,-73.24,#105532
2009-06-21,,#105532
2009-09-21,,#105532
2009-12-21,,#105532
2010-03-21,,#105532
2010-06-21,,#105532
2010-09-21,,#105532
2010-12-21,,#105532
2011-03-21,-73.38,#105532
2011-06-21,,#105532
2011-09-21,,#105532
