date,normalised_level
2001-03-01,2.7982096020546106
2001-06-01,8.096633986928106
2001-09-01,
2001-12-01,2.7268364409297194
2002-03-01,2.205175457715482
2002-06-01,
2002-09-01,
2002-12-01,1.5650172260339836
2003-03-01,1.807929146154975
2003-06-01,0.7694292237947827
2003-09-01,
2003-12-01,1.1526057681770352
2004-03-01,1.5991185898783882
2004-06-01,
2004-09-01,
2004-12-01,0.8331531462732894
2005-03-01,1.0871232851854054
2005-06-01,
2005-09-01,
2005-12-01,0.1452348867312401
2006-03-01,0.8508494776403369
2006-06-01,
2006-09-01,
2006-12-01,0.9307639681055168
2007-03-01,0.23678270564554124
2007-06-01,0.5009746036869417
2007-09-01,
2007-12-01,-0.9911357156858333
2008-03-01,-0.02726313307996705
2008-06-01,
2008-09-01,
2008-12-01,1.0055208332293795
2009-03-01,0.780372795527646
2009-06-01,-0.526267006121007
2009-09-01,
2009-12-01,0.12805964824727403
2010-03-01,0.27025292903569265
2010-06-01,
2010-09-01,
2010-12-01,0.02929288266596186
2011-03-01,0.446410019304632
2011-06-01,-0.9216118421052618
2011-09-01,
2011-12-01,0.019583046017446204
2012-03-01,0.165053289000087
2012-06-01,
2012-09-01,
2012-12-01,-0.9528825959543855
2013-03-01,-1.1501644947087126
2013-06-01,-0.1695486111111073
2013-09-01,
2013-12-01,-0.6329427241274397
2014-03-01,-0.9702245748125118
2014-06-01,0.33157894736842053
2014-09-01,
2014-12-01,-0.6609780109337807
2015-03-01,-1.0539093250864482
2015-06-01,
2015-09-01,
2015-12-01,
2016-03-01,-0.8753953343967285
2016-06-01,
2016-09-01,9.76810388984302
2016-12-01,-2.7262783281733745
2017-03-01,-0.9403309148572476
2017-06-01,3.2406506506506574
2017-09-01,8.994729729729734
2017-12-01,
2018-03-01,-1.0852900514812676
2018-06-01,0.9804517623603023
2018-09-01,9.004729729729732
2018-12-01,
2019-03-01,-1.193159022345555
2019-06-01,-0.6951022379845896
2019-09-01,9.804729729729736
2019-12-01,-2.532956747251253
2020-03-01,-1.5273685447698564
2020-06-01,-0.868968615735767
2020-09-01,9.754729729729732
