date,level,site
2001-03-21,,#1002
2002-03-21,,#1002
2003-03-21,,#1002
2004-03-21,,#1002
2005-03-21,,#1002
2006-03-21,,#1002
2007-03-21,-34.19,#1002
2008-03-21,-34.21,#1002
2009-03-21,,#1002
2010-03-21,-32.37,#1002
2011-03-21,-32.37,#1002
2012-03-21,-32.71,#1002
2013-03-21,-32.52,#1002
2014-03-21,-32.58,#1002
2015-03-21,,#1002
2016-03-21,,#1002
2017-03-21,,#1002
2018-03-21,-32.16,#1002
2019-03-21,-32.98,#1002
2020-03-21,-31.67,#1002
2001-03-21,,#1004
2002-03-21,,#1004
2003-03-21,,#1004
2004-03-21,,#1004
2005-03-21,,#1004
2006-03-21,,#1004
2007-03-21,,#1004
2008-03-21,-74.71,#1004
2009-03-21,,#1004
2010-03-21,-77.45,#1004
2011-03-21,-78.46,#1004
2012-03-21,-79.19,#1004
2013-03-21,-80.19,#1004
2014-03-21,-80.74,#1004
2015-03-21,,#1004
2016-03-21,,#1004
2017-03-21,-80.35,#1004
2018-03-21,-80.25,#1004
2019-03-21,-80.53,#1004
2020-03-21,-80.71,#1004
2001-03-21,,#1006
2002-03-21,,#1006
2003-03-21,,#1006
2004-03-21,,#1006
2005-03-21,,#1006
2006-03-21,-63.52,#1006
2007-03-21,,#1006
2008-03-21,-64.25,#1006
2009-03-21,,#1006
2010-03-21,-62.65,#1006
2011-03-21,-62.65,#1006
2012-03-21,-62.88,#1006
2013-03-21,-63.63,#1006
2014-03-21,-63.63,#1006
2015-03-21,,#1006
2016-03-21,,#1006
2017-03-21,-63.23,#1006
2018-03-21,-62.79,#1006
2019-03-21,-62.64,#1006
2020-03-21,-62.7,#1006
2001-03-21,,#1007
2002-03-21,,#1007
2003-03-21,,#1007
2004-03-21,,#1007
2005-03-21,,#1007
2006-03-21,-64.01,#1007
2007-03-21,,#1007
2008-03-21,-64.37,#1007
2009-03-21,,#1007
2010-03-21,-63.79,#1007
2011-03-21,-64.04,#1007
2012-03-21,-64.47,#1007
2013-03-21,-66.29,#1007
2014-03-21,-66.6,#1007
2015-03-21,,#1007
2016-03-21,,#1007
2017-03-21,-66.2,#1007
2018-03-21,-65.9,#1007
2019-03-21,-65.2,#1007
2020-03-21,-66.08,#1007
2001-03-21,,#1008
2002-03-21,,#1008
2003-03-21,,#1008
2004-03-21,,#1008
2005-03-21,,#1008
2006-03-21,-77.09,#1008
2007-03-21,,#1008
2008-03-21,-78.96,#1008
2009-03-21,,#1008
2010-03-21,-79.71,#1008
2011-03-21,-78.39,#1008
2012-03-21,-78.0,#1008
2013-03-21,-78.7,#1008
2014-03-21,-76.96,#1008
2015-03-21,,#1008
2016-03-21,,#1008
2017-03-21,-73.03,#1008
2018-03-21,-72.85,#1008
2019-03-21,-72.82,#1008
2020-03-21,-72.82,#1008
2001-03-21,,#1009
2002-03-21,,#1009
2003-03-21,,#1009
2004-03-21,,#1009
2005-03-21,,#1009
2006-03-21,-81.31,#1009
2007-03-21,-83.08,#1009
2008-03-21,-83.71,#1009
2009-03-21,,#1009
2010-03-21,-80.25,#1009
2011-03-21,-79.89,#1009
2012-03-21,-79.64,#1009
2013-03-21,-80.04,#1009
2014-03-21,-80.31,#1009
2015-03-21,,#1009
2016-03-21,,#1009
2017-03-21,-77.82,#1009
2018-03-21,-77.96,#1009
2019-03-21,-77.63,#1009
2020-03-21,-76.93,#1009
2001-03-21,,#1010
2002-03-21,,#1010
2003-03-21,,#1010
2004-03-21,,#1010
2005-03-21,,#1010
2006-03-21,-74.72,#1010
2007-03-21,,#1010
2008-03-21,-75.5,#1010
2009-03-21,,#1010
2010-03-21,-68.58,#1010
2011-03-21,-68.46,#1010
2012-03-21,-68.31,#1010
2013-03-21,-69.49,#1010
2014-03-21,-69.83,#1010
2015-03-21,,#1010
2016-03-21,,#1010
2017-03-21,-67.85,#1010
2018-03-21,-68.34,#1010
2019-03-21,-68.55,#1010
2020-03-21,-67.6,#1010
2001-03-21,-60.84,#1012
2002-03-21,-61.14,#1012
2003-03-21,-60.75,#1012
2004-03-21,,#1012
2005-03-21,-61.14,#1012
2006-03-21,-62.12,#1012
2007-03-21,-61.39,#1012
2008-03-21,-61.51,#1012
2009-03-21,,#1012
2010-03-21,-61.6,#1012
2011-03-21,-62.12,#1012
2012-03-21,-62.21,#1012
2013-03-21,-62.42,#1012
2014-03-21,-62.79,#1012
2015-03-21,-62.91,#1012
2016-03-21,-63.09,#1012
2017-03-21,-63.0,#1012
2018-03-21,-63.25,#1012
2019-03-21,-63.46,#1012
2020-03-21,-63.64,#1012
2001-03-21,-44.87,#1014
2002-03-21,-45.38,#1014
2003-03-21,-45.9,#1014
2004-03-21,-46.57,#1014
2005-03-21,-46.3,#1014
2006-03-21,-46.66,#1014
2007-03-21,-46.79,#1014
2008-03-21,-47.18,#1014
2009-03-21,,#1014
2010-03-21,-47.06,#1014
2011-03-21,-47.09,#1014
2012-03-21,-47.12,#1014
2013-03-21,-47.46,#1014
2014-03-21,-47.34,#1014
2015-03-21,-47.55,#1014
2016-03-21,-47.67,#1014
2017-03-21,-47.76,#1014
2018-03-21,-48.4,#1014
2019-03-21,-48.59,#1014
2020-03-21,-48.95,#1014
2001-03-21,-41.89,#1016
2002-03-21,-42.56,#1016
2003-03-21,,#1016
2004-03-21,-43.6,#1016
2005-03-21,,#1016
2006-03-21,,#1016
2007-03-21,-44.19,#1016
2008-03-21,-44.26,#1016
2009-03-21,,#1016
2010-03-21,-44.81,#1016
2011-03-21,-42.61,#1016
2012-03-21,-46.02,#1016
2013-03-21,-46.85,#1016
2014-03-21,-46.94,#1016
2015-03-21,-46.45,#1016
2016-03-21,-46.88,#1016
2017-03-21,-46.97,#1016
2018-03-21,-47.09,#1016
2019-03-21,-46.94,#1016
2020-03-21,-47.03,#1016
2001-03-21,-45.9,#1017
2002-03-21,-46.25,#1017
2003-03-21,,#1017
2004-03-21,-47.03,#1017
2005-03-21,-47.3,#1017
2006-03-21,,#1017
2007-03-21,-48.94,#1017
2008-03-21,-49.41,#1017
2009-03-21,,#1017
2010-03-21,-46.97,#1017
