date,normalised_level
2001-03-01,3.701711565698099
2001-06-01,
2001-09-01,
2001-12-01,
2002-03-01,3.3842499773335146
2002-06-01,
2002-09-01,
2002-12-01,
2003-03-01,2.6084085807467385
2003-06-01,
2003-09-01,
2003-12-01,
2004-03-01,2.041699954176486
2004-06-01,
2004-09-01,
2004-12-01,
2005-03-01,2.0199898960363867
2005-06-01,
2005-09-01,
2005-12-01,
2006-03-01,1.812694834307992
2006-06-01,
2006-09-01,
2006-12-01,
2007-03-01,1.1817533106181428
2007-06-01,
2007-09-01,
2007-12-01,
2008-03-01,1.1653103513202194
2008-06-01,
2008-09-01,
2008-12-01,
2009-03-01,0.8203429824561401
2009-06-01,
2009-09-01,
2009-12-01,
2010-03-01,0.6617585264050703
2010-06-01,
2010-09-01,
2010-12-01,
2011-03-01,0.18339204723003416
2011-06-01,
2011-09-01,
2011-12-01,
2012-03-01,-0.8945197150213843
2012-06-01,
2012-09-01,
2012-12-01,
2013-03-01,-1.6331014619883046
2013-06-01,
2013-09-01,
2013-12-01,
2014-03-01,-1.9515520792722552
2014-06-01,
2014-09-01,
2014-12-01,
2015-03-01,-2.421245134145797
2015-06-01,
2015-09-01,
2015-12-01,
2016-03-01,-2.646633650097466
2016-06-01,
2016-09-01,
2016-12-01,
2017-03-01,-2.665373762932974
2017-06-01,
2017-09-01,
2017-12-01,
2018-03-01,-2.579099980063796
2018-06-01,
2018-09-01,
2018-12-01,
2019-03-01,-2.324869812865497
2019-06-01,
2019-09-01,
2019-12-01,
2020-03-01,-2.3373961108912638
