date,level,site
2001-03-21,-30.59,#370217101593801
2002-03-21,-31.2,#370217101593801
2003-03-21,-30.96,#370217101593801
2004-03-21,-31.85,#370217101593801
2005-03-21,-32.56,#370217101593801
2006-03-21,-32.88,#370217101593801
2007-03-21,-33.56,#370217101593801
2008-03-21,-34.02,#370217101593801
2009-03-21,-34.4,#370217101593801
2010-03-21,-34.09,#370217101593801
2011-03-21,-34.66,#370217101593801
2012-03-21,-35.17,#370217101593801
2013-03-21,-35.71,#370217101593801
2014-03-21,-35.88,#370217101593801
2015-03-21,-36.41,#370217101593801
2016-03-21,-36.14,#370217101593801
2017-03-21,-36.34,#370217101593801
2018-03-21,-36.43,#370217101593801
2019-03-21,-36.62,#370217101593801
2020-03-21,-36.71,#370217101593801
2001-03-21,-48.88,#370322101443201
2002-03-21,-48.65,#370322101443201
2003-03-21,-48.48,#370322101443201
2004-03-21,-48.3,#370322101443201
2005-03-21,-47.99,#370322101443201
2006-03-21,-47.97,#370322101443201
2007-03-21,-48.24,#370322101443201
2008-03-21,-48.4,#370322101443201
2009-03-21,-48.260000000000005,#370322101443201
2010-03-21,-48.48,#370322101443201
2011-03-21,-48.58,#370322101443201
2012-03-21,-48.72,#370322101443201
2013-03-21,-48.93,#370322101443201
2014-03-21,-48.91,#370322101443201
2015-03-21,-49.22,#370322101443201
2016-03-21,-49.36,#370322101443201
2017-03-21,-49.58,#370322101443201
2018-03-21,-49.45,#370322101443201
2019-03-21,-49.48,#370322101443201
2020-03-21,-50.05,#370322101443201
2001-03-21,-55.335,#370352101055301
2002-03-21,-58.38,#370352101055301
2003-03-21,-63.37,#370352101055301
2004-03-21,-61.02,#370352101055301
2005-03-21,-60.99,#370352101055301
2006-03-21,-62.18,#370352101055301
2007-03-21,-65.36,#370352101055301
2008-03-21,-69.82,#370352101055301
2009-03-21,-72.5,#370352101055301
2010-03-21,-73.535,#370352101055301
2011-03-21,-75.05,#370352101055301
2012-03-21,-80.22,#370352101055301
2013-03-21,-79.615,#370352101055301
2014-03-21,-81.95,#370352101055301
2015-03-21,-82.48,#370352101055301
2016-03-21,-82.51,#370352101055301
2017-03-21,-82.8,#370352101055301
2018-03-21,-82.0,#370352101055301
