date,level,site
2001-03-21,,#370014101265101
2002-03-21,,#370014101265101
2003-03-21,,#370014101265101
2004-03-21,,#370014101265101
2005-03-21,,#370014101265101
2006-03-21,,#370014101265101
2007-03-21,,#370014101265101
2008-03-21,,#370014101265101
2009-03-21,,#370014101265101
2010-03-21,,#370014101265101
2011-03-21,,#370014101265101
2012-03-21,,#370014101265101
2013-03-21,,#370014101265101
2014-03-21,,#370014101265101
2015-03-21,,#370014101265101
2016-03-21,,#370014101265101
2017-03-21,,#370014101265101
2018-03-21,,#370014101265101
2019-03-21,-87.15,#370014101265101
2020-03-21,-88.56,#370014101265101
2001-03-21,,#370033100534202
2002-03-21,,#370033100534202
2003-03-21,,#370033100534202
2004-03-21,,#370033100534202
2005-03-21,,#370033100534202
2006-03-21,,#370033100534202
2007-03-21,,#370033100534202
2008-03-21,,#370033100534202
2009-03-21,,#370033100534202
2010-03-21,,#370033100534202
2011-03-21,,#370033100534202
2012-03-21,,#370033100534202
2013-03-21,,#370033100534202
2014-03-21,-48.14597222222222,#370033100534202
2015-03-21,-48.861888888888885,#370033100534202
2016-03-21,-49.40865168539326,#370033100534202
2017-03-21,-50.007666666666665,#370033100534202
2018-03-21,,#370033100534202
2019-03-21,,#370033100534202
2020-03-21,-49.73648351648351,#370033100534202
2001-03-21,,#370037101300201
2002-03-21,,#370037101300201
2003-03-21,,#370037101300201
2004-03-21,,#370037101300201
2005-03-21,,#370037101300201
2006-03-21,,#370037101300201
2007-03-21,,#370037101300201
2008-03-21,-85.33,#370037101300201
2009-03-21,-86.93,#370037101300201
2010-03-21,-87.93,#370037101300201
2011-03-21,-87.42,#370037101300201
2012-03-21,-91.36,#370037101300201
2013-03-21,-92.38,#370037101300201
2014-03-21,-93.85,#370037101300201
2015-03-21,-94.52,#370037101300201
2016-03-21,-95.28,#370037101300201
2017-03-21,-95.13,#370037101300201
2018-03-21,-95.3,#370037101300201
2019-03-21,-94.79,#370037101300201
2020-03-21,-94.57,#370037101300201
2001-03-21,,#370103101222801
2002-03-21,,#370103101222801
2003-03-21,,#370103101222801
2004-03-21,,#370103101222801
2005-03-21,,#370103101222801
2006-03-21,,#370103101222801
2007-03-21,,#370103101222801
2008-03-21,,#370103101222801
2009-03-21,,#370103101222801
2010-03-21,,#370103101222801
2011-03-21,,#370103101222801
2012-03-21,,#370103101222801
2013-03-21,,#370103101222801
2014-03-21,,#370103101222801
2015-03-21,,#370103101222801
2016-03-21,,#370103101222801
2017-03-21,,#370103101222801
2018-03-21,,#370103101222801
2019-03-21,,#370103101222801
2020-03-21,,#370103101222801
2001-03-21,,#370130101145201
2002-03-21,,#370130101145201
2003-03-21,,#370130101145201
2004-03-21,,#370130101145201
2005-03-21,,#370130101145201
2006-03-21,,#370130101145201
2007-03-21,,#370130101145201
2008-03-21,,#370130101145201
2009-03-21,,#370130101145201
2010-03-21,,#370130101145201
2011-03-21,,#370130101145201
2012-03-21,,#370130101145201
2013-03-21,,#370130101145201
2014-03-21,,#370130101145201
2015-03-21,,#370130101145201
2016-03-21,,#370130101145201
2017-03-21,,#370130101145201
2018-03-21,,#370130101145201
