date,normalised_level
2001-09-01,1.645105620718463
2001-12-01,
2002-03-01,
2002-06-01,
2002-09-01,-0.5703318186960457
2002-12-01,
2003-03-01,
2003-06-01,
2003-09-01,-0.5153998628199286
2003-12-01,
2004-03-01,
2004-06-01,
2004-09-01,-0.06470276513652518
2004-12-01,
2005-03-01,
2005-06-01,
2005-09-01,-0.1763440162907268
2005-12-01,
2006-03-01,
2006-06-01,
2006-09-01,-0.462243297163363
2006-12-01,
2007-03-01,
2007-06-01,
2007-09-01,0.5338090029761904
2007-12-01,
2008-03-01,
2008-06-01,
2008-09-01,1.7187047409468696
2008-12-01,
2009-03-01,
2009-06-01,
2009-09-01,1.6517789685056528
2009-12-01,
2010-03-01,
2010-06-01,
2010-09-01,1.2703566351668265
2010-12-01,
2011-03-01,
2011-06-01,
2011-09-01,-0.07146490504346066
2011-12-01,
2012-03-01,
2012-06-01,
2012-09-01,-0.8961967259387917
2012-12-01,
2013-03-01,
2013-06-01,
2013-09-01,-0.9222491547941882
2013-12-01,
2014-03-01,
2014-06-01,
2014-09-01,-0.45137352856033125
2014-12-01,
2015-03-01,
2015-06-01,
2015-09-01,-0.2437016008520506
2015-12-01,
2016-03-01,
2016-06-01,
2016-09-01,-0.10926981248819966
2016-12-01,
2017-03-01,
2017-06-01,
2017-09-01,-0.44541642072586707
2017-12-01,
2018-03-01,
2018-06-01,
2018-09-01,-0.4685044899617179
2018-12-01,
2019-03-01,
2019-06-01,
2019-09-01,0.3382662969642977
2019-12-01,
2020-03-01,
2020-06-01,
2020-09-01,-0.47646556044373717
