date,normalised_level
2001-09-01,0.8220801604322918
2001-12-01,
2002-03-01,
2002-06-01,
2002-09-01,0.36282949452539515
2002-12-01,
2003-03-01,
2003-06-01,
2003-09-01,0.09202092391136203
2003-12-01,
2004-03-01,
2004-06-01,
2004-09-01,-0.16240313007236057
2004-12-01,
2005-03-01,
2005-06-01,
2005-09-01,-0.11323530721086138
2005-12-01,
2006-03-01,
2006-06-01,
2006-09-01,-0.46235162179748657
2006-12-01,
2007-03-01,
2007-06-01,
2007-09-01,-0.31688190210838807
2007-12-01,
2008-03-01,
2008-06-01,
2008-09-01,-0.04318922827529373
2008-12-01,
2009-03-01,
2009-06-01,
2009-09-01,0.06848352877315735
2009-12-01,
2010-03-01,
2010-06-01,
2010-09-01,0.2943003562905061
2010-12-01,
2011-03-01,
2011-06-01,
2011-09-01,0.28185417982964917
2011-12-01,
2012-03-01,
2012-06-01,
2012-09-01,-0.38648936828780195
2012-12-01,
2013-03-01,
2013-06-01,
2013-09-01,-0.42828090848032047
2013-12-01,
2014-03-01,
2014-06-01,
2014-09-01,-0.557103178450302
2014-12-01,
2015-03-01,
2015-06-01,
2015-09-01,-0.2220199675457894
2015-12-01,
2016-03-01,
2016-06-01,
2016-09-01,-0.11729121679261162
2016-12-01,
2017-03-01,
2017-06-01,
2017-09-01,-0.42988435161609867
2017-12-01,
2018-03-01,
2018-06-01,
2018-09-01,-0.0045005764194507025
2018-12-01,
2019-03-01,
2019-06-01,
2019-09-01,0.6093892385285278
2019-12-01,
2020-03-01,
2020-06-01,
2020-09-01,0.5553838241426744
