date,normalised_level
2001-12-01,1.1983617272626
2002-03-01,
2002-06-01,
2002-09-01,
2002-12-01,0.5456276340841699
2003-03-01,
2003-06-01,
2003-09-01,
2003-12-01,0.3679203507489649
2004-03-01,
2004-06-01,
2004-09-01,
2004-12-01,0.4356097651540846
2005-03-01,
2005-06-01,
2005-09-01,
2005-12-01,0.40336226697495514
2006-03-01,
2006-06-01,
2006-09-01,
2006-12-01,0.06689498944094775
2007-03-01,
2007-06-01,
2007-09-01,
2007-12-01,0.3104965746642055
2008-03-01,
2008-06-01,
2008-09-01,
2008-12-01,0.4438587458017218
2009-03-01,
2009-06-01,
2009-09-01,
2009-12-01,0.4473116463417242
2010-03-01,
2010-06-01,
2010-09-01,
2010-12-01,0.3648383226095782
2011-03-01,
2011-06-01,
2011-09-01,
2011-12-01,0.26002658052881467
2012-03-01,
2012-06-01,
2012-09-01,
2012-12-01,-0.5378503784727097
2013-03-01,
2013-06-01,
2013-09-01,
2013-12-01,-0.7351179748783049
2014-03-01,
2014-06-01,
2014-09-01,
2014-12-01,-0.6823302923278555
2015-03-01,
2015-06-01,
2015-09-01,
2015-12-01,-0.9097202701982394
2016-03-01,
2016-06-01,
2016-09-01,
2016-12-01,-0.6988706131572472
2017-03-01,
2017-06-01,
2017-09-01,
2017-12-01,-0.4495182962912178
2018-03-01,
2018-06-01,
2018-09-01,
2018-12-01,-0.33931183547716687
2019-03-01,
2019-06-01,
2019-09-01,
2019-12-01,0.03523019579946368
2020-03-01,
2020-06-01,
2020-09-01,
2020-12-01,-0.46846306051532816
