site,data_type,trend,h,p,z,Tau,s,var_s,slope,intercept,slope m/20y
#1004901,level,decreasing,True,0.0,-9.501712945926613,-0.7240506329113924,-2288,57933.33333333334,-0.06111111111111181,-64.59346405228754,-4.888888888888944
#1005905,level,decreasing,True,7.133408641557537e-08,-5.387777999768161,-0.9064327485380117,-155,817.0,-0.7233333333333329,-70.80000000000001,-57.86666666666663
#1012,level,decreasing,True,1.653081955765856e-07,-5.234638368495083,-0.9084967320261438,-139,695.0,-0.1758333333333333,-60.67041666666667,-14.06666666666666
#1012504,level,decreasing,True,4.914153728385884e-08,-5.454388937365706,-0.9477124183006536,-145,697.0,-0.74333333333333,-67.8666666666667,-59.4666666666664
#1013305,level,decreasing,True,5.760343002592094e-08,-5.426085325608538,-0.9122807017543859,-156,816.0,-0.6299999999999955,-63.05000000000004,-50.39999999999964
#1013307,level,decreasing,True,3.101675445371654e-07,-5.117161794157598,-0.8888888888888888,-136,696.0,-0.6933333333333351,-57.32166666666666,-55.46666666666681
#1013404,level,decreasing,True,4.914153728385884e-08,-5.454388937365706,-0.9477124183006536,-145,697.0,-0.3860000000000004,-66.074,-30.88000000000003
#1014,level,decreasing,True,2.172249380372193e-08,-5.597691428330557,-0.9415204678362573,-161,817.0,-0.1699999999999997,-45.59,-13.59999999999997
#1017501,level,decreasing,True,0.0001020030119085469,-3.885777233177727,-0.6549707602339181,-112,816.0,-0.07857142857142918,-78.84285714285713,-6.285714285714334
#1017602,level,decreasing,True,1.538964384817376e-07,-5.247835714059897,-0.8830409356725146,-151,817.0,-0.1362499999999995,-57.82375,-10.89999999999996
#1018302,level,increasing,True,1.574081359478896e-05,4.31805790874785,0.7516339869281046,115,697.0,0.1074999999999999,-76.96374999999999,8.599999999999994
#1018701,level,increasing,True,0.009539011392009744,2.592106943185017,0.4385964912280702,75,815.0,0.046875,-72.061875,3.75
#1019202,level,decreasing,True,0.0004925998351996697,-3.484748487761423,-0.6078431372549019,-93,697.0,-0.2453846153846152,-97.86923076923077,-19.63076923076922
#1019602,level,decreasing,True,1.244952963386226e-06,-4.84834572210285,-0.8431372549019608,-129,697.0,-0.4438461538461546,-89.93230769230769,-35.50769230769237
#1020,level,decreasing,True,0.0001117622215889291,-3.863525497300708,-0.673202614379085,-103,697.0,-0.3337500000000002,-67.188125,-26.70000000000002
#1020201,level,decreasing,True,2.518016084529506e-08,-5.57202062030494,-0.9673202614379085,-148,696.0,-0.1038461538461534,-60.2723076923077,-8.307692307692273
#1021205,level,decreasing,True,1.244952963386226e-06,-4.84834572210285,-0.8431372549019608,-129,697.0,-0.3400000000000002,-73.83999999999999,-27.20000000000002
#1021605,level,decreasing,True,2.071758697930193e-08,-5.605899741181419,-0.9738562091503268,-149,697.0,-0.2969999999999999,-52.4905,-23.75999999999999
#1022203,level,decreasing,True,4.622543123833367e-07,-5.041351989799708,-0.8758169934640523,-134,696.0,-0.2974999999999994,-58.98625000000001,-23.79999999999995
#1022404,level,decreasing,True,3.092480152733224e-05,-4.166547104932136,-0.7254901960784313,-111,697.0,-0.3328571428571436,-62.92571428571428,-26.62857142857149
#1022602,level,decreasing,True,1.139910228431518e-07,-5.302878133549991,-0.9215686274509803,-141,697.0,-0.1859999999999999,-27.934,-14.88
#1022801,level,decreasing,True,4.914153728385884e-08,-5.454388937365706,-0.9477124183006536,-145,697.0,-0.2525000000000001,-59.64875,-20.20000000000001
#1022903,level,no trend,False,0.8335343428655833,0.2101708332312176,0.04093567251461988,7,815.0,0.001333333333333542,-47.862,0.1066666666666833
