date,level,site
2001-06-21,,#1001302
2002-06-21,,#1001302
2003-06-21,,#1001302
2004-06-21,,#1001302
2005-06-21,,#1001302
2006-06-21,,#1001302
2007-06-21,,#1001302
2008-06-21,,#1001302
2009-06-21,,#1001302
2010-06-21,,#1001302
2011-06-21,,#1001302
2012-06-21,,#1001302
2013-06-21,,#1001302
2014-06-21,,#1001302
2015-06-21,,#1001302
2016-06-21,,#1001302
2017-06-21,,#1001302
2018-06-21,,#1001302
2019-06-21,,#1001302
2020-06-21,,#1001302
2001-06-21,,#1001401
2002-06-21,,#1001401
2003-06-21,,#1001401
2004-06-21,,#1001401
2005-06-21,,#1001401
2006-06-21,,#1001401
2007-06-21,,#1001401
2008-06-21,,#1001401
2009-06-21,,#1001401
2010-06-21,,#1001401
2011-06-21,,#1001401
2012-06-21,,#1001401
2013-06-21,,#1001401
2014-06-21,,#1001401
2015-06-21,,#1001401
2016-06-21,,#1001401
2017-06-21,,#1001401
2018-06-21,,#1001401
2019-06-21,,#1001401
2020-06-21,,#1001401
2001-06-21,,#1002
2002-06-21,,#1002
2003-06-21,,#1002
2004-06-21,,#1002
2005-06-21,,#1002
2006-06-21,,#1002
2007-06-21,,#1002
2008-06-21,,#1002
2009-06-21,,#1002
2010-06-21,,#1002
2011-06-21,,#1002
2012-06-21,,#1002
2013-06-21,,#1002
2014-06-21,,#1002
2015-06-21,,#1002
2016-06-21,,#1002
2017-06-21,,#1002
2018-06-21,,#1002
2019-06-21,,#1002
2020-06-21,,#1002
2001-06-21,,#1002301
2002-06-21,,#1002301
2003-06-21,,#1002301
2004-06-21,,#1002301
2005-06-21,,#1002301
2006-06-21,,#1002301
2007-06-21,,#1002301
2008-06-21,,#1002301
2009-06-21,,#1002301
2010-06-21,,#1002301
2011-06-21,,#1002301
2012-06-21,,#1002301
2013-06-21,,#1002301
2014-06-21,,#1002301
2015-06-21,,#1002301
2016-06-21,,#1002301
2017-06-21,,#1002301
2018-06-21,,#1002301
2019-06-21,,#1002301
2020-06-21,,#1002301
2001-06-21,,#1002802
2002-06-21,,#1002802
2003-06-21,,#1002802
2004-06-21,,#1002802
2005-06-21,,#1002802
2006-06-21,,#1002802
2007-06-21,,#1002802
2008-06-21,,#1002802
2009-06-21,,#1002802
2010-06-21,,#1002802
2011-06-21,,#1002802
2012-06-21,,#1002802
2013-06-21,,#1002802
2014-06-21,,#1002802
2015-06-21,,#1002802
2016-06-21,,#1002802
2017-06-21,,#1002802
2018-06-21,,#1002802
2019-06-21,,#1002802
2020-06-21,,#1002802
2001-06-21,,#1002901
2002-06-21,,#1002901
2003-06-21,,#1002901
2004-06-21,,#1002901
2005-06-21,,#1002901
2006-06-21,,#1002901
2007-06-21,,#1002901
2008-06-21,,#1002901
2009-06-21,,#1002901
2010-06-21,,#1002901
2011-06-21,,#1002901
2012-06-21,,#1002901
2013-06-21,,#1002901
2014-06-21,,#1002901
2015-06-21,,#1002901
2016-06-21,,#1002901
2017-06-21,,#1002901
2018-06-21,,#1002901
2019-06-21,,#1002901
2020-06-21,,#1002901
2001-06-21,,#1003101
2002-06-21,,#1003101
2003-06-21,,#1003101
2004-06-21,,#1003101
2005-06-21,,#1003101
2006-06-21,,#1003101
2007-06-21,,#1003101
2008-06-21,,#1003101
2009-06-21,,#1003101
2010-06-21,,#1003101
2011-06-21,,#1003101
2012-06-21,,#1003101
2013-06-21,,#1003101
2014-06-21,,#1003101
2015-06-21,,#1003101
2016-06-21,,#1003101
2017-06-21,,#1003101
2018-06-21,,#1003101
2019-06-21,,#1003101
2020-06-21,,#1003101
2001-06-21,,#1003201
2002-06-21,,#1003201
2003-06-21,,#1003201
2004-06-21,,#1003201
2005-06-21,,#1003201
2006-06-21,,#1003201
2007-06-21,,#1003201
2008-06-21,,#1003201
2009-06-21,,#1003201
2010-06-21,,#1003201
2011-06-21,,#1003201
2012-06-21,,#1003201
2013-06-21,,#1003201
2014-06-21,,#1003201
2015-06-21,,#1003201
2016-06-21,,#1003201
