date,normalised_level
2001-06-01,0.7669387888521242
2001-09-01,
2001-12-01,
2002-03-01,
2002-06-01,0.6768172358072189
2002-09-01,
2002-12-01,
2003-03-01,
2003-06-01,0.7051810106171225
2003-09-01,
2003-12-01,
2004-03-01,
2004-06-01,0.010605423580425296
2004-09-01,
2004-12-01,
2005-03-01,
2005-06-01,0.374220271503636
2005-09-01,
2005-12-01,
2006-03-01,
2006-06-01,0.09926319624214991
2006-09-01,
2006-12-01,
2007-03-01,
2007-06-01,0.14199945347733248
2007-09-01,
2007-12-01,
2008-03-01,
2008-06-01,0.1766775635209646
2008-09-01,
2008-12-01,
2009-03-01,
2009-06-01,0.03713246866634595
2009-09-01,
2009-12-01,
2010-03-01,
2010-06-01,0.4872110557091057
2010-09-01,
2010-12-01,
2011-03-01,
2011-06-01,0.1408485364635345
2011-09-01,
2011-12-01,
2012-03-01,
2012-06-01,0.06412832460106599
2012-09-01,
2012-12-01,
2013-03-01,
2013-06-01,-0.5653462328228462
2013-09-01,
2013-12-01,
2014-03-01,
2014-06-01,-0.8037206035823078
2014-09-01,
2014-12-01,
2015-03-01,
2015-06-01,-0.7065649236590533
2015-09-01,
2015-12-01,
2016-03-01,
2016-06-01,-0.5438039110082195
2016-09-01,
2016-12-01,
2017-03-01,
2017-06-01,-0.3343314816009699
2017-09-01,
2017-12-01,
2018-03-01,
2018-06-01,-0.6277126900092626
2018-09-01,
2018-12-01,
2019-03-01,
2019-06-01,-0.2202905888112529
2019-09-01,
2019-12-01,
2020-03-01,
2020-06-01,0.3195681126881354
