site,slope_MK,slope_LR,slope_MK m/20y,slope_LR m/20y,trend_MK,trend_LR,trend_comparison,elevation,aquifer,state,county,lat,long
#1001302,0.02499999999999858,0.6274999999999992,1.999999999999886,50.19999999999993,No trend,Increasing,Different,1311.55,High Plains aquifer,Texas,Deaf Smith County,34.9802778,-102.9130556
#1001401,-0.02499999999999858,-0.03860294117647057,-1.999999999999886,-3.088235294117645,Decreasing,Decreasing,,1318.87,High Plains aquifer,Texas,Deaf Smith County,34.93,-102.9752778
#1002,0.1312499999999996,0.1488791208791209,10.49999999999997,11.91032967032968,Increasing,Increasing,,1327.1,High Plains aquifer,Colorado,Cheyenne County,38.863348,-102.464919
#1002301,0.01392857142857145,0.02433823529411737,1.114285714285716,1.94705882352939,No trend,No trend,,1283.82,High Plains aquifer,Texas,Deaf Smith County,34.9747222,-102.7544444
#1002802,0.02449999999999904,0.04329670329670304,1.959999999999923,3.463736263736243,No trend,Increasing,Different,1285.65,High Plains aquifer,Texas,Deaf Smith County,34.89,-102.8019444
#1002901,0.02309523809523829,0.03482843137254901,1.847619047619063,2.786274509803921,No trend,Increasing,Different,1284.73,High Plains aquifer,Texas,Deaf Smith County,34.9,-102.7630556
#1003201,-0.1529999999999999,-0.1461503759398496,-12.23999999999999,-11.69203007518797,Decreasing,Decreasing,,1262.18,High Plains aquifer,Texas,Deaf Smith County,34.98,-102.671111
#1003501,-0.02692307692307649,-0.02368421052631564,-2.153846153846119,-1.894736842105251,Decreasing,No trend,Different,1265.83,High Plains aquifer,Texas,Deaf Smith County,34.92,-102.692222
#1003702,-0.02833333333333362,-0.0218782249742002,-2.266666666666689,-1.750257997936016,Decreasing,No trend,Different,1262.48,High Plains aquifer,Texas,Deaf Smith County,34.903056,-102.710556
#1003902,-0.4300000000000004,-0.4399642857142859,-34.40000000000003,-35.19714285714287,Decreasing,Decreasing,,1242.67,High Plains aquifer,Texas,Deaf Smith County,34.91,-102.633055
#1003903,-0.1264102564102557,-0.1352255639097743,-10.11282051282045,-10.81804511278194,Decreasing,Decreasing,,1250.59,High Plains aquifer,Texas,Deaf Smith County,34.91,-102.659167
#1004,-0.6690909090909085,-0.6702499999999997,-53.52727272727268,-53.61999999999998,Decreasing,Decreasing,,1202.74,High Plains aquifer,Colorado,Cheyenne County,38.780294,-102.105192
#1004102,-0.1266666666666652,-0.1253859649122804,-10.13333333333321,-10.03087719298243,Decreasing,Decreasing,,1260.65,High Plains aquifer,Texas,Deaf Smith County,34.97,-102.620278
#1004202,-0.2980808080808092,-0.3027205882352945,-23.84646464646473,-24.21764705882356,Decreasing,Decreasing,,1242.36,High Plains aquifer,Texas,Deaf Smith County,35.0,-102.556112
#1004203,-0.2829999999999956,-0.3014999999999996,-22.63999999999965,-24.11999999999997,Decreasing,Decreasing,,1247.24,High Plains aquifer,Texas,Deaf Smith County,34.97,-102.553612
#1004301,-0.3929411764705886,-0.409607843137255,-31.43529411764709,-32.7686274509804,Decreasing,Decreasing,,1235.35,High Plains aquifer,Texas,Deaf Smith County,34.99,-102.508889
#1004504,-0.1252272727272725,-0.1534661654135339,-10.0181818181818,-12.27729323308271,Decreasing,Decreasing,,1237.18,High Plains aquifer,Texas,Deaf Smith County,34.93,-102.575
#1004603,-0.2712500000000002,-0.2812807017543862,-21.70000000000002,-22.50245614035089,Decreasing,Decreasing,,1219.81,High Plains aquifer,Texas,Deaf Smith County,34.925278,-102.523611
#1004901,-0.06111111111111181,-0.06230646514494403,-4.888888888888944,-4.984517211595523,Decreasing,Decreasing,,1203.05,High Plains aquifer,Texas,Deaf Smith County,34.895555,-102.527777
#1005225,-0.4156302521008406,-0.4237744360902255,-33.25042016806725,-33.90195488721804,Decreasing,Decreasing,,1201.83,High Plains aquifer,Texas,Deaf Smith County,34.97,-102.438056
#1005502,-0.4750000000000014,-0.4825438596491229,-38.00000000000011,-38.60350877192984,Decreasing,Decreasing,,1197.25,High Plains aquifer,Texas,Deaf Smith County,34.93,-102.455556
#1005603,-0.7470588235294119,-0.7491278195488724,-59.76470588235295,-59.93022556390979,Decreasing,Decreasing,,1183.54,High Plains aquifer,Texas,Deaf Smith County,34.95,-102.403056
#1005814,-0.6266666666666667,-0.6275541795665637,-50.13333333333334,-50.2043343653251,Decreasing,Decreasing,,1181.4,High Plains aquifer,Texas,Deaf Smith County,34.89,-102.457223
#1005905,-0.7233333333333329,-0.739894736842105,-57.86666666666663,-59.19157894736841,Decreasing,Decreasing,,1176.83,High Plains aquifer,Texas,Deaf Smith County,34.9,-102.407223
#1006,0.05677083333333292,0.05433823529411757,4.541666666666634,4.347058823529405,Increasing,Increasing,,1212.8,High Plains aquifer,Colorado,Cheyenne County,38.734185,-102.089629
#1006101,-0.788571428571429,-0.8343333333333336,-63.08571428571432,-66.74666666666668,Decreasing,Decreasing,,1185.37,High Plains aquifer,Texas,Deaf Smith County,34.98,-102.372222
#1006302,-0.09166666666666679,-0.09132330827067686,-7.333333333333343,-7.305864661654149,Decreasing,Decreasing,,1168.6,High Plains aquifer,Texas,Deaf Smith County,34.99,-102.255278
#1006403,-0.5666666666666677,-0.5837894736842103,-45.33333333333341,-46.70315789473683,Decreasing,Decreasing,,1173.18,High Plains aquifer,Texas,Deaf Smith County,34.94,-102.359445
#1006602,-0.1541666666666662,-0.1598452012383901,-12.3333333333333,-12.78761609907121,Decreasing,Decreasing,,1161.59,High Plains aquifer,Texas,Deaf Smith County,34.94,-102.251667
#1006710,-0.1500000000000004,-0.1701190476190479,-12.00000000000003,-13.60952380952383,No trend,Decreasing,Different,1157.33,High Plains aquifer,Texas,Deaf Smith County,34.9,-102.333611
#1006909,-0.06888888888888861,-0.0738596491228068,-5.511111111111089,-5.908771929824544,Decreasing,Decreasing,,1155.8,High Plains aquifer,Texas,Deaf Smith County,34.91,-102.288889
#1007,-0.1920000000000002,-0.2031991744066048,-15.36000000000001,-16.25593395252839,Decreasing,Decreasing,,1226.21,High Plains aquifer,Colorado,Cheyenne County,38.783908,-102.165475
