date,normalised_level
2001-03-01,0.8195969173827633
2001-06-01,
2001-09-01,
2001-12-01,
2002-03-01,0.6658787310127352
2002-06-01,
2002-09-01,
2002-12-01,
2003-03-01,-0.08789249956372565
2003-06-01,
2003-09-01,
2003-12-01,
2004-03-01,-0.44465853943162126
2004-06-01,
2004-09-01,
2004-12-01,
2005-03-01,-0.6801617016482907
2005-06-01,
2005-09-01,
2005-12-01,
2006-03-01,-0.6322546787671577
2006-06-01,
2006-09-01,
2006-12-01,
2007-03-01,-0.817387594650075
2007-06-01,
2007-09-01,
2007-12-01,
2008-03-01,-0.5527949950206892
2008-06-01,
2008-09-01,
2008-12-01,
2009-03-01,-0.20286655023262581
2009-06-01,
2009-09-01,
2009-12-01,
2010-03-01,0.05054836195193526
2010-06-01,
2010-09-01,
2010-12-01,
2011-03-01,0.4066463133181732
2011-06-01,
2011-09-01,
2011-12-01,
2012-03-01,0.5201420090180293
2012-06-01,
2012-09-01,
2012-12-01,
2013-03-01,-0.5298212675939925
2013-06-01,
2013-09-01,
2013-12-01,
2014-03-01,-0.524315792288455
2014-06-01,
2014-09-01,
2014-12-01,
2015-03-01,-0.19265690301361516
2015-06-01,
2015-09-01,
2015-12-01,
2016-03-01,-0.004415370488033454
2016-06-01,
2016-09-01,
2016-12-01,
2017-03-01,0.18089811584942644
2017-06-01,
2017-09-01,
2017-12-01,
2018-03-01,0.3538617176458285
2018-06-01,
2018-09-01,
2018-12-01,
2019-03-01,0.6449352564900328
2019-06-01,
2019-09-01,
2019-12-01,
2020-03-01,1.1990652623478724
