date,level,site
2001-09-21,-7.861204819277108,#400155101521302
2002-09-21,-8.491724137931033,#400155101521302
2003-09-21,-8.202065217391304,#400155101521302
2004-09-21,-7.821847826086957,#400155101521302
2005-09-21,-7.046521739130434,#400155101521302
2006-09-21,-7.343804347826087,#400155101521302
2007-09-21,-6.447717391304349,#400155101521302
2008-09-21,-6.586521739130435,#400155101521302
2009-09-21,-6.702173913043478,#400155101521302
2010-09-21,-6.380652173913044,#400155101521302
2011-09-21,-6.269130434782609,#400155101521302
2012-09-21,-7.3625,#400155101521302
2013-09-21,-7.0466304347826085,#400155101521302
2014-09-21,-6.990217391304348,#400155101521302
2015-09-21,-7.594782608695652,#400155101521302
2016-09-21,-7.239230769230769,#400155101521302
2017-09-21,-7.12641304347826,#400155101521302
2018-09-21,-6.938260869565218,#400155101521302
2019-09-21,-6.144021739130435,#400155101521302
2020-09-21,-6.222173913043479,#400155101521302
2001-09-21,-3.0075,#403954099152101
2002-09-21,-3.2093478260869563,#403954099152101
2003-09-21,-3.384239130434783,#403954099152101
2004-09-21,-3.394246575342466,#403954099152101
2005-09-21,-3.5696739130434785,#403954099152101
2006-09-21,-3.483260869565217,#403954099152101
2007-09-21,-3.1403703703703707,#403954099152101
2008-09-21,-3.341413043478261,#403954099152101
2009-09-21,-3.3196739130434785,#403954099152101
2010-09-21,-2.9158695652173914,#403954099152101
2011-09-21,-2.569438202247191,#403954099152101
2012-09-21,-3.420555555555556,#403954099152101
2013-09-21,-3.4166304347826086,#403954099152101
2014-09-21,-3.3359782608695654,#403954099152101
2015-09-21,-3.09945652173913,#403954099152101
2016-09-21,-3.051847826086956,#403954099152101
2017-09-21,-3.1411956521739133,#403954099152101
2018-09-21,-3.047608695652174,#403954099152101
2019-09-21,-2.844130434782609,#403954099152101
2020-09-21,-3.0967391304347824,#403954099152101
2001-09-21,-5.109782608695652,#404343099272901
2002-09-21,-6.086195652173912,#404343099272901
2003-09-21,-6.2945652173913045,#404343099272901
2004-09-21,-6.686969696969697,#404343099272901
2005-09-21,-6.695760869565217,#404343099272901
2006-09-21,-6.914239130434782,#404343099272901
2007-09-21,-6.453369565217392,#404343099272901
2008-09-21,-5.439655172413793,#404343099272901
2009-09-21,-5.338,#404343099272901
2010-09-21,-4.12297619047619,#404343099272901
2011-09-21,-4.437934782608696,#404343099272901
2012-09-21,-5.655526315789474,#404343099272901
2013-09-21,-6.556195652173913,#404343099272901
2014-09-21,-6.738260869565217,#404343099272901
2015-09-21,-6.711521739130435,#404343099272901
2016-09-21,-6.22445652173913,#404343099272901
2017-09-21,-6.408260869565218,#404343099272901
2018-09-21,-5.276304347826087,#404343099272901
2019-09-21,-2.928478260869565,#404343099272901
2020-09-21,-4.267065217391305,#404343099272901
2001-09-21,-18.12737704918033,#404513098181201
2002-09-21,-19.802444444444443,#404513098181201
2003-09-21,-20.31636363636364,#404513098181201
2004-09-21,-20.474375,#404513098181201
2005-09-21,-21.670217391304348,#404513098181201
2006-09-21,-21.34439393939394,#404513098181201
2007-09-21,-21.004782608695653,#404513098181201
2008-09-21,-19.705322580645163,#404513098181201
2009-09-21,-19.66945652173913,#404513098181201
2010-09-21,-19.266739130434782,#404513098181201
2011-09-21,-19.125326086956523,#404513098181201
2012-09-21,-21.09260869565217,#404513098181201
2013-09-21,-21.48434782608696,#404513098181201
2014-09-21,-20.84413043478261,#404513098181201
2015-09-21,-20.79554347826087,#404513098181201
2016-09-21,-20.42684782608696,#404513098181201
2017-09-21,-19.81793478260869,#404513098181201
2018-09-21,-19.12195652173913,#404513098181201
2019-09-21,-17.77695652173913,#404513098181201
2020-09-21,-17.49195652173913,#404513098181201
2001-09-21,-17.13978260869565,#404513098181202
2002-09-21,-18.29032608695652,#404513098181202
2003-09-21,-19.076521739130435,#404513098181202
2004-09-21,-19.766166666666667,#404513098181202
2005-09-21,-20.41923076923077,#404513098181202
2006-09-21,-20.698260869565217,#404513098181202
2007-09-21,-20.606164383561644,#404513098181202
2008-09-21,-19.477125,#404513098181202
2009-09-21,-18.666206896551724,#404513098181202
2010-09-21,-18.637391304347823,#404513098181202
2011-09-21,-18.38967391304348,#404513098181202
2012-09-21,-19.832391304347823,#404513098181202
2013-09-21,-20.63467391304348,#404513098181202
2014-09-21,-20.458369565217392,#404513098181202
2015-09-21,-20.16304347826087,#404513098181202
2016-09-21,-19.90684782608696,#404513098181202
2017-09-21,-19.332934782608696,#404513098181202
2018-09-21,-18.637282608695653,#404513098181202
