date,normalised_level
2001-12-01,0.670660709639965
2002-03-01,
2002-06-01,
2002-09-01,
2002-12-01,0.1522297890373991
2003-03-01,
2003-06-01,
2003-09-01,
2003-12-01,-0.28822745385427606
2004-03-01,
2004-06-01,
2004-09-01,
2004-12-01,-0.4403888046413601
2005-03-01,
2005-06-01,
2005-09-01,
2005-12-01,-0.44147704285702877
2006-03-01,
2006-06-01,
2006-09-01,
2006-12-01,-0.5495495162474696
2007-03-01,
2007-06-01,
2007-09-01,
2007-12-01,-0.32905071100862626
2008-03-01,
2008-06-01,
2008-09-01,
2008-12-01,-0.16422741434375454
2009-03-01,
2009-06-01,
2009-09-01,
2009-12-01,0.07485997001345446
2010-03-01,
2010-06-01,
2010-09-01,
2010-12-01,0.2681903735318091
2011-03-01,
2011-06-01,
2011-09-01,
2011-12-01,0.557158870666011
2012-03-01,
2012-06-01,
2012-09-01,
2012-12-01,-0.2994592712750483
2013-03-01,
2013-06-01,
2013-09-01,
2013-12-01,-0.4041871043035253
2014-03-01,
2014-06-01,
2014-09-01,
2014-12-01,-0.26366726195496215
2015-03-01,
2015-06-01,
2015-09-01,
2015-12-01,-0.11163878513763327
2016-03-01,
2016-06-01,
2016-09-01,
2016-12-01,-0.05898025921582743
2017-03-01,
2017-06-01,
2017-09-01,
2017-12-01,0.08764191351181083
2018-03-01,
2018-06-01,
2018-09-01,
2018-12-01,0.4103773076043835
2019-03-01,
2019-06-01,
2019-09-01,
2019-12-01,0.9183049534281073
2020-03-01,
2020-06-01,
2020-09-01,
2020-12-01,0.5654354775354019
