date,level,site
2001-12-21,,#330458103251001
2002-12-21,,#330458103251001
2003-12-21,,#330458103251001
2004-12-21,,#330458103251001
2005-12-21,-13.285,#330458103251001
2006-12-21,,#330458103251001
2007-12-21,-13.19,#330458103251001
2008-12-21,-13.19,#330458103251001
2009-12-21,-13.4,#330458103251001
2010-12-21,-13.2,#330458103251001
2011-12-21,-13.275,#330458103251001
2012-12-21,-13.26,#330458103251001
2013-12-21,-12.94,#330458103251001
2014-12-21,,#330458103251001
2015-12-21,-13.27,#330458103251001
2016-12-21,,#330458103251001
2017-12-21,,#330458103251001
2018-12-21,-13.35,#330458103251001
2019-12-21,,#330458103251001
2020-12-21,-13.42,#330458103251001
2001-12-21,-18.279891304347824,#332115103403301
2002-12-21,-18.265326086956524,#332115103403301
2003-12-21,-18.27358695652174,#332115103403301
2004-12-21,-18.27467391304348,#332115103403301
2005-12-21,-18.25684782608696,#332115103403301
2006-12-21,-18.249782608695654,#332115103403301
2007-12-21,-18.242391304347827,#332115103403301
2008-12-21,-18.26282608695652,#332115103403301
2009-12-21,,#332115103403301
2010-12-21,,#332115103403301
2011-12-21,,#332115103403301
2012-12-21,,#332115103403301
2013-12-21,,#332115103403301
2014-12-21,-18.24,#332115103403301
2015-12-21,,#332115103403301
2016-12-21,,#332115103403301
2017-12-21,-18.3008695652174,#332115103403301
2018-12-21,-18.31978260869565,#332115103403301
2019-12-21,-18.32141304347826,#332115103403301
2020-12-21,-18.330543478260868,#332115103403301
2001-12-21,-90.15,#343347103345001
2002-12-21,,#343347103345001
2003-12-21,,#343347103345001
2004-12-21,,#343347103345001
2005-12-21,,#343347103345001
2006-12-21,,#343347103345001
2007-12-21,,#343347103345001
2008-12-21,,#343347103345001
2009-12-21,-89.77,#343347103345001
2010-12-21,,#343347103345001
2011-12-21,,#343347103345001
2012-12-21,,#343347103345001
2013-12-21,,#343347103345001
2014-12-21,,#343347103345001
2015-12-21,,#343347103345001
2016-12-21,,#343347103345001
2017-12-21,,#343347103345001
2018-12-21,-89.72,#343347103345001
2019-12-21,,#343347103345001
2020-12-21,,#343347103345001
2001-12-21,,#CP-0037
2002-12-21,,#CP-0037
2003-12-21,,#CP-0037
2004-12-21,,#CP-0037
2005-12-21,,#CP-0037
2006-12-21,,#CP-0037
2007-12-21,,#CP-0037
2008-12-21,,#CP-0037
2009-12-21,,#CP-0037
2010-12-21,,#CP-0037
2011-12-21,,#CP-0037
2012-12-21,,#CP-0037
2013-12-21,,#CP-0037
2014-12-21,,#CP-0037
2015-12-21,,#CP-0037
2016-12-21,,#CP-0037
2017-12-21,-94.46,#CP-0037
2018-12-21,-94.63130434782607,#CP-0037
2019-12-21,-94.7391304347826,#CP-0037
2020-12-21,-95.07271739130437,#CP-0037
