date,level,site
2001-03-21,-13.44,#330458103251001
2002-03-21,-13.48,#330458103251001
2003-03-21,-13.47,#330458103251001
2004-03-21,-13.47,#330458103251001
2005-03-21,-13.29,#330458103251001
2006-03-21,-13.28,#330458103251001
2007-03-21,-13.35,#330458103251001
2008-03-21,,#330458103251001
2009-03-21,,#330458103251001
2010-03-21,-13.18,#330458103251001
2011-03-21,-13.18,#330458103251001
2012-03-21,,#330458103251001
2013-03-21,,#330458103251001
2014-03-21,,#330458103251001
2015-03-21,,#330458103251001
2016-03-21,,#330458103251001
2017-03-21,-13.31,#330458103251001
2018-03-21,-13.51,#330458103251001
2019-03-21,,#330458103251001
2020-03-21,-13.39,#330458103251001
2001-03-21,-18.29864406779661,#332115103403301
2002-03-21,-18.27711111111111,#332115103403301
2003-03-21,-18.26677777777778,#332115103403301
2004-03-21,-18.271648351648352,#332115103403301
2005-03-21,-18.261,#332115103403301
2006-03-21,-18.25055555555556,#332115103403301
2007-03-21,-18.245666666666665,#332115103403301
2008-03-21,-18.24868131868132,#332115103403301
2009-03-21,-18.260555555555555,#332115103403301
2010-03-21,,#332115103403301
2011-03-21,,#332115103403301
2012-03-21,,#332115103403301
2013-03-21,,#332115103403301
2014-03-21,,#332115103403301
2015-03-21,,#332115103403301
2016-03-21,,#332115103403301
2017-03-21,,#332115103403301
2018-03-21,-18.30011111111111,#332115103403301
2019-03-21,-18.31733333333333,#332115103403301
2020-03-21,-18.325934065934064,#332115103403301
2001-03-21,-90.155,#343347103345001
2002-03-21,,#343347103345001
2003-03-21,-90.07,#343347103345001
2004-03-21,-89.94,#343347103345001
2005-03-21,,#343347103345001
2006-03-21,-89.88,#343347103345001
2007-03-21,,#343347103345001
2008-03-21,-89.63,#343347103345001
2009-03-21,,#343347103345001
2010-03-21,-89.71,#343347103345001
2011-03-21,,#343347103345001
2012-03-21,-89.58,#343347103345001
2013-03-21,-89.47,#343347103345001
2014-03-21,,#343347103345001
2015-03-21,-89.55,#343347103345001
2016-03-21,-89.72,#343347103345001
2017-03-21,-89.29,#343347103345001
2018-03-21,,#343347103345001
2019-03-21,,#343347103345001
2020-03-21,-89.73,#343347103345001
2001-03-21,,#CP-0037
2002-03-21,,#CP-0037
2003-03-21,,#CP-0037
2004-03-21,,#CP-0037
2005-03-21,,#CP-0037
2006-03-21,,#CP-0037
2007-03-21,,#CP-0037
2008-03-21,,#CP-0037
2009-03-21,,#CP-0037
2010-03-21,,#CP-0037
2011-03-21,,#CP-0037
2012-03-21,,#CP-0037
2013-03-21,,#CP-0037
2014-03-21,,#CP-0037
2015-03-21,,#CP-0037
2016-03-21,,#CP-0037
2017-03-21,,#CP-0037
2018-03-21,-94.51,#CP-0037
2019-03-21,-94.55611111111112,#CP-0037
2020-03-21,-94.75435897435898,#CP-0037
