date,normalised_level
2001-03-01,1.9592274087997779
2001-06-01,
2001-09-01,
2001-12-01,
2002-03-01,1.7896033486494018
2002-06-01,
2002-09-01,
2002-12-01,
2003-03-01,1.319715625445729
2003-06-01,
2003-09-01,
2003-12-01,
2004-03-01,1.7299827694235592
2004-06-01,
2004-09-01,
2004-12-01,
2005-03-01,2.1048022915816675
2005-06-01,
2005-09-01,
2005-12-01,
2006-03-01,2.1945697334421337
2006-06-01,
2006-09-01,
2006-12-01,
2007-03-01,1.4272139504462917
2007-06-01,
2007-09-01,
2007-12-01,
2008-03-01,1.4824667571707046
2008-06-01,
2008-09-01,
2008-12-01,
2009-03-01,1.3757325241398077
2009-06-01,
2009-09-01,
2009-12-01,
2010-03-01,1.0665832985240882
2010-06-01,
2010-09-01,
2010-12-01,
2011-03-01,0.6039113408521309
2011-06-01,
2011-09-01,
2011-12-01,
2012-03-01,-0.13298840609275142
2012-06-01,
2012-09-01,
2012-12-01,
2013-03-01,-0.7597325921392616
2013-06-01,
2013-09-01,
2013-12-01,
2014-03-01,-1.1938023595811236
2014-06-01,
2014-09-01,
2014-12-01,
2015-03-01,-1.9208953828369364
2015-06-01,
2015-09-01,
2015-12-01,
2016-03-01,-2.0184535223718205
2016-06-01,
2016-09-01,
2016-12-01,
2017-03-01,-2.4365745962127536
2017-06-01,
2017-09-01,
2017-12-01,
2018-03-01,-2.5561547967140075
2018-06-01,
2018-09-01,
2018-12-01,
2019-03-01,-2.8241511967904254
2019-06-01,
2019-09-01,
2019-12-01,
2020-03-01,-2.9681159495962115
