date,normalised_level
2001-03-01,1.0266464851881487
2001-06-01,
2001-09-01,
2001-12-01,
2002-03-01,1.2571837986209857
2002-06-01,
2002-09-01,
2002-12-01,
2003-03-01,1.383517131954319
2003-06-01,
2003-09-01,
2003-12-01,
2004-03-01,1.3328602332974198
2004-06-01,
2004-09-01,
2004-12-01,
2005-03-01,0.4614615763987633
2005-06-01,
2005-09-01,
2005-12-01,
2006-03-01,-1.0688162013790157
2006-06-01,
2006-09-01,
2006-12-01,
2007-03-01,-1.4283162013790127
2007-06-01,
2007-09-01,
2007-12-01,
2008-03-01,-0.41670020626301785
2008-06-01,
2008-09-01,
2008-12-01,
2009-03-01,-1.053927312490126
2009-06-01,
2009-09-01,
2009-12-01,
2010-03-01,0.3819615763987656
2010-06-01,
2010-09-01,
2010-12-01,
2011-03-01,0.5792393541765399
2011-06-01,
2011-09-01,
2011-12-01,
2012-03-01,0.3128602332974202
2012-06-01,
2012-09-01,
2012-12-01,
2013-03-01,0.43907268750987516
2013-06-01,
2013-09-01,
2013-12-01,
2014-03-01,-1.3693717569345703
2014-06-01,
2014-09-01,
2014-12-01,
2015-03-01,-0.3055939791567903
2015-06-01,
2015-09-01,
2015-12-01,
2016-03-01,0.23884924428643117
2016-06-01,
2016-09-01,
2016-12-01,
2017-03-01,0.06446157639876304
2017-06-01,
2017-09-01,
2017-12-01,
2018-03-01,-0.14773508014611547
2018-06-01,
2018-09-01,
2018-12-01,
2019-03-01,-1.0032606458234588
2019-06-01,
2019-09-01,
2019-12-01,
2020-03-01,-0.6843925139553244
