date,level,site
2001-03-21,-11.569111111111113,#430027102311801
2002-03-21,-11.70122222222222,#430027102311801
2003-03-21,-11.915444444444445,#430027102311801
2004-03-21,-12.062747252747252,#430027102311801
2005-03-21,-12.288777777777778,#430027102311801
2006-03-21,-12.63588888888889,#430027102311801
2007-03-21,-13.056666666666665,#430027102311801
2008-03-21,-13.218131868131866,#430027102311801
2009-03-21,-13.399666666666668,#430027102311801
2010-03-21,-13.350777777777775,#430027102311801
2011-03-21,-12.992666666666668,#430027102311801
2012-03-21,-12.832747252747252,#430027102311801
2013-03-21,-12.920777777777776,#430027102311801
2014-03-21,-13.182111111111112,#430027102311801
2015-03-21,-13.055777777777775,#430027102311801
2016-03-21,-12.104285714285714,#430027102311801
2017-03-21,-11.986555555555556,#430027102311801
2018-03-21,-12.058192771084338,#430027102311801
2019-03-21,-12.304555555555556,#430027102311801
2020-03-21,-12.55175824175824,#430027102311801
2001-03-21,-13.045074626865672,#430027102311806
2002-03-21,-12.45188888888889,#430027102311806
2003-03-21,-11.985,#430027102311806
2004-03-21,-11.93901098901099,#430027102311806
2005-03-21,-13.455777777777778,#430027102311806
2006-03-21,-16.169222222222224,#430027102311806
2007-03-21,-16.467444444444443,#430027102311806
2008-03-21,-14.282747252747251,#430027102311806
2009-03-21,-15.375666666666666,#430027102311806
2010-03-21,-12.552777777777775,#430027102311806
2011-03-21,-12.516333333333334,#430027102311806
2012-03-21,-13.20901098901099,#430027102311806
2013-03-21,-12.868555555555556,#430027102311806
2014-03-21,-16.22411111111111,#430027102311806
2015-03-21,-14.222888888888887,#430027102311806
2016-03-21,-14.085494505494506,#430027102311806
2017-03-21,-14.552,#430027102311806
2018-03-21,-14.904756097560975,#430027102311806
2019-03-21,-16.369444444444444,#430027102311806
2020-03-21,-15.484505494505491,#430027102311806
