date,level,site
2001-09-21,-0.9375,#425956101424101
2002-09-21,-1.145,#425956101424101
2003-09-21,-1.265,#425956101424101
2004-09-21,-1.5275,#425956101424101
2005-09-21,-1.46,#425956101424101
2006-09-21,-1.755,#425956101424101
2007-09-21,-1.9,#425956101424101
2008-09-21,-1.8500000000000003,#425956101424101
2009-09-21,-1.8,#425956101424101
2010-09-21,-1.63,#425956101424101
2011-09-21,-1.43,#425956101424101
2012-09-21,-1.55,#425956101424101
2013-09-21,-1.5733333333333337,#425956101424101
2014-09-21,,#425956101424101
2015-09-21,-1.21,#425956101424101
2016-09-21,-1.2775,#425956101424101
2017-09-21,-1.5733333333333333,#425956101424101
2018-09-21,-1.15,#425956101424101
2019-09-21,-0.955,#425956101424101
2020-09-21,-0.8433333333333333,#425956101424101
2001-09-21,-10.96,#430010099580601
2002-09-21,-11.475,#430010099580601
2003-09-21,-11.723333333333334,#430010099580601
2004-09-21,-11.9275,#430010099580601
2005-09-21,-11.83,#430010099580601
2006-09-21,-12.13,#430010099580601
2007-09-21,-11.590000000000002,#430010099580601
2008-09-21,-11.29,#430010099580601
2009-09-21,-11.475,#430010099580601
2010-09-21,-11.146666666666668,#430010099580601
2011-09-21,-11.22,#430010099580601
2012-09-21,-11.61,#430010099580601
2013-09-21,-11.53,#430010099580601
2014-09-21,,#430010099580601
2015-09-21,-11.82,#430010099580601
2016-09-21,-11.106666666666667,#430010099580601
2017-09-21,-11.44,#430010099580601
2018-09-21,-10.155,#430010099580601
2019-09-21,,#430010099580601
2020-09-21,-9.8325,#430010099580601
2001-09-21,-11.635652173913044,#430027102311801
2002-09-21,-11.834025974025977,#430027102311801
2003-09-21,-11.996521739130436,#430027102311801
2004-09-21,-12.134456521739128,#430027102311801
2005-09-21,-12.522065217391305,#430027102311801
2006-09-21,-12.912826086956525,#430027102311801
2007-09-21,-13.190235294117649,#430027102311801
2008-09-21,-13.328235294117649,#430027102311801
2009-09-21,-13.46732558139535,#430027102311801
2010-09-21,-13.150212765957445,#430027102311801
2011-09-21,-12.903260869565216,#430027102311801
2012-09-21,-12.886521739130432,#430027102311801
2013-09-21,-12.978260869565217,#430027102311801
2014-09-21,-13.274891304347824,#430027102311801
2015-09-21,-12.773804347826088,#430027102311801
2016-09-21,-12.038478260869566,#430027102311801
2017-09-21,-12.068021978021978,#430027102311801
2018-09-21,-12.221195652173911,#430027102311801
2019-09-21,-12.551521739130434,#430027102311801
2020-09-21,-12.598684210526317,#430027102311801
2001-09-21,-13.34413043478261,#430027102311806
2002-09-21,-13.645,#430027102311806
2003-09-21,-12.763152173913044,#430027102311806
2004-09-21,-12.565108695652174,#430027102311806
2005-09-21,-17.22891304347826,#430027102311806
2006-09-21,-18.424021739130435,#430027102311806
2007-09-21,-17.511176470588236,#430027102311806
2008-09-21,-16.428970588235295,#430027102311806
2009-09-21,-14.752209302325582,#430027102311806
2010-09-21,-13.050114942528737,#430027102311806
